growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,cm_uM,source,model_k,model_cm_kon,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
0.75,2.27615655527988,9,1,0,2,Si 2017,3.67759585737632,5.73275390625,0,0.203937549892224,0.296062450107776,0.5,0.502484040855862,0.749999888647119
0.67,2.09713300598821,9,1,0,3,Si 2017,3.67759585737632,8.15271679687501,0,0.182184081778617,0.317815918221383,0.5,0.411896148869724,0.669999424428952
0.54,2.0459834204763,9,1,0,4,Si 2017,3.67759585737632,13.4964580078125,0,0.146835216996986,0.353164783003014,0.5,0.292507152644649,0.54000058574507
0.46,2.02040862772034,9,1,0,6,Si 2017,3.67759585737632,18.193341796875,0,0.12508164076539,0.37491835923461,0.5,0.232132716235366,0.459999723912631
0.34,2.14828259150011,9,1,0,8,Si 2017,3.67759585737632,29.2133583984376,0,0.0924517385989476,0.407548261401052,0.5,0.155521185557032,0.340000130878729
0.25,2.25058176252393,9,1,0,10,Si 2017,3.67759585737632,44.2279072265626,0,0.0679792115330927,0.432020788466907,0.5,0.106830041006988,0.250000066721811
0.65,1.56006235811318,10,0,0,0,Si 2017,1.88307006464046,0,0,0.345179201703387,0.154820798296613,0.5,1,0.649996621664142
0.59,1.50891277260127,10,1,0,1,Si 2017,1.88307006464046,2.32435546875,0,0.31331832442806,0.18668167557194,0.5,0.707788346468134,0.590000357433789
0.46,1.50891277260127,10,1,0,2,Si 2017,1.88307006464046,9.39807421875001,0,0.244282087085949,0.255717912914051,0.5,0.369175243682885,0.460000285519446
0.43,1.63678673638104,10,1,0,3,Si 2017,1.88307006464046,11.6147021484375,0,0.228350574547441,0.271649425452559,0.5,0.320169473348189,0.430000131173736
0.34,1.73908590740485,10,1,0,4,Si 2017,1.88307006464046,20.5184970703125,0,0.180556123546037,0.319443876453963,0.5,0.207734056987499,0.339999831237067
0.31,1.84138507842867,10,1,0,5,Si 2017,1.88307006464046,24.5992851562501,0,0.164624714410919,0.335375285589081,0.5,0.178635311882434,0.309999871607188
0.27,1.84138507842867,10,1,0,5.5,Si 2017,1.88307006464046,31.4189736328126,0,0.143382935143582,0.356617064856418,0.5,0.144572515140364,0.270000112949165
0.24,1.89253466394058,10,1,0,6,Si 2017,1.88307006464046,37.9920761718751,0,0.127451476190297,0.372548523809703,0.5,0.122018643877292,0.240000059508186
0.36,1.15086567401792,11,0,0,0,Si 2017,0.903463363279059,0,0,0.398451272161914,0.101548727838086,0.5,1,0.359986126450223
0.32,1.09971608850601,11,1,0,0.2,Si 2017,0.903463363279059,4.6741201171875,0,0.354192683638572,0.145807316361428,0.5,0.534177385773378,0.32000011320894
0.28,1.02299171023815,11,1,0,0.4,Si 2017,0.903463363279059,10.8958623046875,0,0.309918495341288,0.190081504658712,0.5,0.328073826982983,0.280000006143425
0.23,0.971842124726242,11,1,0,0.6,Si 2017,0.903463363279059,21.8505410156251,0,0.254575831580631,0.245424168419369,0.5,0.194317655618056,0.2299999370094
0.21,0.997416917482195,11,1,0,0.8,Si 2017,0.903463363279059,27.7009277343751,0,0.232438777920488,0.267561222079512,0.5,0.159327833653583,0.209999920056518
0.801,1.99615067209644,12,0,0,0,Taheri-Araghi 2015,2.51172040963575,0,0,0.318907169514873,0.181092830485127,0.5,1,0.801005646449673
0.814,2.12171498856703,13,0,0,0,Taheri-Araghi 2015,2.57053787172385,0,0,0.316671678695063,0.183328321304937,0.5,1,0.814016542988026
1.093,2.82036772380078,14,0,0,0,Taheri-Araghi 2015,4.05463363237221,0,0,0.269566381427737,0.230433618572263,0.5,1,1.09299291629378
1.37,3.79590587484146,15,0,0,0,Taheri-Araghi 2015,6.1184936445262,0,0,0.223913351455216,0.276086648544784,0.5,1,1.3700124178033
1.548,4.90022794021095,16,0,0,0,Taheri-Araghi 2015,7.94246302298784,0,0,0.194901743257779,0.305098256742221,0.5,1,1.54799988894078
1.838,7.75601124045215,17,0,0,0,Taheri-Araghi 2015,12.4064637062068,0,0,0.14815067749413,0.35184932250587,0.5,1,1.83802600338087
2.419,12.8526346500145,18,0,0,0,Taheri-Araghi 2015,43.6254408189479,0,0,0.0554495694136443,0.444550430586356,0.5,1,2.41901190889108
