growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,cm_uM,source,model_k,model_cm_kon,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
0.42,1.36,6,0,0,0,Basan 2015,1.08527722918846,0,0,0.386988971912585,0.113011028087415,0.5,1,0.41999031916378
0.47,1.67,5,0,0,0,Basan 2015,1.24458864386772,0,0,0.377641163105823,0.122358836894177,0.5,1,0.470007903058505
0.7,1.7,4,0,0,0,Basan 2015,2.08086323208519,0,0,0.336409056911794,0.163590943088206,0.5,1,0.700021237468207
0.98,2.32,3,0,0,0,Basan 2015,3.39697152156559,0,0,0.288486047439693,0.211513952560307,0.5,1,0.979978887521658
1.29,3.33,2,0,0,0,Basan 2015,5.44236028170741,0,0,0.237028433963821,0.262971566036179,0.5,1,1.28999413464001
1.83,6.6,1,0,0,0,Basan 2015,12.2491836062167,0,0,0.149399676960247,0.350600323039753,0.5,1,1.83002407379553
0.74,2.28,3,1,0,2,Basan 2015,3.39697152156559,5.2122041015625,0,0.217841132182856,0.282158867817144,0.5,0.525827213956697,0.740000122250767
0.55,2.23,3,1,0,4,Basan 2015,3.39697152156559,12.21830859375,0,0.161908914416788,0.338091085583212,0.5,0.31389842280209,0.549999971361428
0.45,2.42,3,1,0,6,Basan 2015,3.39697152156559,18.1226513671875,0,0.13247092254574,0.36752907745426,0.5,0.232502478322693,0.449999951323398
0.3,2.44,3,1,0,8,Basan 2015,3.39697152156559,34.0364882812501,0,0.0883139386834784,0.411686061316522,0.5,0.135613920301474,0.299999934665066
0.88,2.67,3,0,1,0,Basan 2015,3.39697152156559,0,0.0463349994434275,0.259054401906198,0.194610598650375,0.5,1,0.880000425811561
0.73,2.79,3,0,1,0,Basan 2015,3.39697152156559,0,0.116294100476786,0.214896849089861,0.168809050433353,0.5,1,0.729998476432434
0.61,3.22,3,0,1,0,Basan 2015,3.39697152156559,0,0.172694916966291,0.179572567827645,0.147732515206063,0.5,1,0.610002898964916
0.4,5.39,3,0,1,0,Basan 2015,3.39697152156559,0,0.273037969635903,0.117742375797642,0.109219654566456,0.5,1,0.399967497466063
0.24,7.13,3,0,1,0,Basan 2015,3.39697152156559,0,0.352047143499628,0.070646273023921,0.0773065834764511,0.5,1,0.239983377567007
1.12,3.11,2,0,1,0,Basan 2015,5.44236028170741,0,0.0593013349766837,0.20579730828688,0.234901356736436,0.5,1,1.12002309670281
0.95,3.23,2,0,1,0,Basan 2015,5.44236028170741,0,0.119011721480454,0.174548165106612,0.206440113412934,0.5,1,0.949954001021133
0.84,3.52,2,0,1,0,Basan 2015,5.44236028170741,0,0.157879908919964,0.154345416286821,0.187774674793214,0.5,1,0.840003363262993
0.65,4.24,2,0,1,0,Basan 2015,5.44236028170741,0,0.225748424027602,0.119429830692945,0.154821745279453,0.5,1,0.649980167014323
0.52,6.05,2,0,1,0,Basan 2015,5.44236028170741,0,0.272917454350228,0.0955407268414141,0.131541818808358,0.5,1,0.51996705704717
0.42,7.61,2,0,1,0,Basan 2015,5.44236028170741,0,0.309808830258978,0.0771721303865974,0.113019039354424,0.5,1,0.419998537270764
1.71,8.69542953702427,7,0,0,0,Si 2017,10.1341125259483,0,0,0.168735395397309,0.331264604602691,0.5,1,1.7099834840667
1.63,7.67243782678612,7,1,0,1,Si 2017,10.1341125259483,0.527686523437496,0,0.160843078522116,0.339156921477884,0.5,0.926686667223735,1.63000185676305
0.98,6.11237546867294,7,1,0,2,Si 2017,10.1341125259483,7.24592285156251,0,0.0967031369655146,0.403296863034485,0.5,0.453794306280988,0.980000471620711
0.96,5.16610813670265,7,1,0,4,Si 2017,10.1341125259483,7.57482714843751,0,0.0947295400881389,0.405270459911861,0.5,0.441994570779591,0.959999818784525
0.78,4.83363583087525,7,1,0,6,Si 2017,10.1341125259483,11.218306640625,0,0.0769677459627304,0.42303225403727,0.5,0.341583233008761,0.779999798454909
0.55,7.28881593544681,7,1,0,8,Si 2017,10.1341125259483,19.07521875,0,0.0542721339104766,0.445727866089523,0.5,0.22663492218165,0.549999912072102
0.38,8.33738243844091,7,1,0,10,Si 2017,10.1341125259483,30.6976113281251,0,0.0374971116782861,0.462502888321714,0.5,0.150065293840644,0.3799999491458
0.21,8.9511774645838,7,1,0,12,Si 2017,10.1341125259483,60.7040068359377,0,0.0207220826254168,0.479277917374583,0.5,0.0796009245769792,0.209999917097971
1.51,3.63162057134543,8,0,0,0,Si 2017,7.50888400959267,0,0,0.201095843075639,0.298904156924361,0.5,1,1.51000536046622
1.34,3.58047098583352,8,1,0,1,Si 2017,7.50888400959267,1.4746552734375,0,0.178455567710837,0.321544432289163,0.5,0.812257213486627,1.34000215880669
1.17,3.40144743654185,8,1,0,2,Si 2017,7.50888400959267,3.2912578125,0,0.155815372757504,0.344184627242496,0.5,0.653597657327141,1.16999956094754
0.86,3.17127430173826,8,1,0,4,Si 2017,7.50888400959267,8.15124023437501,0,0.114530964012095,0.385469035987906,0.5,0.419891749172083,0.85999972427365
0.69,3.35029785102994,8,1,0,6,Si 2017,7.50888400959267,12.4569580078125,0,0.0918912144169779,0.408108785583022,0.5,0.315060953010499,0.690000470557696
0.54,3.06897513071445,8,1,0,8,Si 2017,7.50888400959267,18.347642578125,0,0.0719147657815561,0.428085234218444,0.5,0.233203070539453,0.539999634830728
0.51,3.29914826551803,8,1,0,10,Si 2017,7.50888400959267,19.9248574218751,0,0.0679194949518674,0.432080505048133,0.5,0.217861855033378,0.509999609583687
0.31,3.01782554520254,8,1,0,12,Si 2017,7.50888400959267,37.9421191406251,0,0.0412844396110346,0.458715560388965,0.5,0.123579075503423,0.310000068440292
1.03,2.65977844661919,9,0,0,0,Si 2017,3.67759585737632,0,0,0.280079599817355,0.219920400182645,0.5,1,1.03001957602392
0.87,2.3784557263037,9,1,0,1,Si 2017,3.67759585737632,2.8728984375,0,0.236567387295628,0.263432612704372,0.5,0.672898564705807,0.869999243508742
