growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,cm_uM,source
0.42,1.36,15,0,0,0,Basan 2015
0.47,1.67,14,0,0,0,Basan 2015
0.7,1.7,13,0,0,0,Basan 2015
0.98,2.32,12,0,0,0,Basan 2015
1.29,3.33,11,0,0,0,Basan 2015
1.83,6.6,10,0,0,0,Basan 2015
0.74,2.28,12,1,0,2,Basan 2015
0.55,2.23,12,1,0,4,Basan 2015
0.45,2.42,12,1,0,6,Basan 2015
0.3,2.44,12,1,0,8,Basan 2015
0.88,2.67,12,0,1,0,Basan 2015
0.73,2.79,12,0,1,0,Basan 2015
0.61,3.22,12,0,1,0,Basan 2015
0.4,5.39,12,0,1,0,Basan 2015
0.24,7.13,12,0,1,0,Basan 2015
1.12,3.11,11,0,1,0,Basan 2015
0.95,3.23,11,0,1,0,Basan 2015
0.84,3.52,11,0,1,0,Basan 2015
0.65,4.24,11,0,1,0,Basan 2015
0.52,6.05,11,0,1,0,Basan 2015
0.42,7.61,11,0,1,0,Basan 2015
1.71,8.69542953702427,28,0,0,0,Si 2017
1.63,7.67243782678612,28,1,0,1,Si 2017
0.98,6.11237546867294,28,1,0,2,Si 2017
0.96,5.16610813670265,28,1,0,4,Si 2017
0.78,4.83363583087525,28,1,0,6,Si 2017
0.55,7.28881593544681,28,1,0,8,Si 2017
0.38,8.33738243844091,28,1,0,10,Si 2017
0.21,8.9511774645838,28,1,0,12,Si 2017
1.51,3.63162057134543,29,0,0,0,Si 2017
1.34,3.58047098583352,29,1,0,1,Si 2017
1.17,3.40144743654185,29,1,0,2,Si 2017
0.86,3.17127430173826,29,1,0,4,Si 2017
0.69,3.35029785102994,29,1,0,6,Si 2017
0.54,3.06897513071445,29,1,0,8,Si 2017
0.51,3.29914826551803,29,1,0,10,Si 2017
0.31,3.01782554520254,29,1,0,12,Si 2017
1.03,2.65977844661919,30,0,0,0,Si 2017
0.87,2.3784557263037,30,1,0,1,Si 2017
0.75,2.27615655527988,30,1,0,2,Si 2017
0.67,2.09713300598821,30,1,0,3,Si 2017
0.54,2.0459834204763,30,1,0,4,Si 2017
0.46,2.02040862772034,30,1,0,6,Si 2017
0.34,2.14828259150011,30,1,0,8,Si 2017
0.25,2.25058176252393,30,1,0,10,Si 2017
0.65,1.56006235811318,31,0,0,0,Si 2017
0.59,1.50891277260127,31,1,0,1,Si 2017
0.46,1.50891277260127,31,1,0,2,Si 2017
0.43,1.63678673638104,31,1,0,3,Si 2017
0.34,1.73908590740485,31,1,0,4,Si 2017
0.31,1.84138507842867,31,1,0,5,Si 2017
0.27,1.84138507842867,31,1,0,5.5,Si 2017
0.24,1.89253466394058,31,1,0,6,Si 2017
0.36,1.15086567401792,32,0,0,0,Si 2017
0.32,1.09971608850601,32,1,0,0.2,Si 2017
0.28,1.02299171023815,32,1,0,0.4,Si 2017
0.23,0.971842124726242,32,1,0,0.6,Si 2017
0.21,0.997416917482195,32,1,0,0.8,Si 2017
0.801,1.99615067209644,16,0,0,0,Taheri-Araghi 2015
0.814,2.12171498856703,17,0,0,0,Taheri-Araghi 2015
1.093,2.82036772380078,18,0,0,0,Taheri-Araghi 2015
1.37,3.79590587484146,19,0,0,0,Taheri-Araghi 2015
1.548,4.90022794021095,20,0,0,0,Taheri-Araghi 2015
1.838,7.75601124045215,21,0,0,0,Taheri-Araghi 2015
2.419,12.8526346500145,22,0,0,0,Taheri-Araghi 2015
