source,growth_rate,nutrient_type,cm_type,useless_type,modulation_type,length,width,aspect_ratio,SA_V_ratio,volume
0,basan 2015,0.42,6,0,0,nutrient,2.37,0.91,2.6043956043956045,5.040765685926976,1.3440960108333335
1,basan 2015,0.47,5,0,0,nutrient,2.51,0.98,2.561224489795918,4.692319675961988,1.6468318941666664
2,basan 2015,0.7,4,0,0,nutrient,2.84,0.92,3.08695652173913,4.8741418764302065,1.6840115466666665
3,basan 2015,0.98,3,0,0,nutrient,2.95,1.07,2.7570093457943927,4.252456574490066,2.331862671916667
4,basan 2015,1.29,2,0,0,nutrient,3.29,1.21,2.71900826446281,3.7676788884011225,3.319284291583333
5,basan 2015,1.83,1,0,0,nutrient,4.94,1.36,3.6323529411764706,3.238353290796259,6.517464805333334
6,basan 2015,0.74,3,1,0,cm,2.72,1.11,2.4504504504504503,4.170979490128427,2.2740022631250003
7,basan 2015,0.55,3,1,0,cm,2.74,1.09,2.5137614678899083,4.230734588314011,2.217677262458334
8,basan 2015,0.45,3,1,0,cm,2.88,1.11,2.5945945945945943,4.134812102939593,2.4288279491250004
9,basan 2015,0.3,3,1,0,cm,3.0,1.08,2.7777777777777777,4.2087542087542085,2.4184020960000003
10,basan 2015,0.88,3,0,1,useless,3.15,1.1,2.8636363636363633,4.115405552531301,2.645012104166667
11,basan 2015,0.73,3,0,1,useless,3.15,1.13,2.7876106194690267,4.0205922396187885,2.7812244026666657
12,basan 2015,0.61,3,0,1,useless,3.47,1.15,3.0173913043478264,3.910226312329797,3.205992377083333
13,basan 2015,0.4,3,0,1,useless,4.89,1.23,3.975609756097561,3.549651567944251,5.323108392
14,basan 2015,0.24,3,0,1,useless,5.92,1.27,4.661417322834645,3.392177554518844,6.962799918458336
15,basan 2015,1.12,2,0,1,useless,3.11,1.21,2.5702479338842976,3.7983959614053657,3.112308134833333
16,basan 2015,0.95,2,0,1,useless,3.13,1.22,2.5655737704918034,3.768284607821498,3.1834463551666667
17,basan 2015,0.84,2,0,1,useless,3.27,1.24,2.6370967741935485,3.692550909022472,3.4496895273333332
18,basan 2015,0.65,2,0,1,useless,3.51,1.32,2.6590909090909087,3.464613562333432,4.201102818
19,basan 2015,0.52,2,0,1,useless,4.66,1.34,3.4776119402985075,3.3015303230682034,5.941724194666668
20,basan 2015,0.42,2,0,1,useless,5.76,1.36,4.235294117647058,3.1924327519952707,7.708621077333333
21,si 2017,1.71,7,0,0,nutrient,4.6863,1.4395527845935925,3.255386013040858,3.0956143364371496,6.8461734164399
22,si 2017,1.63,7,1,0,cm,4.4983,1.3999367243777354,3.213216655916696,3.187988172623582,6.205505787680803
23,si 2017,0.98,7,1,0,cm,4.2860000000000005,1.308707761032325,3.274986309104754,3.4027916945990992,5.178411333978285
24,si 2017,0.96,7,1,0,cm,4.0082,1.2682871587195392,3.160325303653372,3.5257345340771904,4.529543486558723
25,si 2017,0.78,7,1,0,cm,3.7043,1.2847242592821082,2.8833424551895113,3.5205017060212636,4.246670658283882
