source,growth_rate,nutrient_type,cm_type,useless_type,modulation_type,length,width,aspect_ratio,SA_V_ratio,volume
26,si 2017,0.55,7,1,0,cm,4.5663,1.3611150221816308,3.354823013180043,3.2629743694300566,5.983877159192461
27,si 2017,0.38,7,1,0,cm,4.3563,1.4724473538730831,2.9585438070443155,3.061498784836519,6.58204017376225
28,si 2017,0.21,7,1,0,cm,4.7231000000000005,1.447801887106406,3.2622557285373097,3.077237318674839,6.980915040665774
29,si 2017,1.51,8,0,0,nutrient,3.9191,1.1192330051670243,3.5015943792822197,3.949884182135325,3.488667314084043
30,si 2017,1.34,8,1,0,cm,3.8912,1.1174100553524644,3.4823384498474015,3.9586310607604456,3.4505487256960765
31,si 2017,1.17,8,1,0,cm,3.7361,1.1188867465430297,3.339122580138917,3.9714371842126566,3.3066938515278825
32,si 2017,0.86,8,1,0,cm,3.6298,1.103040322456687,3.2907228558206505,4.035072853541463,3.1171648379799795
33,si 2017,0.69,8,1,0,cm,3.6264,1.128042231924535,3.2147732570375993,3.9561742309974934,3.24834927045595
34,si 2017,0.54,8,1,0,cm,3.4834,1.112613355002421,3.1308270607559083,4.023515513957583,3.0260702081960558
35,si 2017,0.51,8,1,0,cm,3.4924,1.141556502337502,3.0593317044305786,3.932453125738902,3.184893402094192
36,si 2017,0.31,8,1,0,cm,3.3390999999999997,1.1279913115386535,2.9602178366473852,3.9961053536005906,2.960978913748517
37,si 2017,1.03,9,0,0,nutrient,3.2031,1.102327437054345,2.905760931216018,4.098888402023752,2.706151364071832
38,si 2017,0.87,9,1,0,cm,3.0563,1.0786189053878885,2.8335309020945685,4.202866430411102,2.4640838679981574
39,si 2017,0.75,9,1,0,cm,2.9693,1.0756044185437,2.7605873951505737,4.229545271534223,2.372193120562905
40,si 2017,0.67,9,1,0,cm,2.8445,1.066978505175363,2.6659393663534887,4.284628714779215,2.225284170289703
41,si 2017,0.54,9,1,0,cm,2.7872,1.068251514822402,2.609123377150909,4.292881464452401,2.178862467277822
42,si 2017,0.46,9,1,0,cm,2.7914,1.063200212542951,2.6254697535505183,4.3093472792405425,2.1635288900158356
43,si 2017,0.34,9,1,0,cm,2.8348999999999998,1.0816028400005482,2.6210175261730666,4.237073776100099,2.2734039011262737
44,si 2017,0.25,9,1,0,cm,2.9252,1.0823870139431244,2.7025453579154903,4.215474646777981,2.3595474768061218
45,si 2017,0.65,10,0,0,nutrient,2.9282,0.9503199011206993,3.0812782059460333,4.71968553647217,1.8522284946224536
46,si 2017,0.59,10,1,0,cm,2.6437,0.9857808578486207,2.681833369913107,4.633624428234497,1.7668870430287977
47,si 2017,0.46,10,1,0,cm,2.5433,1.002615137421066,2.536666269114882,4.593132159032199,1.7440541742164484
48,si 2017,0.43,10,1,0,cm,2.6014,1.0207631629492553,2.548485382724692,4.508308299660156,1.8503572299500954
49,si 2017,0.34,10,1,0,cm,2.6971,1.0239813313369701,2.633934738320383,4.472306732112299,1.939968017141572
50,si 2017,0.31,10,1,0,cm,2.769,1.031497180293089,2.6844474739264124,4.42764857431732,2.02653879289165
51,si 2017,0.27,10,1,0,cm,2.7523,1.0348070053753908,2.6597230069983575,4.419311148130579,2.024592457214849
52,si 2017,0.24,10,1,0,cm,2.7321,1.0511422651661966,2.599172434159544,4.365203732012504,2.06676280194345
53,si 2017,0.36,11,0,0,nutrient,2.4452,0.9293101499059657,2.631199067660482,4.928654424130111,1.4483841491230072
54,si 2017,0.32,11,1,0,cm,2.4356999999999998,0.9182400580153138,2.652574322737049,4.982249127683396,1.4102355396382447
55,si 2017,0.28,11,1,0,cm,2.3347,0.9147265513894858,2.5523474708955916,5.029773573459498,1.3338623001325212
56,si 2017,0.23,11,1,0,cm,2.2331,0.9156533024125304,2.438805161425518,5.060070828550747,1.269462001448486
57,si 2017,0.21,11,1,0,cm,2.1873,0.9317441443511045,2.3475328643179223,5.003483934383613,1.2795862934909428
