sigma,a_sat,q,goodness_fit,log_goodness_fit,a_max
15.9375,0.15625,0.44375,0.00249104709389113,-5.99505213726413,0.131137531093266
13.28125,0.078125,0.521875,0.00494960837821974,-5.3084468210425,0.102722181450871
18.59375,0.546875,0.390625,0.00291535145068365,-5.83776490017495,0.225349615193932
11.953125,0.2734375,0.3359375,0.00651154209794849,-5.03417896940833,0.204067835568734
19.921875,0.0390625,0.6078125,0.0171117254871181,-4.06799134945798,0.0580166663161488
10.0390625,0.01953125,0.46328125,0.00336626013504457,-5.6939529030611,0.060394579838232
12.6953125,0.41015625,0.32265625,0.00886327501172955,-4.72583894251517,0.241472242218989
16.6796875,0.13671875,0.35546875,0.00461683772085168,-5.37804528425527,0.119617227194428
19.3359375,0.37109375,0.40859375,0.00217259446898443,-6.13183321777269,0.18170642915147
15.64453125,0.341796875,0.344140625,0.00522123659273944,-5.25502100998201,0.195943884621114
18.30078125,0.107421875,0.491015625,0.00514634518446599,-5.26946848916275,0.100756227186084
14.94140625,0.068359375,0.376953125,0.00435266043240959,-5.43696802717135,0.0899228197502808
15.05859375,0.009765625,0.544921875,0.0114986910053296,-4.46552207571507,0.0338217408776257
8.33984375,0.087890625,0.329296875,0.00653041627478833,-5.03128458967227,0.143344568355734
13.02734375,0.244140625,0.423046875,0.00170842869857448,-6.37218122062806,0.18358323369789
19.04296875,0.205078125,0.308984375,0.00722041524717786,-4.9308428142717,0.136223500623204
10.791015625,0.1025390625,0.3138671875,0.00693329192243221,-4.97142055368693,0.132630052730114
19.775390625,0.4541015625,0.3591796875,0.0041523416856984,-5.48408284226118,0.19855972594379
17.431640625,0.0634765625,0.4060546875,0.00474518971157396,-5.3506238663551,0.0795411852699873
12.548828125,0.0048828125,0.6724609375,0.0236625044525967,-3.74386357427569,0.0265196050812471
15.517578125,0.2392578125,0.3943359375,0.00255968305594042,-5.96787183442857,0.164691626591614
19.189453125,0.1220703125,0.5583984375,0.00886952372171291,-4.72513417951234,0.104650815333691
7.470703125,0.0439453125,0.3677734375,0.00372596560569092,-5.59242923773882,0.108568949702961
7.529296875,0.0146484375,0.4791015625,0.00203879409383125,-6.19539677638739,0.0623866670414836
13.466796875,0.1708984375,0.3728515625,0.00336206053130254,-5.69520123960617,0.15072116695944
19.482421875,0.2880859375,0.4587890625,0.00222317098583875,-6.10882073025143,0.15945405005987
17.138671875,0.5224609375,0.3056640625,0.00918805719513568,-4.68985076919254,0.230348024769408
12.451171875,0.0537109375,0.5869140625,0.00963093640363048,-4.64277481972388,0.0883665362906249
17.568359375,0.0341796875,0.3408203125,0.00715038904740149,-4.94058851153253,0.0581159395028709
14.208984375,0.1513671875,0.4267578125,0.00213970335548401,-6.14708807848958,0.137615292198322
16.552734375,0.2294921875,0.5048828125,0.00302172482944012,-5.80192747505501,0.155604995302427
17.1923828125,0.19287109375,0.33076171875,0.00571008827778647,-5.16552079522594,0.139703748506325
18.6767578125,0.07568359375,0.51669921875,0.00741523568154263,-4.90421851946814,0.0836324687371421
11.2939453125,0.01708984375,0.36123046875,0.00504614053538088,-5.28913157830273,0.0527272177644711
15.4345703125,0.13427734375,0.46904296875,0.00291743423195197,-5.83705073666195,0.123742047436863
18.0908203125,0.36865234375,0.31591796875,0.00703603546969743,-4.95671041094594,0.187826008982664
16.8994140625,0.31982421875,0.43115234375,0.0016848302900074,-6.38609043834672,0.181635125371162
19.5556640625,0.08544921875,0.38427734375,0.00506436407934794,-5.28552670111879,0.086660346885572
13.6962890625,0.04638671875,0.49833984375,0.00530105775968416,-5.23984890103806,0.0777717436801516
16.3134765625,0.02685546875,0.63037109375,0.0185453502250397,-3.98753618307252,0.0536637304948764
9.5947265625,0.10498046875,0.44599609375,0.00134396318460977,-6.6121324296598,0.143860794089734
14.2822265625,0.26123046875,0.30224609375,0.00834540931286313,-4.78604367419605,0.180261939759271
17.7978515625,0.22216796875,0.41630859375,0.00244246607692644,-6.01474706281259,0.147120610831742
14.3896484375,0.32470703125,0.35205078125,0.00487445100366556,-5.32374779550654,0.200112999482517
19.7021484375,0.16845703125,0.53330078125,0.00635169630297583,-5.05903336742466,0.121191655556656
12.0458984375,0.09033203125,0.41142578125,0.00241553945797961,-6.02583263877738,0.116783998371603
16.1865234375,0.05126953125,0.31923828125,0.00733521774511097,-4.91506818205944,0.0744552227042928
13.8037109375,0.03173828125,0.55283203125,0.00919086741733515,-4.68954495998111,0.0640359499987104
19.1162109375,0.50048828125,0.33408203125,0.00602920713427887,-5.11113976374079,0.212364751312994
16.7724609375,0.26611328125,0.48095703125,0.00210971504028544,-6.16120239261193,0.166376086506864
8.7841796875,0.02197265625,0.39541015625,0.00282800658788176,-5.86818320143081,0.0694285792498708
14.7216796875,0.17822265625,0.45166015625,0.00196035410018208,-6.23463015869916,0.146382124298519
17.0654296875,0.10009765625,0.57978515625,0.0102121188660106,-4.58418013983412,0.101056607689652
18.2373046875,0.29541015625,0.36572265625,0.00373271957914383,-5.59061820130772,0.167395162754001
18.8232421875,0.00244140625,0.43369140625,0.00939875685149075,-4.66717784829337,0.0149622127630364
16.4794921875,0.39306640625,0.38056640625,0.003195953937673,-5.74586966367477,0.20417360471968
12.9638671875,0.11962890625,0.34775390625,0.00463349281446631,-5.37444430771756,0.128861691109871
19.9951171875,0.66650390625,0.30087890625,0.00968954971801885,-4.63670732288787,0.239143268515675
12.65869140625,0.098876953125,0.460791015625,0.0023447300241887,-6.0555850119894,0.118757202087242
19.29931640625,0.059814453125,0.371728515625,0.00587634956768176,-5.13681953168409,0.0730175364173457
10.66650390625,0.001220703125,0.500634765625,0.00734646500016502,-4.91353603381058,0.0145610153729881
15.97900390625,0.469970703125,0.381884765625,0.00351258896049951,-5.65140191781039,0.227078837415569
18.63525390625,0.235595703125,0.428759765625,0.00238190332162324,-6.03985539593264,0.147736503311698
14.65087890625,0.196533203125,0.339697265625,0.00511884596524732,-5.27482626274917,0.154127224893122
9.33837890625,0.040283203125,0.408447265625,0.00235260482244189,-6.052232129605,0.0905801237493172
5.64697265625,0.010986328125,0.344775390625,0.00543992474046524,-5.21399005268329,0.0653317146134657
10.33447265625,0.167236328125,0.401025390625,0.00242152142973669,-6.02335924638245,0.173740875848134
17.67822265625,0.089111328125,0.529150390625,0.00722958058697748,-4.92957425459405,0.093527513516867
16.35009765625,0.284423828125,0.318212890625,0.00673685973171808,-5.00016137780548,0.174430845401358
15.68603515625,0.030517578125,0.481494140625,0.00654520197091891,-5.02902302128526,0.0584595004521348
18.34228515625,0.421142578125,0.328369140625,0.00624771822135324,-5.07553896647691,0.199235987104421
12.32666015625,0.147705078125,0.398681640625,0.0023872582087435,-6.03760976456264,0.147365940184777
17.82470703125,0.162353515625,0.378173828125,0.00375517439315323,-5.58462055192751,0.125667805846875
9.77783203125,0.123291015625,0.357861328125,0.00435253630610881,-5.43699654491874,0.154153443806095
16.80908203125,0.045166015625,0.567236328125,0.0113130958855134,-4.48179429638086,0.0684537042209314
13.17626953125,0.025634765625,0.310205078125,0.00771536887299314,-4.86454098186759,0.0590877671120175
18.95751953125,0.728759765625,0.338330078125,0.00702647159010924,-4.95807060668089,0.257410668617015
19.81689453125,0.142822265625,0.421142578125,0.00370851093086052,-5.5971248492767,0.111248646879516
17.47314453125,0.377197265625,0.368017578125,0.00368568096717392,-5.60329997606479,0.19363353471683
15.18798828125,0.113525390625,0.331689453125,0.00575983542550136,-5.15684637664409,0.114810883667923
11.82861328125,0.074462890625,0.448876953125,0.002360653645933,-6.04881672967767,0.107152132451979
18.19580078125,0.015869140625,0.679345703125,0.0272748128039095,-3.60179161057127,0.0388323187828371
11.16455078125,0.250244140625,0.351220703125,0.00552520152300742,-5.19843555749103,0.203122858563502
19.52392578125,0.601806640625,0.321533203125,0.00747546061553795,-4.89612954079612,0.23020504373227
17.18017578125,0.211181640625,0.468408203125,0.00246368800798956,-6.00609586146198,0.146249584602608
13.91357421875,0.096435546875,0.364599609375,0.00410529350658059,-5.49547803885771,0.111156821809257
15.39794921875,0.447998046875,0.306787109375,0.00917671268087852,-4.6910862342462,0.226340835538125
18.05419921875,0.057373046875,0.453662109375,0.00549575818476446,-5.20377872343535,0.0741829918732121
19.89013671875,0.272216796875,0.346630859375,0.00479416684084014,-5.34035534156464,0.15326163285019
16.06201171875,0.155029296875,0.507568359375,0.00393231347931158,-5.53852735471956,0.130054535815187
13.40576171875,0.233154296875,0.435693359375,0.00151338886924191,-6.49340385853339,0.176481356307853
8.09326171875,0.076904296875,0.316943359375,0.00747629050694036,-4.89601853153754,0.13657071283972
6.90185546875,0.028076171875,0.429833984375,0.00152809714994149,-6.48373201045428,0.0912999306256172
11.58935546875,0.184326171875,0.323583984375,0.00670258081029928,-5.00526263118693,0.170577248408187
15.10498046875,0.301513671875,0.406396484375,0.00213693900818025,-6.14838084391333,0.187694222359225
17.76123046875,0.535888671875,0.353271484375,0.00511816017760575,-5.2749602448203,0.228762836705124
13.07373046875,0.067138671875,0.534521484375,0.00584196007949228,-5.14268890840312,0.0960636547163972
16.94091796875,0.008544921875,0.393115234375,0.00741284225070664,-4.90454134362212,0.0296454608783167
19.59716796875,0.399169921875,0.446240234375,0.00163956511592455,-6.4133242455274,0.187108949598677
18.42529296875,0.203857421875,0.554052734375,0.00654585055834958,-5.02892393262455,0.138267271590729
13.73779296875,0.360107421875,0.335302734375,0.00657754196546584,-5.02409416491574,0.216340476137485
19.07958984375,0.189208984375,0.496435546875,0.00404022368727406,-5.51145522040469,0.130704220465307
16.73583984375,0.579833984375,0.343310546875,0.00645924198262256,-5.04224330822383,0.245856910065614
12.59521484375,0.306396484375,0.385498046875,0.00333887379596543,-5.70212171569049,0.209651382211096
14.43115234375,0.013427734375,0.414404296875,0.00588447998749063,-5.13543690453761,0.0406284180512927
9.11865234375,0.169677734375,0.333154296875,0.0071959709595475,-4.9342339985402,0.188575847824254
18.57177734375,0.130615234375,0.303466796875,0.00781040515466046,-4.85229844007909,0.110206401064324
18.78662109375,0.316162109375,0.396826171875,0.00255895304289947,-5.96815707175812,0.170385558978065
9.41162109375,0.003662109375,0.634326171875,0.0154329583917001,-4.17124990112746,0.0271710800463886
14.09912109375,0.159912109375,0.515576171875,0.0033868539416656,-5.68785382929287,0.142066013930152
16.44287109375,0.081787109375,0.443701171875,0.00398607625361096,-5.52494792701552,0.093245396612527
17.30224609375,0.745849609375,0.323388671875,0.0093086479345318,-4.67681142546503,0.273778361575168
10.58349609375,0.042724609375,0.326513671875,0.00591398280854101,-5.13043576446494,0.086586460499129
19.45068359375,0.023193359375,0.596044921875,0.0168733271795597,-4.08202117723742,0.0452771322351068
14.76318359375,0.491943359375,0.314794921875,0.00917829068698705,-4.69091429136166,0.242828194334963
15.93505859375,0.218505859375,0.356982421875,0.00415201872759666,-5.48416062262856,0.155084484296615
19.063720703125,0.6561279296875,0.3573486328125,0.00512391700041676,-5.2738360932801,0.24350975637904
13.594970703125,0.1092529296875,0.3917236328125,0.00302047474381837,-5.80234126001012,0.119868611329692
16.954345703125,0.4608154296875,0.3370361328125,0.00608070886070223,-5.10263400086874,0.217627163393544
19.610595703125,0.0701904296875,0.4776611328125,0.00625314321936618,-5.07467102655465,0.0784331905027953
17.696533203125,0.2459716796875,0.3221923828125,0.0062596957379016,-5.07362369922042,0.155299136069909
16.368408203125,0.1287841796875,0.5362548828125,0.00598119735879484,-5.11913450383917,0.117300821930108
9.649658203125,0.0506591796875,0.3393798828125,0.0050474815621602,-5.28886586064969,0.0996007276754435
14.337158203125,0.2069091796875,0.4081298828125,0.00215599236964525,-6.13950416506723,0.160082943203231
10.645751953125,0.1580810546875,0.3452392578125,0.00519094793448726,-5.26083895214549,0.165984908199998
5.333251953125,0.0018310546875,0.4014892578125,0.00232501413400837,-6.06402916081791,0.0277512111271647
18.614501953125,0.0799560546875,0.6233642578125,0.0160482654969189,-4.13215450397375,0.0861038443473535
17.286376953125,0.2752685546875,0.4374267578125,0.00184312685367275,-6.29629177267248,0.16640435607228
14.630126953125,0.0408935546875,0.5093017578125,0.0065736355743485,-5.02468823966234,0.0703501204924729
19.942626953125,0.5096435546875,0.3780517578125,0.00326699386239868,-5.72388502503081,0.209419403351578
15.372314453125,0.0213623046875,0.3632080078125,0.00633701990717768,-5.06134666722583,0.0494750945339205
18.028564453125,0.4119873046875,0.4225830078125,0.00175764188953334,-6.34378220380662,0.198946134056777
11.387939453125,0.1385498046875,0.4553955078125,0.00146237750963218,-6.52769173646349,0.149398107688207
14.044189453125,0.3729248046875,0.3085205078125,0.00891530033690812,-4.71998633929359,0.217438267493487
18.135986328125,0.1727294921875,0.4723876953125,0.00328942663010408,-5.71704200595689,0.128394105135453
15.792236328125,0.5633544921875,0.3130126953125,0.00948558845392939,-4.65798163704206,0.250241805136049
14.776611328125,0.2899169921875,0.3583251953125,0.00424463909687933,-5.46209848123608,0.186319453178673
8.175048828125,0.1922607421875,0.3106689453125,0.011116865187943,-4.49929193746219,0.21463363362013
12.862548828125,0.0360107421875,0.4419189453125,0.00393425769513699,-5.53803305655029,0.0710115096368603
18.878173828125,0.1531982421875,0.3278564453125,0.00618131857861268,-5.08622366803596,0.118292666760278
18.468017578125,0.3387451171875,0.3719970703125,0.00342846367546699,-5.67564302617217,0.178019628656019
16.124267578125,0.1043701171875,0.4126220703125,0.00338324570822398,-5.68891976154494,0.106481786583488
12.139892578125,0.0653076171875,0.3048095703125,0.00741329881393121,-4.90447975467288,0.0988489730169099
17.882080078125,0.0067138671875,0.5727783203125,0.0158628635268313,-4.1437745288311,0.0255056566124603
16.866455078125,0.2020263671875,0.3868408203125,0.00306714323757735,-5.7870086921113,0.144507227361654
16.881103515625,0.1654052734375,0.5609619140625,0.00704428820322621,-4.95553817447389,0.130685903106098
12.193603515625,0.3216552734375,0.3297119140625,0.00745176261796373,-4.89930468155912,0.21883289726628
14.849853515625,0.0872802734375,0.4828369140625,0.0039743299083169,-5.52789912161051,0.101948536305943
18.365478515625,0.0482177734375,0.3968994140625,0.0055909573400076,-5.18660474708521,0.0673713758688218
16.295166015625,0.4974365234375,0.3617431640625,0.00474438202219556,-5.35079409308461,0.231091699697843
11.607666015625,0.0286865234375,0.5304931640625,0.00637417674153813,-5.055500334859,0.0672177047556339
18.951416015625,0.2630615234375,0.4023681640625,0.00263141568533941,-5.94023329421599,0.154683739390288
8.404541015625,0.0677490234375,0.4351806640625,0.00144755281488821,-6.53788086221335,0.125244184291193
13.092041015625,0.2239990234375,0.3164306640625,0.0071566666156638,-4.93971096288618,0.175339166294743
11.900634765625,0.1947021484375,0.4301025390625,0.00156064778167008,-6.46265429925059,0.172633517450936
6.588134765625,0.0384521484375,0.3238525390625,0.00718859005351171,-4.9352602247388,0.110143271830471
19.869384765625,0.1165771484375,0.5019775390625,0.005936719156075,-5.12659862882544,0.100359144277979
16.041259765625,0.3118896484375,0.3379150390625,0.00544887117498798,-5.21234681561551,0.184598496120856
16.627197265625,0.0189208984375,0.4621337890625,0.00716656882839163,-4.93832828446215,0.0445592654080847
19.283447265625,0.4095458984375,0.3027587890625,0.00815225549555476,-4.80946064209618,0.19118481584289
10.142822265625,0.1361083984375,0.3699462890625,0.00367296657976827,-5.60675561107839,0.158476010115409
19.390869140625,0.1800537109375,0.3529541015625,0.00480804397603026,-5.33746493536214,0.126388802261513
15.875244140625,0.0628662109375,0.5888916015625,0.0117496781577722,-4.443929429595,0.083363351289798
14.117431640625,0.0042724609375,0.3334228515625,0.00810607025160097,-4.81514208419614,0.0232013749195724
18.648681640625,0.7073974609375,0.3177978515625,0.00884273390195775,-4.72815918521778,0.25588994987618
17.633056640625,0.1214599609375,0.4474853515625,0.0035649019331807,-5.63661873371844,0.109342170075648
15.289306640625,0.3558349609375,0.3881103515625,0.00288768672885611,-5.84729953722299,0.20252039543415
9.097900390625,0.0140380859375,0.5150634765625,0.00451446506926268,-5.40046857770095,0.0543178763514837
19.722900390625,0.3265380859375,0.4525634765625,0.00197670384181695,-6.22632454782744,0.168621058173829
17.379150390625,0.0921630859375,0.3119384765625,0.00739768689091093,-4.90658790994538,0.0959974403811385
10.894775390625,0.0531005859375,0.4197509765625,0.00250332055277006,-5.99013720730532,0.0949070631119859
19.136962890625,0.0335693359375,0.6517822265625,0.0223232374920517,-3.80212710306056,0.0549633950149306
11.480712890625,0.2679443359375,0.3799072265625,0.00374953284642709,-5.58612402104595,0.20679531995593
17.965087890625,0.6195068359375,0.3470947265625,0.0059822366970965,-5.11896075133644,0.244410056003742
15.621337890625,0.2288818359375,0.4877197265625,0.00225084983224408,-6.09644743085812,0.160469523568296
15.003662109375,0.1666259765625,0.3005615234375,0.00783512425443839,-4.84913854440541,0.140051313714784
18.988037109375,0.0494384765625,0.5396240234375,0.0100771514839547,-4.59748464715275,0.0669856030689575
10.980224609375,0.0299072265625,0.3825927734375,0.00380599170028364,-5.57117869080324,0.0709091712102249
16.995849609375,0.1470947265625,0.4997802734375,0.00412998619451581,-5.48948121474703,0.122786932270773
19.652099609375,0.3814697265625,0.3404052734375,0.00515786762911557,-5.26723203507145,0.182623774896315
15.335693359375,0.3326416015625,0.4001708984375,0.00236085247059936,-6.04873250881188,0.195480509162629
17.991943359375,0.0982666015625,0.3595458984375,0.00512932765299432,-5.27278069018329,0.0972716959760409
14.007568359375,0.0592041015625,0.4704833984375,0.00408529364034803,-5.50036167067146,0.0867597821263138
18.812255859375,0.7818603515625,0.3197021484375,0.00916359592491284,-4.69251660910892,0.267747085110431
15.999755859375,0.0006103515625,0.6009521484375,0.019358487456844,-3.94462432741493,0.00819402932787268
13.343505859375,0.2349853515625,0.3290771484375,0.00617672622492168,-5.08696688494048,0.177658313485972
19.984130859375,0.1959228515625,0.4400146484375,0.0030553611785426,-5.79085746796446,0.129683029608161
17.513427734375,0.1910400390625,0.5105224609375,0.0040330511406001,-5.5132320826357,0.137633183208366
10.482177734375,0.1129150390625,0.4323974609375,0.00157481648226511,-6.45361653269019,0.14156483091098
16.497802734375,0.0738525390625,0.3495849609375,0.00556489412603451,-5.19127731940694,0.0884415939018969
18.177490234375,0.4840087890625,0.3097412109375,0.00817320467344373,-4.80689419812819,0.214667917623746
13.489990234375,0.0152587890625,0.5784912109375,0.0123893565681296,-4.39091751623682,0.0449917325969873
15.833740234375,0.2496337890625,0.4503662109375,0.0017003805259171,-6.37690321419336,0.1663341114815
12.474365234375,0.2105712890625,0.3675537109375,0.00374812640970043,-5.5864991879334,0.174754647692946
12.532958984375,0.1617431640625,0.4796630859375,0.00178693294409461,-6.32725456779843,0.152750235573698
8.470458984375,0.0054931640625,0.3734130859375,0.00398243932810078,-5.52586075092241,0.0354854896167992
15.501708984375,0.0836181640625,0.5515380859375,0.00775169268781283,-4.85984404813448,0.0974250066116241
19.173583984375,0.2789306640625,0.3906005859375,0.00289311711899797,-5.84542077022722,0.15827182151474
18.509521484375,0.0250244140625,0.4101318359375,0.00665478607564969,-5.01241897255785,0.0483314854720453
16.165771484375,0.4156494140625,0.3507568359375,0.00504217461330724,-5.28991781906137,0.212201792662369
14.525146484375,0.1422119140625,0.3210693359375,0.00629068093665853,-5.06868595710872,0.13175405607696
17.806396484375,0.6890869140625,0.3304443359375,0.0079057510614489,-4.84016480189798,0.259021529234859
16.258544921875,0.1837158203125,0.4248779296875,0.00233838142523187,-6.05829628756525,0.140627323630245
18.914794921875,0.5743408203125,0.3655029296875,0.00425958772398191,-5.45858290179219,0.22881560216349
14.227294921875,0.1055908203125,0.5467529296875,0.00609337120069797,-5.10055378708699,0.114853709468664
10.399169921875,0.3009033203125,0.3076904296875,0.0108122828649778,-4.52707248877755,0.232190156500884
17.742919921875,0.0665283203125,0.6358154296875,0.0175936288217241,-4.04021844124108,0.080646854002263
12.235107421875,0.0079345703125,0.4928466796875,0.00688986899707231,-4.97770320762466,0.0343150929149742
