sigma,a_sat,q,goodness_fit,log_goodness_fit,a_max,a_fast_growth,a_medium_nut_and_cm
2,0,0,0.129454649654071,-2.04442465489685,0,0,0
8.5,0.1,0.5,0.00148767714384129,-6.51053933933827,0.15115870232297,0.0701290596507556,0.052539954001661
5.25,0.05,0.75,NaN,NaN,NaN,NaN,NaN
11.75,0.15,0.25,0.0135848321865556,-4.29880138902844,0.152707133683049,0.0725596135771139,0.0545140835987856
13.375,0.025,0.625,0.0158143902802792,-4.14683497622228,0.0578891889543467,0.0276978204164968,0.0208232869108756
6.875,0.125,0.125,0.0416573466637712,-3.17827753543755,0.193225809992619,0.0877017694513438,0.0655159327786197
10.125,0.075,0.375,0.00328798162634863,-5.7174813898973,0.117794959313381,0.0554204809254804,0.0415849623650184
3.625,0.175,0.875,NaN,NaN,NaN,NaN,NaN
10.9375,0.0125,0.9375,NaN,NaN,NaN,NaN,NaN
4.4375,0.1125,0.4375,NaN,NaN,NaN,NaN,NaN
14.1875,0.0625,0.1875,0.0194594110242844,-3.93942446864919,0.0885346505785015,0.0424871573160048,0.0319769822854283
7.6875,0.1625,0.6875,NaN,NaN,NaN,NaN,NaN
6.0625,0.0375,0.3125,0.00905890322283442,-4.70400722333754,0.115027303366694,0.0513771596392281,0.038312607210864
12.5625,0.1375,0.8125,NaN,NaN,NaN,NaN,NaN
2.8125,0.0875,0.5625,NaN,NaN,NaN,NaN,NaN
9.3125,0.1875,0.0625,0.0523858217937125,-2.94911930072342,0.195817970056132,0.0915485560677941,0.0686391315811037
7.28125,0.00625,0.53125,0.00398891815485243,-5.52423522397995,0.041651029266404,0.0190428639477164,0.0142370560702294
13.78125,0.10625,0.03125,0.0490750958081069,-3.01440358654221,0.117355906237598,0.0562588904989659,0.0422930712372361
4.03125,0.05625,0.28125,0.0251512700350787,-3.68284688529872,0.190525976975403,0.0785621276565498,0.0581133717768499
10.53125,0.15625,0.78125,NaN,NaN,NaN,NaN,NaN
8.90625,0.03125,0.15625,0.0248754321084873,-3.69387462489289,0.0821298509222525,0.0382452908942781,0.0286707290049354
2.40625,0.13125,0.65625,NaN,NaN,NaN,NaN,NaN
12.15625,0.08125,0.90625,NaN,NaN,NaN,NaN,NaN
5.65625,0.18125,0.40625,NaN,NaN,NaN,NaN,NaN
12.96875,0.01875,0.46875,0.00541242011875516,-5.21905894442199,0.0510176481870066,0.0243708499333222,0.0183016094229937
6.46875,0.11875,0.96875,NaN,NaN,NaN,NaN,NaN
9.71875,0.06875,0.71875,NaN,NaN,NaN,NaN,NaN
3.21875,0.16875,0.21875,NaN,NaN,NaN,NaN,NaN
4.84375,0.04375,0.84375,NaN,NaN,NaN,NaN,NaN
11.34375,0.14375,0.34375,0.00507211599382181,-5.28399719266435,0.152575614426507,0.0723598764232898,0.054340826029682
8.09375,0.09375,0.09375,0.0420423271409442,-3.16907837910715,0.150868889602057,0.0696873772486911,0.0521583378644981
14.59375,0.19375,0.59375,0.00794223081695753,-4.83556108387022,0.153445131281729,0.0737488850917959,0.055485053467873
14.390625,0.003125,0.796875,0.0471387102229873,-3.054660742413,0.0196506737372782,0.00942963194687152,0.00711317597429705
7.890625,0.103125,0.296875,0.0104285808793565,-4.56320508064981,0.160771423405625,0.0740611546764989,0.0554523536294596
11.140625,0.053125,0.046875,0.0448269527171628,-3.1049456973129,0.0937375510346636,0.0444059485429119,0.0333345319224272
4.640625,0.153125,0.546875,NaN,NaN,NaN,NaN,NaN
3.015625,0.028125,0.421875,NaN,NaN,NaN,NaN,NaN
9.515625,0.128125,0.921875,NaN,NaN,NaN,NaN,NaN
6.265625,0.078125,0.671875,NaN,NaN,NaN,NaN,NaN
12.765625,0.178125,0.171875,0.0245652156319593,-3.7064238353842,0.158693715471649,0.0757493475878548,0.0569587796448127
5.453125,0.015625,0.234375,0.0174724263957786,-4.04713127519713,0.079879468654125,0.035083834834177,0.0261165417055689
11.953125,0.115625,0.734375,NaN,NaN,NaN,NaN,NaN
2.203125,0.065625,0.984375,NaN,NaN,NaN,NaN,NaN
8.703125,0.165625,0.484375,0.0014281143859196,-6.55140031608816,0.191749368222366,0.0891477543610324,0.0668018050322105
10.328125,0.040625,0.609375,0.0103010097294651,-4.57551335656446,0.0856999936198495,0.0403780806412267,0.0302974529416126
3.828125,0.140625,0.109375,0.0784900450025467,-2.54478347748969,0.31457590436971,0.127820785966645,0.0944447130112937
13.578125,0.090625,0.359375,0.0043453882341423,-5.43864017232494,0.109289387280694,0.0523494384718116,0.0393713202673851
7.078125,0.190625,0.859375,NaN,NaN,NaN,NaN,NaN
9.921875,0.009375,0.265625,0.0106441012084526,-4.54274941741391,0.0421635947646107,0.019796950825139,0.0148710353984747
3.421875,0.109375,0.765625,NaN,NaN,NaN,NaN,NaN
13.171875,0.059375,0.515625,0.00515990753550252,-5.26683661912548,0.0900120948855606,0.0430532599375415,0.0323599657833071
