sigma,a_sat,q,goodness_fit,log_goodness_fit,a_max
41.4189300914619,0.1,0.6,0.0194074115560495,-3.94210024689954,0.062975214894355
18.848783087024,0.1,0.45,0.00444228904952216,-5.41658548369494,0.0956534183089411
91.0153065055125,0.1,0.35,0.0115857909379921,-4.45797585083507,0.0420322388205852
12.7152685412096,0.1,0.375,0.00345664446191103,-5.66745696917746,0.119130640089963
61.3983437676034,0.1,0.475,0.0119499457600769,-4.42702853952062,0.0513926863951334
27.9409453846963,0.1,0.625,0.0192089862879904,-3.95237707361017,0.077414203630736
134.918721092006,0.1,0.525,0.0181472607279754,-4.00923565373995,0.034414381576075
50.4286992519331,0.1,0.5625,0.0169135101259727,-4.07964256067765,0.0568710312684166
22.948917595445,0.1,0.3125,0.00810433949784247,-4.81535562028706,0.0859957739712213
110.813666817413,0.1,0.4125,0.0121857002514289,-4.40749212524033,0.0380327018685431
15.4811930621164,0.1,0.4375,0.00319114656879613,-5.74737500080852,0.106627697105473
74.7541910326053,0.1,0.3375,0.0112619224431001,-4.48632793877437,0.0464559870022225
34.0188780470211,0.1,0.5875,0.0166847651495757,-4.09325924242023,0.0697913653247607
164.267295035869,0.1,0.6875,0.0383905913522524,-3.25994286627842,0.0311579443771826
45.7023278282319,0.1,0.38125,0.00877735538233009,-4.73558012600956,0.059837113612976
20.7980568765097,0.1,0.53125,0.0082928281213352,-4.79236421948027,0.0906855789457343
100.427784255089,0.1,0.63125,0.0281515015627155,-3.57015458433714,0.0399618643718174
67.7479410690022,0.1,0.50625,0.0141196900730097,-4.2601849966615,0.0488656982098347
30.8304981075632,0.1,0.35625,0.00747970064064358,-4.89556250910096,0.0735096266203584
148.871533086358,0.1,0.45625,0.0143403086394685,-4.24468092106679,0.0327551468910219
11.5235447258158,0.1,0.34375,0.00482577238159405,-5.33378447791563,0.126062666161193
55.6438551182722,0.1,0.44375,0.0103292227118314,-4.57277824439017,0.0540570910500667
25.3222126436894,0.1,0.69375,0.0276629799297353,-3.58766022428469,0.0815779168178284
122.273620239695,0.1,0.59375,0.0243568276887946,-3.71494307086057,0.0361920900122175
17.082202725532,0.1,0.56875,0.00931984589587911,-4.67560918519826,0.100953670900749
82.4850023301461,0.1,0.66875,0.0325204674964619,-3.4258856187459,0.0441820491454844
37.5369888459308,0.1,0.41875,0.00793597312257286,-4.83634929577787,0.0663047626463356
181.255231668423,0.1,0.31875,0.013915306219005,-4.27476587785009,0.02964331144483
9.01026324072556,0.1,0.309375,0.00796939399072062,-4.83214682536695,0.1458196397094
43.5079477950249,0.1,0.409375,0.00856668483949687,-4.75987445440928,0.0613884323038002
95.605782072249,0.1,0.559375,0.0198235733257134,-3.92088347744474,0.0409985831601173
64.4950492309443,0.1,0.684375,0.0335626767465292,-3.39434064053611,0.0501131969532483
29.3501833692126,0.1,0.434375,0.00682533575458723,-4.98711374430982,0.0754138939407607
141.723522574828,0.1,0.334375,0.0130143151353912,-4.34170536309639,0.0335814205704764
10.9702460721206,0.1,0.471875,0.00180624527416692,-6.31650502248513,0.129716775113617
52.9721364018621,0.1,0.371875,0.00945945833280206,-4.66074015624669,0.0554454618696919
24.1063761543365,0.1,0.521875,0.00884027304649802,-4.7284375151967,0.0837474158805469
116.402698481609,0.1,0.621875,0.0275536685509249,-3.59161959250499,0.0370942993649757
78.5245160539856,0.1,0.546875,0.017840249355711,-4.02629817458989,0.0453059902365413
35.7346644842527,0.1,0.396875,0.00759513437496019,-4.88024745053526,0.0680077149421125
172.552330083577,0.1,0.496875,0.0168936561194143,-4.08081710507435,0.0303891412941849
48.0073842774542,0.1,0.578125,0.0180990656800527,-4.0118949619293,0.0583290571674842
21.8470339727021,0.1,0.328125,0.0071282475291993,-4.94368986309793,0.0883066764061885
105.492990400569,0.1,0.428125,0.0123665832297132,-4.39275734498308,0.0390021078636248
14.7378694162529,0.1,0.403125,0.00317877776364908,-5.7512585071256,0.109569701311605
71.1648967450798,0.1,0.303125,0.0123012896712487,-4.39805117077925,0.0476593157889659
32.385474448433,0.1,0.553125,0.0132065404444223,-4.32704308388975,0.0716175216891966
156.380062821125,0.1,0.653125,0.0329177428499101,-3.41374347022897,0.0319624817784173
58.4503254491059,0.1,0.640625,0.0265875340952926,-3.62731281607607,0.052722628403801
26.5993714304867,0.1,0.490625,0.00790415559911418,-4.84036663260759,0.0794661967365669
128.440649585827,0.1,0.390625,0.0123396600601291,-4.39493680868588,0.0352977482662577
17.9437658762625,0.1,0.365625,0.00488849004652941,-5.32087180711975,0.0982576985832402
86.6452408917314,0.1,0.465625,0.0129746819523701,-4.34475536257204,0.0430960244531676
39.4302157850245,0.1,0.615625,0.0208275977123129,-3.87147635862157,0.0646101935056323
