a_sat,sigma_best_sobol,q_best_sobol,cost_best_sobol,sigma_best_local,q_best_local,cost_best_local
0.001,5.55964520551403,0.4634765625,-6.58315928988902,5.40468419245225,0.455903218090881,-6.63021847608055
0.002,5.93054817715004,0.4484375,-6.49285411554782,5.53691401941228,0.455533731566705,-6.63775691962033
0.005,5.93054817715004,0.4484375,-6.59560022474244,5.81760067650439,0.455154419811855,-6.64945060065159
0.01,6.48376790436077,0.4662109375,-6.55628797014153,6.15505193637101,0.454538037443247,-6.65761303036906
0.02,6.70685851079237,0.453125,-6.65413390065388,6.68994023025404,0.454510349612541,-6.66215636499239
0.05,7.84576209299149,0.4478515625,-6.63780980415425,7.89018156715581,0.452656751642585,-6.65326063602519
0.1,9.73033226978162,0.4466796875,-6.58700299341996,9.56641798105727,0.452219562530518,-6.62795768801363
0.2,12.5984963288192,0.4427734375,-6.54295891365398,12.4397416949727,0.449452365934399,-6.58509705717451
0.5,22.3911987697047,0.4453125,-6.40487892191433,20.3878414184965,0.447218729594513,-6.51293435268598
1,33.3969141683945,0.439453125,-6.43226819760894,32.983178026303,0.445041890503831,-6.46361617076254
2,59.3560472553139,0.4318359375,-6.3532444907603,57.8971069815804,0.443931189983166,-6.42749764338218
5,145.253564775925,0.4390625,-6.31526723296473,132.521283509964,0.443619167187542,-6.39957339161311
