growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,cm_uM,source,model_k,model_cm_kon,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate,optimality_ratio,det_growth_rate,optimal_growth_rate
0.54,3.06897513071445,29,1,0,8,Si 2017,7.50888400959267,2.10414062500001,0,0.0719165464172938,0.428083453582706,0.5,0.233227833282959,0.540013005417946,0.880766058266591,0.523095226623354,0.593909383443818
0.51,3.29914826551803,29,1,0,10,Si 2017,7.50888400959267,2.18953125000001,0,0.0679198288170366,0.432080171182963,0.5,0.217894211881729,0.510002116538517,0.87483433162648,0.494025018883188,0.564706940529761
0.31,3.01782554520254,29,1,0,12,Si 2017,7.50888400959267,2.90687500000001,0,0.041285437605697,0.458714562394303,0.5,0.123612324093347,0.310007562266454,0.835309911425314,0.302906142753952,0.3626272579923
1.03,2.65977844661919,30,0,0,0,Si 2017,3.67759585737632,0,0,0.280079599817355,0.219920400182645,0.5,1,1.03001957602392,0.966456021613017,1.00207512065359,1.03685537494104
0.87,2.3784557263037,30,1,0,1,Si 2017,3.67759585737632,0.471484375000001,0,0.236570798897527,0.263429201102473,0.5,0.672920132257564,0.870011790001751,0.958991775791952,0.841820332566466,0.877818093769653
0.75,2.27615655527988,30,1,0,2,Si 2017,3.67759585737632,0.841640625000003,0,0.203935193256429,0.296064806743571,0.5,0.502468207520572,0.749991221893084,0.951438303395663,0.723357544462228,0.760277930666214
0.67,2.09713300598821,30,1,0,3,Si 2017,3.67759585737632,1.099375,0,0.182182796396188,0.317817203603812,0.5,0.411900705579587,0.669994697311854,0.94464984645783,0.644972284683096,0.682763340407623
0.54,2.0459834204763,30,1,0,4,Si 2017,3.67759585737632,1.54781250000001,0,0.14683419872954,0.35316580127046,0.5,0.292528617089406,0.539996840968928,0.930159944664842,0.518848742195981,0.557805939905244
0.46,2.02040862772034,30,1,0,6,Si 2017,3.67759585737632,1.85273437500001,0,0.125082027942777,0.374917972057223,0.5,0.232102168888347,0.460001147794585,0.918571874557995,0.442011935517139,0.481194719498493
0.34,2.14828259150011,30,1,0,8,Si 2017,3.67759585737632,2.38906250000001,0,0.0924521331807034,0.407547866819297,0.5,0.155529026292436,0.340001581990959,0.895901064022405,0.32759332286319,0.365657923646575
0.25,2.25058176252393,30,1,0,10,Si 2017,3.67759585737632,2.92578125000001,0,0.0679792584361668,0.432020741563833,0.5,0.106844806457623,0.250000239212361,0.877045921573995,0.242471897484642,0.276464312210116
0.65,1.56006235811318,31,0,0,0,Si 2017,1.88307006464046,0,0,0.345179201703387,0.154820798296613,0.5,1,0.649996621664142,0.968328406834504,0.635018903685936,0.655788779100091
0.59,1.50891277260127,31,1,0,1,Si 2017,1.88307006464046,0.284843750000001,0,0.313321483572431,0.186678516427569,0.5,0.70780762830942,0.590006306323984,0.964757346180873,0.573697247530696,0.594654448397575
0.46,1.50891277260127,31,1,0,2,Si 2017,1.88307006464046,0.956640625000003,0,0.244285315916019,0.255714684083981,0.5,0.369239756575838,0.460006365632694,0.95453542882272,0.443333192478767,0.464449175056345
0.43,1.63678673638104,31,1,0,3,Si 2017,1.88307006464046,1.12515625,0,0.228349284251085,0.271650715748915,0.5,0.320210516362719,0.429997701455295,0.951344938351151,0.413726714793819,0.434886126067881
0.34,1.73908590740485,31,1,0,4,Si 2017,1.88307006464046,1.67812500000001,0,0.180555783881868,0.319444216118132,0.5,0.207730591702436,0.33999919162564,0.939233049270398,0.326109029183978,0.347207787712859
0.31,1.84138507842867,31,1,0,5,Si 2017,1.88307006464046,1.88523437500001,0,0.164626769226803,0.335373230773197,0.5,0.178632333663685,0.310003740969466,0.934299449664373,0.2973201328358,0.318227879661714
0.27,1.84138507842867,31,1,0,5.5,Si 2017,1.88307006464046,2.18953125000001,0,0.143381725667297,0.356618274332703,0.5,0.144556995866206,0.269997835420578,0.926703901127991,0.259100426266805,0.279593542178279
0.24,1.89253466394058,31,1,0,6,Si 2017,1.88307006464046,2.44656250000001,0,0.127452413241235,0.372547586758765,0.5,0.122014705028493,0.240001824040756,0.920449165479246,0.23067518230175,0.250611539401685
0.36,1.15086567401792,32,0,0,0,Si 2017,0.903463363279059,0,0,0.398451272161914,0.101548727838086,0.5,1,0.359986126450223,0.970310028726918,0.353835284370031,0.364662091387714
0.32,1.09971608850601,32,1,0,0.2,Si 2017,0.903463363279059,0.366250000000001,0,0.354194265095202,0.145805734904798,0.5,0.534182153627665,0.320001541997066,0.965696267197246,0.312255125312348,0.323347139177219
0.28,1.02299171023815,32,1,0,0.4,Si 2017,0.903463363279059,0.778281250000002,0,0.309919034008078,0.190080965991922,0.5,0.328072591291592,0.280000492809135,0.961285771908785,0.271448100267261,0.28238023301672
0.23,0.971842124726242,32,1,0,0.6,Si 2017,0.903463363279059,1.36796875000001,0,0.254577407219947,0.245422592780053,0.5,0.194350512116198,0.230001360541796,0.954689489662694,0.221607914166391,0.232125645632371
0.21,0.997416917482195,32,1,0,0.8,Si 2017,0.903463363279059,1.63539062500001,0,0.232440892482872,0.267559107517128,0.5,0.159351821074422,0.210001830486162,0.951377282467064,0.202004215586297,0.2123281891517
0.801,1.99615067209644,16,0,0,0,Taheri-Araghi 2015,2.51172040963575,0,0,0.318907169514873,0.181092830485127,0.5,1,0.801005646449673,0.967676055622053,0.78090785298079,0.806993051490561
0.814,2.12171498856703,17,0,0,0,Taheri-Araghi 2015,2.57053787172385,0,0,0.316671678695063,0.183328321304937,0.5,1,0.814016542988026,0.967619518567578,0.793474736991274,0.820027626319382
1.093,2.82036772380078,18,0,0,0,Taheri-Araghi 2015,4.05463363237221,0,0,0.269566381427737,0.230433618572263,0.5,1,1.09299291629378,0.966183473089141,1.06310495354131,1.10031374283632
1.37,3.79590587484146,19,0,0,0,Taheri-Araghi 2015,6.1184936445262,0,0,0.223913351455216,0.276086648544784,0.5,1,1.3700124178033,0.963954482657689,1.33205137921107,1.38186128409146
1.548,4.90022794021095,20,0,0,0,Taheri-Araghi 2015,7.94246302298784,0,0,0.194901743257779,0.305098256742221,0.5,1,1.54799988894078,0.961952622578355,1.50649550196837,1.56608076802209
1.838,7.75601124045215,21,0,0,0,Taheri-Araghi 2015,12.4064637062068,0,0,0.14815067749413,0.35184932250587,0.5,1,1.83802600338087,0.956968904627153,1.79374148444131,1.87439892327555
2.419,12.8526346500145,22,0,0,0,Taheri-Araghi 2015,43.6254408189479,0,0,0.0554495694136443,0.444550430586356,0.5,1,2.41901190889108,0.933905814424682,2.38735833917876,2.55631596067261
