growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,cm_uM,source,model_k,model_cm_kon,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate,optimality_ratio,det_growth_rate,optimal_growth_rate
0.42,1.36,15,0,0,0,Basan 2015,1.08527722918846,0,0,0.386988971912585,0.113011028087415,0.5,1,0.41999031916378,0.969712292102944,0.412176820374076,0.425050629687511
0.47,1.67,14,0,0,0,Basan 2015,1.24458864386772,0,0,0.377641163105823,0.122358836894177,0.5,1,0.470007903058505,0.969323705098136,0.46073926419304,0.475320330834573
0.7,1.7,13,0,0,0,Basan 2015,2.08086323208519,0,0,0.336409056911794,0.163590943088206,0.5,1,0.700021237468207,0.968106618690117,0.683351403416964,0.705863786306474
0.98,2.32,12,0,0,0,Basan 2015,3.39697152156559,0,0,0.288486047439693,0.211513952560307,0.5,1,0.979978887521658,0.966821572240281,0.953778030919539,0.98650884331168
1.29,3.33,11,0,0,0,Basan 2015,5.44236028170741,0,0,0.237028433963821,0.262971566036179,0.5,1,1.28999413464001,0.964660818322173,1.25405901094463,1.29999994518883
1.83,6.6,10,0,0,0,Basan 2015,12.2491836062167,0,0,0.149399676960247,0.350600323039753,0.5,1,1.83002407379553,0.956999796651037,1.78563485758847,1.865867541286
0.74,2.28,12,1,0,2,Basan 2015,3.39697152156559,0.757187500000002,0,0.217838547895683,0.282161452104317,0.5,0.525921907192102,0.739991343500836,0.953820563364614,0.714053392806669,0.748624448070019
0.55,2.23,12,1,0,4,Basan 2015,3.39697152156559,1.4209375,0,0.161910225204966,0.338089774795034,0.5,0.313868977452351,0.550004424071539,0.935912772110667,0.528341008736155,0.564519498483435
0.45,2.42,12,1,0,6,Basan 2015,3.39697152156559,1.81585937500001,0,0.132472255052895,0.367527744947105,0.5,0.23247511777082,0.450004477812258,0.922061196450193,0.432138668790302,0.468665930693077
0.3,2.44,12,1,0,8,Basan 2015,3.39697152156559,2.54976562500001,0,0.0883143806858614,0.411685619314139,0.5,0.135604414804442,0.300001436134573,0.893847304946384,0.289470131691886,0.323847406699122
0.88,2.67,12,0,1,0,Basan 2015,3.39697152156559,0,0.0463349994434275,0.259054401906198,0.194610598650375,0.5,1,0.880000425811561,0.959010818203899,0.858400101290266,0.895089069900104
0.73,2.79,12,0,1,0,Basan 2015,3.39697152156559,0,0.116294100476786,0.214896849089861,0.168809050433353,0.5,1,0.729998476432434,0.943801149483919,0.714512824552683,0.757058650483088
0.61,3.22,12,0,1,0,Basan 2015,3.39697152156559,0,0.172694916966291,0.179572567827645,0.147732515206063,0.5,1,0.610002898964916,0.927320009388516,0.598843526604264,0.645778717747229
0.4,5.39,12,0,1,0,Basan 2015,3.39697152156559,0,0.273037969635903,0.117742375797642,0.109219654566456,0.5,1,0.399967497466063,0.881330841398285,0.394660038999641,0.447800100100308
0.24,7.13,12,0,1,0,Basan 2015,3.39697152156559,0,0.352047143499628,0.070646273023921,0.0773065834764511,0.5,1,0.239983377567007,0.814898676872741,0.237880008570154,0.291913602661675
1.12,3.11,11,0,1,0,Basan 2015,5.44236028170741,0,0.0593013349766837,0.20579730828688,0.234901356736436,0.5,1,1.12002309670281,0.953334209651523,1.0923460490817,1.14581648075022
0.95,3.23,11,0,1,0,Basan 2015,5.44236028170741,0,0.119011721480454,0.174548165106612,0.206440113412934,0.5,1,0.949954001021133,0.938319805243879,0.929471176420927,0.990569708991007
0.84,3.52,11,0,1,0,Basan 2015,5.44236028170741,0,0.157879908919964,0.154345416286821,0.187774674793214,0.5,1,0.840003363262993,0.925891616757274,0.823592127083815,0.889512457158063
0.65,4.24,11,0,1,0,Basan 2015,5.44236028170741,0,0.225748424027602,0.119429830692945,0.154821745279453,0.5,1,0.649980167014323,0.897259801203821,0.639794750820438,0.713054067464127
0.52,6.05,11,0,1,0,Basan 2015,5.44236028170741,0,0.272917454350228,0.0955407268414141,0.131541818808358,0.5,1,0.51996705704717,0.868891688708435,0.51300639896236,0.590414669203384
0.42,7.61,11,0,1,0,Basan 2015,5.44236028170741,0,0.309808830258978,0.0771721303865974,0.113019039354424,0.5,1,0.419998537270764,0.839714336392802,0.415236237398436,0.494497020477445
1.71,8.69542953702427,28,0,0,0,Si 2017,10.1341125259483,0,0,0.168735395397309,0.331264604602691,0.5,1,1.7099834840667,0.959464710554899,1.66631888873321,1.73671722409624
1.63,7.67243782678612,28,1,0,1,Si 2017,10.1341125259483,0.136875,0,0.160843348586112,0.339156651413888,0.5,0.926682470327695,1.63000459362198,0.956625518026067,1.58720111737109,1.65916660956962
0.98,6.11237546867294,28,1,0,2,Si 2017,10.1341125259483,1.299921875,0,0.0967011183981786,0.403298881601821,0.5,0.453791822118692,0.979980015232186,0.918385214576548,0.951210833227637,1.03574275601358
0.96,5.16610813670265,28,1,0,4,Si 2017,10.1341125259483,1.338125,0,0.0947303555258079,0.405269644474192,0.5,0.442013869141502,0.960008082521622,0.915395773029988,0.930711277140957,1.01673101904357
0.78,4.83363583087525,28,1,0,6,Si 2017,10.1341125259483,1.69601562500001,0,0.0769665183556598,0.42303348164434,0.5,0.341609603576006,0.779987357746718,0.896020825925399,0.757355600910806,0.845243301268828
0.55,7.28881593544681,28,1,0,8,Si 2017,10.1341125259483,2.21757812500001,0,0.0542716393197586,0.445728360680241,0.5,0.226670740101453,0.549994899834112,0.859917001161409,0.535435521844358,0.622659537049733
0.38,8.33738243844091,28,1,0,10,Si 2017,10.1341125259483,2.71921875000001,0,0.0374964953467014,0.462503504653299,0.5,0.150034957102092,0.379993703172167,0.826697215590145,0.371769949846431,0.449705094967618
0.21,8.9511774645838,28,1,0,12,Si 2017,10.1341125259483,3.58414062500001,0,0.0207225725162797,0.47927742748372,0.5,0.0796079348275923,0.210004881707101,0.8026140950838,0.207471774869037,0.258495055269837
1.51,3.63162057134543,29,0,0,0,Si 2017,7.50888400959267,0,0,0.201095843075639,0.298904156924361,0.5,1,1.51000536046622,0.962456207470775,1.46910359742037,1.52641084967492
1.34,3.58047098583352,29,1,0,1,Si 2017,7.50888400959267,0.332890625000001,0,0.178453694880546,0.321546305119454,0.5,0.81223158636409,1.33998809594126,0.955753460986842,1.30064027323312,1.36085332287489
1.17,3.40144743654185,29,1,0,2,Si 2017,7.50888400959267,0.673203125000002,0,0.155814392967972,0.344185607032029,0.5,0.653558695302005,1.16999220382159,0.947062093356497,1.13324011303461,1.19658480788549
0.86,3.17127430173826,29,1,0,4,Si 2017,7.50888400959267,1.32609375000001,0,0.114529976641695,0.385470023358305,0.5,0.419928333813403,0.859992310223849,0.923613470246002,0.831109622958585,0.899845714395245
0.69,3.35029785102994,29,1,0,6,Si 2017,7.50888400959267,1.71695312500001,0,0.091892915187501,0.408107084812499,0.5,0.31512718001325,0.690013241446282,0.9039464447084,0.667142505563991,0.738033220296808
