birth_size_bin_avg,delta_size_bin_avg
385.927764040975,514.618685976687
417.802719886966,510.039915224302
433.718827269516,507.265983751325
445.889791593077,507.652772871777
456.09201695514,505.53514659131
465.074355351466,507.126810314377
473.307311903921,506.835570469799
481.126986930413,501.345637583893
488.680148357471,502.310314376545
496.235252560933,502.059872836454
503.789120452137,500.563228541152
511.575415047686,499
519.628576474744,501.087954786295
527.968032497351,501.790709996468
537.097668668315,500.711762628047
547.198339809255,498.176262804663
558.747615683504,501.797951253974
573.173083716001,495.388202048746
592.522960084776,498.133521723773
634.857824090427,492.561815612858
