sigma,a_sat,q,goodness_fit,log_goodness_fit,a_max,a_fast_growth,a_medium_nut_and_cm
3,0,0.35,0.0151163537201926,-4.19197809338547,0,0,0
9,0.1,0.425,0.00167134078875731,-6.39412910715985,0.14598836448949,0.0680806924720425,0.0510251706610054
6,0.05,0.4625,0.00163033924440409,-6.41896716041727,0.133756153591411,0.0596472013349476,0.0444754188471128
12,0.15,0.3875,0.00278428312837196,-5.88376484327143,0.150873663165367,0.0717628891642525,0.0539455916967967
13.5,0.025,0.44375,0.00479831695570226,-5.33949005678354,0.0575896397598498,0.0275740043316077,0.0207587672128534
7.5,0.125,0.36875,0.00542698272527672,-5.21637196701323,0.18274369489823,0.0837639733571018,0.0626509126627882
10.5,0.075,0.40625,0.00231201869501244,-6.06963424212665,0.115315426280384,0.0543856375873709,0.0408330450078643
4.5,0.175,0.48125,NaN,NaN,NaN,NaN,NaN
11.25,0.0125,0.490625,0.00547693123244654,-5.20721032895656,0.0452283935463196,0.0214138228164735,0.0160869826668426
5.25,0.1125,0.415625,0.00747632859125185,-4.89601343753879,0.220185780166345,0.0961285476248144,0.0715112628076661
14.25,0.0625,0.378125,0.00424871176678604,-5.46113945569146,0.088317336078393,0.0424123173890975,0.0318975626668588
8.25,0.1625,0.453125,0.0018038944515241,-6.3178073670777,0.196269260615749,0.090817070624525,0.0680000567968055
6.75,0.0375,0.396875,0.00264627932348096,-5.93460065443122,0.107111892996678,0.0485021609923479,0.0362349736623812
12.75,0.1375,0.471875,0.00196650465584116,-6.23149759851771,0.139519645488283,0.0666105759151761,0.050056673386846
3.75,0.0875,0.434375,NaN,NaN,NaN,NaN,NaN
9.75,0.1875,0.359375,0.00512094772670981,-5.27441575418713,0.190498057268236,0.0893785468391356,0.0670548476082916
7.875,0.00625,0.4296875,0.00252751945345678,-5.98051691038046,0.0396206023341957,0.018243197802214,0.0136573091933262
13.875,0.10625,0.3546875,0.00448412543304553,-5.40721180069213,0.116898904688225,0.0560463310983646,0.0421521483385611
4.875,0.05625,0.3921875,0.00727335448819531,-4.92353767869841,0.164321599383618,0.0707486093042922,0.0525821878331926
10.875,0.15625,0.4671875,0.00131495706124416,-6.6339512669318,0.16303084765768,0.0771020287686014,0.0578880890498146
9.375,0.03125,0.3734375,0.00354022924147399,-5.6435637964546,0.0796199919129952,0.0372497406327615,0.0279181481524074
3.375,0.13125,0.4484375,NaN,NaN,NaN,NaN,NaN
12.375,0.08125,0.4859375,0.00300813387574254,-5.80643536732159,0.109085462160296,0.0519952713682237,0.0390717661564532
6.375,0.18125,0.4109375,0.00668280908302132,-5.00821685841755,0.244497161532503,0.109939253146037,0.0820484637210889
13.125,0.01875,0.4203125,0.00483383922700159,-5.33211425604549,0.0506737606710458,0.0242408344019884,0.0182194375271628
7.125,0.11875,0.4953125,0.00173298815051136,-6.3579081058304,0.184020926892737,0.0838766419923001,0.0627138871512512
10.125,0.06875,0.4578125,0.00179549368535576,-6.32247526123233,0.112794650928886,0.0530708596910609,0.0398200854969137
4.125,0.16875,0.3828125,NaN,NaN,NaN,NaN,NaN
5.625,0.04375,0.4765625,0.00171062821812655,-6.37089459691334,0.130790326020101,0.0577668746925886,0.0430237825760965
11.625,0.14375,0.4015625,0.00229554767327406,-6.07678382634687,0.150431679520591,0.0714438572222644,0.0536683633657162
8.625,0.09375,0.3640625,0.0041821780193782,-5.47692311088116,0.145079413633912,0.0673897999688295,0.0505092329980125
14.625,0.19375,0.4390625,0.00182690880563107,-6.30512991764811,0.153251646748349,0.0736728825738376,0.0554288346664224
14.4375,0.003125,0.46953125,0.00819218337833142,-4.8045748258853,0.0196010556079936,0.00941356833333733,0.00709082062464285
8.4375,0.103125,0.39453125,0.00282935712719383,-5.86770575666828,0.154213419333871,0.0715124134266362,0.0535623194212534
11.4375,0.053125,0.35703125,0.0044090622810789,-5.42409324680933,0.0923049907377631,0.0438018169555362,0.0328943823143417
5.4375,0.153125,0.43203125,NaN,NaN,NaN,NaN,NaN
3.9375,0.028125,0.41328125,0.00855148341094412,-4.76165051272653,0.137386408046034,0.0562798591855362,0.0416025446309403
9.9375,0.128125,0.48828125,0.00146029715157667,-6.52911533549383,0.155693212694267,0.0731542109978989,0.0548924479433667
6.9375,0.078125,0.45078125,0.00159687028426089,-6.4397096376813,0.151860789415928,0.0690066261040262,0.051561515144191
12.9375,0.178125,0.37578125,0.00327699036705776,-5.72082984883104,0.157481130105178,0.0752481870832414,0.0565546184274626
6.1875,0.015625,0.38515625,0.00300178117634103,-5.80854944105224,0.073246941083294,0.0327887846243325,0.0244814978676989
12.1875,0.115625,0.46015625,0.00191272015230648,-6.25922888657138,0.13129131717239,0.0625051255622047,0.0469911861281518
3.1875,0.065625,0.49765625,NaN,NaN,NaN,NaN,NaN
