delta,alpha
0.2,0.668684160188421
0.219499753098611,0.69701850581037
0.240900708051756,0.724634299920625
0.264388229693206,0.751393652480606
0.290165755699188,0.777179112530168
0.318456558668218,0.801894138671092
0.349505680001537,0.82546469462585
0.383582052334498,0.847836539225726
0.420980828902404,0.868974824452748
0.462025940016632,0.888863003643448
0.507072898794022,0.907500153666257
0.556511880441425,0.92489858249394
0.610771101766683,0.941081842009976
0.670320530187768,0.956082179797256
0.735675954365727,0.969938515283818
0.807403451719311,0.982694550645371
0.886124291516776,0.994397023205024
0.972520316013071,1.00509433703422
1.06733984624126,1.01483530794202
1.17140416361133,1.0236682147067
1.28561462345686,1.03163999614159
1.41096046214373,1.03879564577034
1.54852736536225,1.04517774134051
1.69950687181729,1.05082612109051
1.86520669376644,1.0557776325384
2.04706204379805,1.06006600238249
2.24664806595606,1.06372174226056
2.46569347888413,1.06677214288155
2.70609554915961,1.06924128719339
2.96993652450893,1.07115011035906
3.25950166924129,1.07251649329628
3.57729905811487,1.0733553631764
3.92608130008054,1.07367882849267
4.30886938006377,1.07349631055217
4.72897882529081,1.0728147170707
5.19004842279947,1.07163858522036
5.6960717368716,1.06997027059799
6.25143169937647,1.06781011821533
6.86093857262984,1.06515665633914
7.52987161358494,1.06200678860421
8.26402480023067,1.05835598985983
9.06975701625716,1.05419851194357
9.95404712866422,1.04952757885922
10.9245544353687,1.04433561099725
11.9896850063788,1.03861441212064
13.1586644931514,1.03235538945579
14.4416180367709,1.0255497547556
15.8496579670783,1.01818871977681
17.3949800523557,1.01026370291647
19.0909691332367,1.00176651886188
20.9523150557933,0.992689558006188
22.9951399079547,0.983025979150047
25.2371376613204,0.972769874938516
27.6977274278775,0.961916449049066
30.3982216590587,0.950462172454893
33.3620107440012,0.938404939176255
36.6147656059074,0.92574422283343
40.184660051301,0.912481218963001
44.1026147980609,0.898618987112272
48.4025652958876,0.884162588107158
53.1217556589337,0.869119206985518
58.3010612565035,0.853498289033827
63.9853427559477,0.83731165515478
70.2238346843026,0.820573609171115
77.0705718742106,0.803301043047446
84.58485748779,0.785513531579527
92.8317766722556,0.767233406883956
101.882760296328,0.748485821327379
111.816203650244,0.729298794861041
122.718145468264,0.709703227689734
134.683013155016,0.689732901940972
147.814440670515,0.669424439415106
162.226166157937,0.648817239061661
178.043017089008,0.627953366046908
195.401991459845,0.606877403287346
214.453444402065,0.585636260772277
235.362390487,0.56427894449977
258.309933002977,0.542856267670361
283.494832585361,0.521420520200295
311.135228786094,0.500025101946468
341.470529494138,0.478724101494514
374.763484572077,0.457571843566489
411.30246166973,0.436622401901952
451.403943926784,0.415929094955153
495.415271198342,0.395543960766264
543.717648546588,0.375517231860746
596.729448056668,0.355896814940141
654.909832575546,0.3367278007815
718.762732760925,0.318051996278531
788.841211887531,0.299907503762575
865.752256216612,0.282328370260073
950.16203242056,0.265344280069295
1042.80165759994,0.248980340893702
1144.47353187004,0.233256938283353
1256.05828836685,0.218189674659768
1378.52242086994,0.203789392138845
1512.92665510926,0.190062265075451
1660.43513626395,0.177009968879287
1822.32551223098,0.164629951858693
2000,0.152915702982745
