growth_rate_per_hr,active_ribosome_fraction
0.038,0.180
0.134,0.439
0.203,0.552
0.234,0.589
0.290,0.682
0.327,0.757
0.345,0.752
0.377,0.742
0.411,0.753
0.461,0.879
0.489,0.858
0.558,0.878
0.692,0.848
0.677,0.887
0.751,0.901
0.979,0.864
1.102,0.924
1.275,0.897
1.801,0.955
