nutrient_cm_1,,nutrient_cm_2,,nutrient_cm_3,,nutrient_cm_4,,nutrient_cm_5,,nutrient_cm_6,,just_nutrient,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.828709288299156,0.4683450157032787,0.9746682750301567,0.293315076234256,0.6803377563329314,0.21670654973429404,0.45355850422195426,0.17185842054358336,0.3811821471652594,0.16027472587183078,0.330518697225573,0.15014812158358593,0.03377563329312422,0.095159477933905
1.4644149577804584,0.5026770558254274,0.7092882991556093,0.3651958834588509,0.4559710494571773,0.2958241232788881,0.2509047044632087,0.24522587726447798,0.1568154402895054,0.2177706777948033,0.22919179734620015,0.23223725534943873,0.13268998793727377,0.11973527206337808
1.0711700844390832,0.554285527988785,0.5331724969843186,0.42849237657440314,0.3401688781664656,0.32312804964192177,0.18094089264173702,0.2956259033460481,0.09167671893848012,0.24366967691455022,0.1761158021712907,0.28553233571327663,0.19782870928829915,0.12843086753822575
0.8709288299155609,0.6146817505080473,0.405307599517491,0.46876058205370635,0.2726176115802171,0.3951514361164543,,,,,,,0.22919179734620015,0.13566067877286214
0.5814234016887818,0.6159145393886046,0.3353437876960193,0.5061876351623036,0.2147165259348613,0.4484430389376107,,,,,,,0.28709288299155605,0.14723394081657049
,,0.2653799758745477,0.5450561297123421,,,,,,,,,0.3353437876960193,0.14871015768482587
,,,,,,,,,,,,0.41013268998793734,0.1732685641008922
,,,,,,,,,,,,0.45355850422195426,0.17185842054358336
,,,,,,,,,,,,0.48492159227985526,0.18485399754398546
,,,,,,,,,,,,0.5524728588661039,0.19210989034873227
,,,,,,,,,,,,0.6779252110977081,0.21814625240439478
,,,,,,,,,,,,0.6924004825090471,0.22680533368108757
,,,,,,,,,,,,0.7092882991556093,0.22537606363903107
,,,,,,,,,,,,0.7237635705669483,0.2152964061769852
,,,,,,,,,,,,0.7454764776839566,0.23260935241634884
,,,,,,,,,,,,0.9191797346200241,0.25579760701594234
,,,,,,,,,,,,0.9481302774427023,0.27455721101076946
,,,,,,,,,,,,0.9746682750301567,0.29619795911713886
,,,,,,,,,,,,0.991556091676719,0.2702641845705779
,,,,,,,,,,,,1.0977080820265381,0.3078181679870461
,,,,,,,,,,,,1.1676718938480097,0.3309316554189896
,,,,,,,,,,,,1.2738238841978289,0.36416131451113365
,,,,,,,,,,,,1.5681544028950545,0.43067975092100547
,,,,,,,,,,,,1.799758745476478,0.4827385648616047
