growth_rate_per_hr,estim_vol_um3,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_a,model_e,model_r,model_ra,model_q,model_u,model_growth_rate
1.71,3.4,7,0,0,13.0524862402344,0,0,0.0907470926625192,0.131009632642515,0.312243274694965,0.312243274694965,0.466,0,1.71000142740459
1.63,3,7,1,0,13.0524862402344,0.020817326961464,0,0.087810383064077,0.124877439258114,0.321312177677809,0.300494850716345,0.466,0,1.62996105763224
0.98,2.39,7,1,0,13.0524862402344,0.196013649676558,0,0.0636590411453521,0.0750830039217768,0.395257954932871,0.199244305256313,0.466,0,0.980019875564455
0.96,2.02,7,1,0,13.0524862402344,0.201623632950847,0,0.0628832432446956,0.0735496889320322,0.397567067823272,0.195943434872425,0.466,0,0.960006302758869
0.78,1.89,7,1,0,13.0524862402344,0.252864077330415,0,0.0557178822038672,0.0597589690967353,0.418523148699397,0.165659071368982,0.466,0,0.780003121865728
0.55,2.85,7,1,0,13.0524862402344,0.320917209531504,0,0.0458385951074642,0.0421413281528862,0.44602007673965,0.125102867208146,0.466,0,0.550049105860748
0.38,3.26,7,1,0,13.0524862402344,0.374039924215465,0,0.0375132163914486,0.0291119367469347,0.467374846861617,0.0933349226461516,0.466,0,0.379983153815939
0.21,3.5,7,1,0,13.0524862402344,0.431397237407695,0,0.027482354013942,0.0160892490692519,0.490428396916806,0.0590311595091106,0.466,0,0.210004702092114
1.51,1.42,8,0,0,8.98934063232421,0,0,0.0834164538901697,0.167976548978097,0.282606997131733,0.282606997131733,0.466,0,1.50999841700641
1.34,1.4,8,1,0,8.98934063232421,0.051088996307552,0,0.0771830099369297,0.149066556068533,0.307750433994537,0.256661437686985,0.466,0,1.3400100493875
1.17,1.33,8,1,0,8.98934063232421,0.102981134884232,0,0.070880462761445,0.130154304575759,0.332965232662796,0.229984097778564,0.466,0,1.17000137859477
0.86,1.24,8,1,0,8.98934063232421,0.200124499328725,0,0.0589610508627785,0.0956696397818558,0.379369309355366,0.179244810026641,0.466,0,0.860006980170857
0.69,1.31,8,1,0,8.98934063232421,0.255201887091355,0,0.0519735074324807,0.0767577919839697,0.40526870058355,0.150066813492194,0.466,0,0.690001938328989
0.54,1.2,8,1,0,8.98934063232421,0.305288703628285,0,0.0453565333798746,0.0600674132679523,0.428576053352173,0.123287349723888,0.466,0,0.539966438768214
0.51,1.29,8,1,0,8.98934063232421,0.315518257542705,0,0.0439593634738562,0.0567288695965933,0.43331176692955,0.117793509386845,0.466,0,0.509955132490478
0.31,1.18,8,1,0,8.98934063232421,0.386210638017081,0,0.0336888548278785,0.0344899031208714,0.46582124205125,0.0796106040341687,0.466,0,0.310041487529375
1.03,1.04,9,0,0,3.94663506347656,0,0,0.065596202150506,0.260983078702014,0.20742071914748,0.20742071914748,0.466,0,1.03000496937943
0.87,0.93,9,1,0,3.94663506347656,0.0732720844126221,0,0.0593583431357022,0.220441309692301,0.254200347171997,0.180928262759375,0.466,0,0.87000140227033
0.75,0.89,9,1,0,3.94663506347656,0.128982338469288,0,0.0545022699588032,0.190035826069158,0.289461903972038,0.16047956550275,0.466,0,0.750002054481273
0.67,0.82,9,1,0,3.94663506347656,0.16655401069064,0,0.0511294032648263,0.169766521876339,0.313104074858834,0.146550064168194,0.466,0,0.670006507841622
0.54,0.8,9,1,0,3.94663506347656,0.228533525534918,0,0.0453854989240828,0.136819900563566,0.351794600512351,0.123261074977433,0.466,0,0.539978216945547
0.46,0.79,9,1,0,3.94663506347656,0.267353121618569,0,0.0415798640314659,0.116553543149794,0.37586659281874,0.108513471200171,0.466,0,0.459994300167404
0.34,0.84,9,1,0,3.94663506347656,0.326935882109724,0,0.0353692725302163,0.0861506599919536,0.41248006747783,0.0855441853681063,0.466,0,0.340005215465891
0.25,0.88,9,1,0,3.94663506347656,0.373122626282602,0,0.0301015580202574,0.0633528836785116,0.440545558301231,0.0674229320186292,0.466,0,0.250030712097966
0.65,0.61,10,0,0,1.90781321533203,0,0,0.0502797859980767,0.340707852121322,0.143012361880601,0.143012361880601,0.466,0,0.650006942844448
0.59,0.59,10,1,0,1.90781321533203,0.0447807399815887,0,0.0476530215835081,0.309255016553688,0.177091961862804,0.132311221881215,0.466,0,0.59000080748885
0.46,0.59,10,1,0,1.90781321533203,0.142790226679329,0,0.0415805831757892,0.241114676724947,0.251304740099263,0.108514513419934,0.466,0,0.460001766666364
0.43,0.64,10,1,0,1.90781321533203,0.165641328993108,0,0.0400900522180836,0.225389881872879,0.268520065909038,0.10287873691593,0.466,0,0.430001795239202
0.34,0.68,10,1,0,1.90781321533203,0.234880325328713,0,0.0353669925704887,0.178209792878398,0.320423214551113,0.0855428892224005,0.466,0,0.339990997954991
0.31,0.72,10,1,0,1.90781321533203,0.258232744269112,0,0.0336794458409568,0.162482146545047,0.337838407613996,0.0796056633448843,0.466,0,0.309985586434156
0.27,0.72,10,1,0,1.90781321533203,0.289629422360606,0,0.0313352849009769,0.141514256457666,0.361150458641357,0.0715210362807516,0.466,0,0.269982768627821
0.24,0.74,10,1,0,1.90781321533203,0.313388398787205,0,0.0294644602019199,0.125802582707703,0.378732957090377,0.0653445583031717,0.466,0,0.240007829812656
0.36,0.45,11,0,0,0.882129802246087,0,0,0.0364715369890466,0.408090634776108,0.089437828234845,0.089437828234845,0.466,0,0.359988910953528
