growth_rate_per_hr,newborn_size
1.734700888,2.42019133
1.908791197,2.495595584
2.082900147,2.557607016
2.300573617,2.605124716
2.648791517,2.736199326
2.91530497,2.927262361
3.252561836,3.15094242
