RA,E,Q,U,X,A,RI,size,t
100,10,0,0,0,0,0,110,0
100,10,0,0,0,0,0,110,0.005
100,10,0,0,0,0,0,110,0.01
100,10,0,0,0,0,0,110,0.015
100,10,0,0,0,1,0,111,0.02
100,10,0,0,0,1,0,111,0.025
100,10,0,0,0,1,0,111,0.03
100,10,1,0,0,0,0,111,0.035
100,10,1,0,0,0,0,111,0.04
100,10,1,0,0,0,0,111,0.045
100,10,1,0,0,0,0,111,0.05
100,10,1,0,0,0,0,111,0.055
100,10,1,0,0,0,0,111,0.06
100,10,1,0,0,0,0,111,0.065
100,10,1,0,0,0,0,111,0.07
100,10,1,0,0,0,0,111,0.075
100,10,1,0,0,0,0,111,0.08
100,10,1,0,0,0,0,111,0.085
100,10,1,0,0,0,0,111,0.09
100,10,1,0,0,0,0,111,0.095
100,10,1,0,0,0,0,111,0.1
100,10,1,0,0,0,0,111,0.105
100,10,1,0,0,0,0,111,0.11
100,10,1,0,0,2,0,113,0.115
101,10,1,0,0,1,0,113,0.12
101,10,1,0,0,1,0,113,0.125
101,11,1,0,0,1,0,114,0.13
101,11,2,0,0,0,0,114,0.135
101,11,2,0,0,0,0,114,0.14
101,11,2,0,0,0,0,114,0.145
101,11,2,0,0,0,0,114,0.15
101,11,2,0,0,1,0,115,0.155
101,11,2,0,0,1,0,115,0.16
101,11,2,0,0,2,0,116,0.165
101,11,2,0,0,2,0,116,0.17
101,12,2,0,0,1,0,116,0.175
101,12,3,0,0,0,0,116,0.18
101,12,3,0,0,0,0,116,0.185
101,12,3,0,0,1,0,117,0.19
101,12,3,0,0,1,0,117,0.195
101,13,3,0,0,0,0,117,0.2
101,13,3,0,0,0,0,117,0.205
101,13,3,0,0,0,0,117,0.21
101,13,3,0,0,0,0,117,0.215
101,14,3,0,0,0,0,118,0.22
101,14,3,0,0,0,0,118,0.225
101,14,3,0,0,0,0,118,0.23
101,14,3,0,0,0,0,118,0.235
101,14,3,0,0,0,0,118,0.24
101,14,3,0,0,0,0,118,0.245
101,14,3,0,0,0,0,118,0.25
101,14,3,0,0,1,0,119,0.255
102,14,3,0,0,0,0,119,0.26
102,14,3,0,0,0,0,119,0.265
102,14,3,0,0,1,0,120,0.27
