t,size,X,a,e,r,q,x
0,210,0,0.0476190476190476,0.476190476190476,0.476190476190476,0,0
0.005,211,0,0.042654028436019,0.4739336492891,0.478672985781991,0.004739336492891,0
0.01,212,0,0.0377358490566038,0.471698113207547,0.481132075471698,0.00943396226415094,0
0.015,215,0,0.0418604651162791,0.469767441860465,0.47906976744186,0.00930232558139535,0
0.02,215,0,0.0418604651162791,0.469767441860465,0.47906976744186,0.00930232558139535,0
0.025,217,1,0.0414746543778802,0.470046082949309,0.474654377880184,0.00921658986175115,0.00460829493087558
0.03,221,1,0.0497737556561086,0.461538461538462,0.470588235294118,0.0135746606334842,0.00452488687782805
0.035,224,1,0.0535714285714286,0.455357142857143,0.46875,0.0178571428571429,0.00446428571428571
0.04,227,1,0.066079295154185,0.449339207048458,0.462555066079295,0.0176211453744493,0.00440528634361234
0.045,229,1,0.0611353711790393,0.454148471615721,0.458515283842795,0.0218340611353712,0.00436681222707424
0.05,230,1,0.0565217391304348,0.456521739130435,0.456521739130435,0.0260869565217391,0.00434782608695652
0.055,230,1,0.0478260869565217,0.456521739130435,0.456521739130435,0.0347826086956522,0.00434782608695652
0.06,232,1,0.0431034482758621,0.456896551724138,0.456896551724138,0.0387931034482759,0.00431034482758621
0.065,232,1,0.0431034482758621,0.456896551724138,0.456896551724138,0.0387931034482759,0.00431034482758621
0.07,233,1,0.0300429184549356,0.467811158798283,0.454935622317597,0.0429184549356223,0.00429184549356223
0.075,234,1,0.0341880341880342,0.465811965811966,0.452991452991453,0.0427350427350427,0.00427350427350427
0.08,237,1,0.0421940928270042,0.464135021097046,0.447257383966245,0.0421940928270042,0.00421940928270042
0.085,240,1,0.0541666666666667,0.458333333333333,0.441666666666667,0.0416666666666667,0.00416666666666667
0.09,241,1,0.04149377593361,0.460580912863071,0.452282157676349,0.04149377593361,0.004149377593361
0.095,243,1,0.0411522633744856,0.465020576131687,0.448559670781893,0.0411522633744856,0.00411522633744856
0.1,247,1,0.0404858299595142,0.45748987854251,0.449392712550607,0.048582995951417,0.00404858299595142
0.105,250,1,0.044,0.452,0.452,0.048,0.004
0.11,250,1,0.032,0.456,0.456,0.052,0.004
