t,size,X,a,e,r,q,x
0.115,250,1,0.024,0.46,0.46,0.052,0.004
0.12,252,1,0.0317460317460317,0.456349206349206,0.456349206349206,0.0515873015873016,0.00396825396825397
0.125,252,3,0.0158730158730159,0.456349206349206,0.46031746031746,0.0555555555555556,0.0119047619047619
0.13,254,3,0.015748031496063,0.460629921259843,0.456692913385827,0.0551181102362205,0.0118110236220472
0.135,256,3,0.01953125,0.45703125,0.453125,0.05859375,0.01171875
0.14,257,3,0.0116731517509728,0.459143968871595,0.455252918287938,0.0622568093385214,0.0116731517509728
0.145,259,3,0.0115830115830116,0.459459459459459,0.451737451737452,0.0656370656370656,0.0115830115830116
0.15,260,4,0.0115384615384615,0.457692307692308,0.45,0.0653846153846154,0.0153846153846154
0.155,262,4,0.0152671755725191,0.458015267175573,0.446564885496183,0.0648854961832061,0.0152671755725191
0.16,266,4,0.0225563909774436,0.451127819548872,0.443609022556391,0.0676691729323308,0.0150375939849624
0.165,266,4,0.0112781954887218,0.458646616541353,0.443609022556391,0.0714285714285714,0.0150375939849624
0.17,270,4,0.0111111111111111,0.459259259259259,0.437037037037037,0.0777777777777778,0.0148148148148148
0.175,271,4,0.011070110701107,0.457564575645756,0.435424354243542,0.0811808118081181,0.014760147601476
0.18,276,5,0.0217391304347826,0.452898550724638,0.427536231884058,0.0797101449275362,0.0181159420289855
0.185,280,6,0.0178571428571429,0.45,0.425,0.0857142857142857,0.0214285714285714
0.19,284,6,0.0246478873239437,0.443661971830986,0.419014084507042,0.0915492957746479,0.0211267605633803
0.195,287,6,0.024390243902439,0.442508710801394,0.418118466898955,0.0940766550522648,0.0209059233449477
0.2,289,6,0.027681660899654,0.442906574394464,0.41522491349481,0.0934256055363322,0.0207612456747405
0.205,294,7,0.0340136054421769,0.435374149659864,0.41156462585034,0.0952380952380952,0.0238095238095238
0.21,295,7,0.0338983050847458,0.433898305084746,0.410169491525424,0.0983050847457627,0.023728813559322
0.215,295,7,0.0169491525423729,0.440677966101695,0.410169491525424,0.108474576271186,0.023728813559322
0.22,297,7,0.0235690235690236,0.437710437710438,0.407407407407407,0.107744107744108,0.0235690235690236
0.225,299,7,0.0267558528428094,0.434782608695652,0.404682274247492,0.110367892976589,0.0234113712374582
0.23,299,7,0.0167224080267559,0.434782608695652,0.404682274247492,0.120401337792642,0.0234113712374582
0.235,299,7,0.0100334448160535,0.438127090301003,0.404682274247492,0.123745819397993,0.0234113712374582
0.24,301,7,0.0166112956810631,0.435215946843854,0.401993355481728,0.122923588039867,0.0232558139534884
0.245,302,7,0.00993377483443709,0.437086092715232,0.403973509933775,0.125827814569536,0.0231788079470199
0.25,304,7,0.0131578947368421,0.434210526315789,0.401315789473684,0.128289473684211,0.0230263157894737
0.255,305,7,0.0131147540983607,0.432786885245902,0.4,0.131147540983607,0.0229508196721311
0.26,307,7,0.0162866449511401,0.429967426710098,0.397394136807818,0.133550488599349,0.0228013029315961
0.265,309,7,0.0161812297734628,0.427184466019417,0.398058252427184,0.135922330097087,0.0226537216828479
0.27,310,8,0.0129032258064516,0.425806451612903,0.4,0.135483870967742,0.0258064516129032
0.275,313,8,0.0191693290734824,0.421725239616613,0.396166134185304,0.137380191693291,0.0255591054313099
0.28,314,8,0.00636942675159236,0.426751592356688,0.398089171974522,0.143312101910828,0.0254777070063694
0.285,323,8,0.0309597523219814,0.414860681114551,0.386996904024768,0.142414860681115,0.0247678018575851
0.29,326,9,0.0337423312883436,0.411042944785276,0.386503067484663,0.141104294478528,0.0276073619631902
0.295,327,9,0.0305810397553517,0.412844036697248,0.388379204892966,0.140672782874618,0.0275229357798165
0.3,329,9,0.033434650455927,0.410334346504559,0.386018237082067,0.142857142857143,0.027355623100304
0.305,330,9,0.0303030303030303,0.412121212121212,0.387878787878788,0.142424242424242,0.0272727272727273
0.31,332,9,0.0271084337349398,0.412650602409639,0.385542168674699,0.147590361445783,0.0271084337349398
0.315,333,9,0.024024024024024,0.411411411411411,0.387387387387387,0.15015015015015,0.027027027027027
0.32,338,9,0.0325443786982249,0.408284023668639,0.381656804733728,0.150887573964497,0.0266272189349112
0.325,338,9,0.0266272189349112,0.411242603550296,0.381656804733728,0.153846153846154,0.0266272189349112
0.33,342,10,0.0321637426900585,0.409356725146199,0.37719298245614,0.152046783625731,0.0292397660818713
0.335,346,11,0.0289017341040462,0.410404624277457,0.375722543352601,0.153179190751445,0.0317919075144509
0.34,351,11,0.037037037037037,0.407407407407407,0.37037037037037,0.153846153846154,0.0313390313390313
0.345,353,11,0.0368271954674221,0.405099150141643,0.371104815864023,0.155807365439093,0.0311614730878187
0.35,356,11,0.0337078651685393,0.404494382022472,0.370786516853933,0.160112359550562,0.0308988764044944
0.355,357,12,0.030812324929972,0.403361344537815,0.369747899159664,0.162464985994398,0.0336134453781513
0.36,358,13,0.0223463687150838,0.405027932960894,0.368715083798883,0.167597765363128,0.0363128491620112
0.365,360,13,0.025,0.405555555555556,0.366666666666667,0.166666666666667,0.0361111111111111
0.37,362,13,0.0193370165745856,0.408839779005525,0.367403314917127,0.168508287292818,0.0359116022099448
0.375,367,14,0.0245231607629428,0.405994550408719,0.365122615803815,0.166212534059946,0.0381471389645777
0.38,367,14,0.0190735694822888,0.408719346049046,0.365122615803815,0.168937329700272,0.0381471389645777
0.385,371,14,0.0134770889487871,0.407008086253369,0.363881401617251,0.177897574123989,0.0377358490566038
0.39,372,14,0.00537634408602151,0.408602150537634,0.362903225806452,0.185483870967742,0.0376344086021505
0.395,373,14,0.00804289544235925,0.407506702412869,0.361930294906166,0.184986595174263,0.0375335120643432
0.4,375,14,0.008,0.405333333333333,0.36,0.189333333333333,0.0373333333333333
0.405,379,14,0.0184696569920844,0.401055408970976,0.356200527704486,0.187335092348285,0.0369393139841689
0.41,381,14,0.020997375328084,0.398950131233596,0.354330708661417,0.188976377952756,0.036745406824147
0.415,382,14,0.0235602094240838,0.397905759162304,0.353403141361257,0.18848167539267,0.0366492146596859
0.42,384,15,0.0260416666666667,0.395833333333333,0.3515625,0.1875,0.0390625
0.425,388,15,0.0309278350515464,0.396907216494845,0.347938144329897,0.185567010309278,0.038659793814433
0.43,391,15,0.0281329923273657,0.39386189258312,0.345268542199488,0.194373401534527,0.0383631713554987
0.435,399,16,0.0275689223057644,0.401002506265664,0.338345864661654,0.192982456140351,0.0401002506265664
0.44,401,16,0.027431421446384,0.401496259351621,0.336658354114713,0.194513715710723,0.0399002493765586
0.445,403,16,0.0173697270471464,0.406947890818859,0.334987593052109,0.200992555831266,0.0397022332506203
0.45,405,18,0.00740740740740741,0.409876543209877,0.333333333333333,0.204938271604938,0.0444444444444444
0.455,407,18,0.00737100737100737,0.412776412776413,0.331695331695332,0.203931203931204,0.0442260442260442
0.46,412,18,0.0145631067961165,0.410194174757282,0.327669902912621,0.203883495145631,0.0436893203883495
0.465,414,20,0.00966183574879227,0.410628019323671,0.326086956521739,0.205314009661836,0.0483091787439614
0.47,416,20,0.0120192307692308,0.411057692307692,0.324519230769231,0.204326923076923,0.0480769230769231
0.475,418,20,0.0119617224880383,0.411483253588517,0.322966507177034,0.205741626794258,0.0478468899521531
0.48,420,20,0.00714285714285714,0.40952380952381,0.323809523809524,0.211904761904762,0.0476190476190476
0.485,423,20,0.0118203309692671,0.408983451536643,0.321513002364066,0.210401891252955,0.0472813238770686
0.49,427,20,0.0187353629976581,0.407494145199063,0.318501170960187,0.208430913348946,0.0468384074941452
0.495,428,20,0.0186915887850467,0.406542056074766,0.317757009345794,0.210280373831776,0.0467289719626168
0.5,431,20,0.0208816705336427,0.408352668213457,0.31554524361949,0.208816705336427,0.0464037122969838
0.505,438,20,0.0296803652968037,0.406392694063927,0.310502283105023,0.207762557077626,0.045662100456621
0.51,442,23,0.0248868778280543,0.404977375565611,0.309954751131222,0.208144796380091,0.0520361990950226
0.515,446,24,0.0246636771300448,0.405829596412556,0.309417040358744,0.20627802690583,0.0538116591928251
0.52,449,25,0.0244988864142539,0.405345211581292,0.309576837416481,0.204899777282851,0.0556792873051225
0.525,453,26,0.022075055187638,0.403973509933775,0.306843267108168,0.209713024282561,0.0573951434878587
0.53,455,26,0.021978021978022,0.402197802197802,0.305494505494506,0.213186813186813,0.0571428571428571
0.535,460,27,0.0239130434782609,0.404347826086957,0.302173913043478,0.210869565217391,0.058695652173913
0.54,464,27,0.0323275862068966,0.400862068965517,0.299568965517241,0.209051724137931,0.0581896551724138
0.545,468,28,0.0341880341880342,0.397435897435897,0.297008547008547,0.211538461538462,0.0598290598290598
0.55,471,28,0.029723991507431,0.397027600849257,0.295116772823779,0.218683651804671,0.059447983014862
0.555,476,28,0.0357142857142857,0.394957983193277,0.292016806722689,0.218487394957983,0.0588235294117647
0.56,477,29,0.0314465408805031,0.394129979035639,0.293501048218029,0.220125786163522,0.0607966457023061
0.565,480,29,0.0291666666666667,0.391666666666667,0.291666666666667,0.227083333333333,0.0604166666666667
0.57,484,29,0.0330578512396694,0.390495867768595,0.289256198347107,0.227272727272727,0.0599173553719008
0.575,489,29,0.0388548057259714,0.390593047034765,0.286298568507157,0.224948875255624,0.0593047034764826
0.58,494,29,0.0425101214574899,0.38663967611336,0.285425101214575,0.226720647773279,0.0587044534412955
0.585,499,29,0.0440881763527054,0.384769539078156,0.282565130260521,0.230460921843687,0.0581162324649299
0.59,500,30,0.036,0.388,0.284,0.232,0.06
0.595,503,30,0.0318091451292246,0.393638170974155,0.284294234592445,0.230616302186879,0.0596421471172962
0.6,507,31,0.0355029585798817,0.390532544378698,0.282051282051282,0.230769230769231,0.0611439842209073
0.605,512,31,0.03515625,0.38671875,0.283203125,0.234375,0.060546875
0.61,518,31,0.0308880308880309,0.393822393822394,0.27992277992278,0.235521235521236,0.0598455598455598
0.615,523,33,0.0286806883365201,0.395793499043977,0.277246653919694,0.235181644359465,0.0630975143403442
0.62,529,33,0.0359168241965974,0.395085066162571,0.274102079395085,0.232514177693762,0.0623818525519849
0.625,532,33,0.0394736842105263,0.394736842105263,0.272556390977444,0.231203007518797,0.0620300751879699
0.63,535,33,0.0355140186915888,0.396261682242991,0.271028037383178,0.235514018691589,0.0616822429906542
0.635,540,33,0.0444444444444444,0.392592592592593,0.268518518518519,0.233333333333333,0.0611111111111111
0.64,544,33,0.0459558823529412,0.391544117647059,0.270220588235294,0.231617647058824,0.0606617647058824
0.645,549,33,0.0491803278688525,0.387978142076503,0.269581056466302,0.233151183970856,0.0601092896174863
0.65,552,33,0.0507246376811594,0.38768115942029,0.268115942028986,0.233695652173913,0.0597826086956522
0.655,556,33,0.052158273381295,0.386690647482014,0.266187050359712,0.235611510791367,0.0593525179856115
0.66,562,34,0.0569395017793594,0.386120996441281,0.263345195729537,0.233096085409253,0.0604982206405694
0.665,566,35,0.0565371024734982,0.38339222614841,0.263250883392226,0.234982332155477,0.0618374558303887
0.67,570,35,0.0596491228070175,0.384210526315789,0.26140350877193,0.233333333333333,0.0614035087719298
0.675,573,35,0.0610820244328098,0.383944153577661,0.260034904013962,0.233856893542757,0.0610820244328098
0.68,578,36,0.0640138408304498,0.382352941176471,0.257785467128028,0.23356401384083,0.0622837370242215
0.685,580,37,0.0586206896551724,0.382758620689655,0.256896551724138,0.237931034482759,0.0637931034482759
0.69,584,37,0.0582191780821918,0.383561643835616,0.258561643835616,0.236301369863014,0.0633561643835616
0.695,588,37,0.054421768707483,0.384353741496599,0.256802721088435,0.241496598639456,0.0629251700680272
0.7,591,37,0.0592216582064298,0.382402707275804,0.255499153976311,0.240270727580372,0.0626057529610829
0.705,599,37,0.0651085141903172,0.377295492487479,0.257095158597663,0.23873121869783,0.0617696160267112
0.71,601,37,0.0599001663893511,0.377703826955075,0.261231281198003,0.239600665557404,0.0615640599001664
0.715,608,37,0.0592105263157895,0.373355263157895,0.263157894736842,0.243421052631579,0.0608552631578947
0.72,611,37,0.0523731587561375,0.37315875613748,0.266775777414075,0.247135842880524,0.060556464811784
0.725,618,37,0.0550161812297735,0.368932038834951,0.26537216828479,0.250809061488673,0.0598705501618123
0.73,623,37,0.0545746388443018,0.367576243980738,0.263242375601926,0.255216693418941,0.0593900481540931
0.735,626,37,0.0527156549520767,0.36741214057508,0.26517571884984,0.255591054313099,0.0591054313099042
0.74,629,37,0.0492845786963434,0.368839427662957,0.263910969793323,0.259141494435612,0.0588235294117647
0.745,634,37,0.0457413249211356,0.367507886435331,0.26813880126183,0.260252365930599,0.0583596214511041
0.75,637,37,0.043956043956044,0.36734693877551,0.268445839874411,0.262166405023548,0.0580847723704867
0.755,641,38,0.0436817472698908,0.366614664586583,0.266770670826833,0.263650546021841,0.0592823712948518
0.76,645,40,0.0403100775193798,0.365891472868217,0.266666666666667,0.265116279069767,0.062015503875969
0.765,649,40,0.0354391371340524,0.366718027734977,0.268104776579353,0.268104776579353,0.061633281972265
0.77,650,40,0.0353846153846154,0.367692307692308,0.267692307692308,0.267692307692308,0.0615384615384615
0.775,651,40,0.0337941628264209,0.367127496159754,0.267281105990783,0.270353302611367,0.0614439324116743
0.78,655,40,0.0290076335877863,0.36793893129771,0.268702290076336,0.273282442748092,0.0610687022900763
0.785,658,40,0.0288753799392097,0.367781155015198,0.268996960486322,0.27355623100304,0.060790273556231
0.79,663,40,0.028657616892911,0.368024132730015,0.266968325791855,0.276018099547511,0.0603318250377074
0.795,665,41,0.0270676691729323,0.366917293233083,0.266165413533835,0.278195488721805,0.0616541353383459
0.8,669,42,0.0298953662182362,0.364723467862481,0.26457399103139,0.278026905829596,0.062780269058296
0.805,675,42,0.0340740740740741,0.362962962962963,0.262222222222222,0.278518518518519,0.0622222222222222
0.81,681,43,0.0381791483113069,0.361233480176211,0.259911894273128,0.277533039647577,0.0631424375917768
0.815,686,43,0.0379008746355685,0.360058309037901,0.259475218658892,0.279883381924198,0.0626822157434402
0.82,691,43,0.0434153400868307,0.357452966714906,0.257597684515195,0.279305354558611,0.0622286541244573
0.825,700,43,0.0485714285714286,0.354285714285714,0.254285714285714,0.281428571428571,0.0614285714285714
0.83,702,43,0.0398860398860399,0.356125356125356,0.257834757834758,0.284900284900285,0.0612535612535613
0.835,706,43,0.0382436260623229,0.358356940509915,0.257790368271955,0.284702549575071,0.0609065155807365
0.84,709,43,0.0366713681241185,0.35966149506347,0.259520451339915,0.283497884344147,0.0606488011283498
0.845,711,44,0.0379746835443038,0.358649789029536,0.258790436005626,0.282700421940928,0.0618846694796062
0.85,712,44,0.0337078651685393,0.360955056179775,0.259831460674157,0.283707865168539,0.0617977528089888
0.855,713,45,0.0308555399719495,0.363253856942497,0.259467040673212,0.283309957924264,0.0631136044880785
0.86,716,45,0.0307262569832402,0.361731843575419,0.259776536312849,0.284916201117318,0.0628491620111732
0.865,718,45,0.0222841225626741,0.36908077994429,0.260445682451253,0.285515320334262,0.0626740947075209
0.87,725,45,0.0248275862068966,0.368275862068966,0.262068965517241,0.282758620689655,0.0620689655172414
0.875,731,45,0.0259917920656635,0.366621067031464,0.264021887824897,0.281805745554036,0.0615595075239398
0.88,737,45,0.0312075983717775,0.363636363636364,0.261872455902307,0.282225237449118,0.0610583446404342
0.885,745,45,0.0375838926174497,0.359731543624161,0.260402684563758,0.281879194630872,0.0604026845637584
0.89,751,45,0.0399467376830892,0.360852197070573,0.25965379494008,0.279627163781625,0.0599201065246338
0.895,756,47,0.0317460317460317,0.362433862433862,0.257936507936508,0.285714285714286,0.0621693121693122
0.9,761,47,0.0236530880420499,0.362680683311432,0.260183968462549,0.291721419185283,0.0617608409986859
0.905,769,47,0.0325097529258778,0.360208062418726,0.257477243172952,0.288686605981795,0.0611183355006502
0.91,775,47,0.0361290322580645,0.36,0.255483870967742,0.287741935483871,0.0606451612903226
0.915,785,48,0.0445859872611465,0.355414012738853,0.252229299363057,0.286624203821656,0.0611464968152866
0.92,790,48,0.0468354430379747,0.353164556962025,0.253164556962025,0.286075949367089,0.0607594936708861
0.925,796,48,0.0477386934673367,0.351758793969849,0.251256281407035,0.28894472361809,0.0603015075376884
0.93,800,48,0.04625,0.3525,0.25,0.29125,0.06
0.935,801,48,0.0436953807740325,0.35330836454432,0.250936329588015,0.292134831460674,0.0599250936329588
0.94,804,49,0.0398009950248756,0.355721393034826,0.25,0.293532338308458,0.0609452736318408
0.945,812,49,0.0455665024630542,0.352216748768473,0.248768472906404,0.293103448275862,0.0603448275862069
0.95,815,49,0.0441717791411043,0.353374233128834,0.247852760736196,0.294478527607362,0.0601226993865031
0.955,820,50,0.0451219512195122,0.351219512195122,0.25,0.292682926829268,0.0609756097560976
0.96,825,50,0.0496969696969697,0.349090909090909,0.248484848484848,0.292121212121212,0.0606060606060606
0.965,829,50,0.04583835946924,0.349819059107358,0.248492159227986,0.295536791314837,0.060313630880579
0.97,832,51,0.0408653846153846,0.350961538461538,0.25,0.296875,0.0612980769230769
0.975,842,52,0.0475059382422803,0.347980997624703,0.247030878859857,0.295724465558195,0.0617577197149644
0.98,847,53,0.0495867768595041,0.345926800472255,0.246753246753247,0.295159386068477,0.0625737898465171
0.985,854,53,0.053864168618267,0.343091334894614,0.245901639344262,0.295081967213115,0.0620608899297424
0.99,861,54,0.0545876887340302,0.340301974448316,0.248548199767712,0.293844367015099,0.0627177700348432
0.995,862,55,0.0487238979118329,0.342227378190255,0.250580046403712,0.294663573085847,0.0638051044083527
1,865,55,0.0450867052023121,0.343352601156069,0.250867052023121,0.297109826589595,0.0635838150289017
1.005,867,55,0.0438292964244521,0.342560553633218,0.251441753171857,0.298731257208766,0.063437139561707
1.01,876,56,0.0468036529680365,0.342465753424658,0.248858447488584,0.297945205479452,0.0639269406392694
1.015,883,56,0.0407701019252548,0.342015855039638,0.251415628539071,0.30237825594564,0.0634201585503964
1.02,885,57,0.0395480225988701,0.342372881355932,0.250847457627119,0.302824858757062,0.0644067796610169
1.025,894,57,0.0436241610738255,0.340044742729307,0.250559284116331,0.302013422818792,0.063758389261745
1.03,900,57,0.0488888888888889,0.337777777777778,0.248888888888889,0.301111111111111,0.0633333333333333
1.035,905,58,0.0486187845303867,0.338121546961326,0.247513812154696,0.301657458563536,0.0640883977900552
1.04,906,59,0.0408388520971302,0.339955849889625,0.248344370860927,0.305739514348786,0.065121412803532
1.045,914,60,0.0404814004376368,0.338074398249453,0.24835886214442,0.307439824945295,0.0656455142231947
1.05,922,60,0.0455531453362256,0.336225596529284,0.246203904555315,0.306941431670282,0.0650759219088937
1.055,929,60,0.046286329386437,0.335844994617869,0.245425188374596,0.307857911733046,0.0645855758880517
1.06,931,61,0.0429645542427497,0.336197636949517,0.247046186895811,0.308270676691729,0.0655209452201933
1.065,938,61,0.0479744136460554,0.333688699360341,0.245202558635394,0.308102345415778,0.0650319829424307
1.07,939,62,0.0436634717784878,0.333333333333333,0.248136315228967,0.308839190628328,0.0660276890308839
1.075,942,63,0.0403397027600849,0.335456475583864,0.248407643312102,0.308917197452229,0.0668789808917197
1.08,948,65,0.0443037974683544,0.333333333333333,0.246835443037975,0.306962025316456,0.0685654008438819
1.085,952,65,0.0420168067226891,0.332983193277311,0.246848739495798,0.309873949579832,0.0682773109243697
1.09,959,65,0.0417101147028154,0.330552659019812,0.248175182481752,0.311783107403545,0.0677789363920751
1.095,964,66,0.04149377593361,0.329875518672199,0.24792531120332,0.312240663900415,0.0684647302904564
1.1,967,66,0.0372285418821096,0.331954498448811,0.247156153050672,0.31540847983454,0.0682523267838676
1.105,969,66,0.0309597523219814,0.336429308565531,0.248710010319917,0.315789473684211,0.0681114551083591
1.11,971,67,0.0278063851699279,0.338825952626159,0.249227600411946,0.31513903192585,0.0690010298661174
1.115,974,67,0.0277207392197125,0.338809034907598,0.248459958932238,0.316221765913758,0.0687885010266941
1.12,980,67,0.0285714285714286,0.337755102040816,0.247959183673469,0.31734693877551,0.0683673469387755
1.125,985,68,0.0304568527918782,0.337055837563452,0.246700507614213,0.316751269035533,0.0690355329949239
1.13,988,68,0.0273279352226721,0.337044534412955,0.247975708502024,0.318825910931174,0.0688259109311741
1.135,991,68,0.0262361251261352,0.337033299697275,0.247225025227043,0.320887991927346,0.0686175580221998
1.14,1000,68,0.032,0.335,0.245,0.32,0.068
1.145,1010,68,0.0386138613861386,0.332673267326733,0.242574257425743,0.318811881188119,0.0673267326732673
1.15,1018,69,0.0402750491159136,0.331041257367387,0.241650294695481,0.319253438113949,0.0677799607072692
1.155,1023,69,0.0410557184750733,0.330400782013685,0.242424242424242,0.318670576735093,0.0674486803519062
1.16,1026,69,0.0380116959064327,0.330409356725146,0.242690058479532,0.321637426900585,0.0672514619883041
1.165,506,39,0.0276679841897233,0.318181818181818,0.245059288537549,0.33201581027668,0.0770750988142292
1.17,509,39,0.0235756385068762,0.322200392927308,0.245579567779961,0.332023575638507,0.0766208251473477
1.175,509,40,0.0176817288801572,0.324165029469548,0.245579567779961,0.333988212180747,0.0785854616895874
1.18,513,40,0.0253411306042885,0.321637426900585,0.243664717348928,0.331384015594542,0.0779727095516569
1.185,516,41,0.0232558139534884,0.319767441860465,0.242248062015504,0.335271317829457,0.0794573643410853
1.19,523,41,0.0344168260038241,0.317399617590822,0.239005736137667,0.330783938814532,0.0783938814531549
1.195,527,41,0.0341555977229602,0.318785578747628,0.239089184060721,0.330170777988615,0.0777988614800759
1.2,531,41,0.0395480225988701,0.31638418079096,0.23728813559322,0.329566854990584,0.0772128060263653
1.205,535,41,0.0373831775700935,0.319626168224299,0.235514018691589,0.330841121495327,0.0766355140186916
1.21,541,42,0.0425138632162662,0.317929759704251,0.234750462107209,0.327171903881701,0.077634011090573
1.215,542,42,0.03690036900369,0.319188191881919,0.236162361623616,0.330258302583026,0.0774907749077491
1.22,544,42,0.0367647058823529,0.319852941176471,0.235294117647059,0.330882352941176,0.0772058823529412
1.225,549,42,0.0418943533697632,0.316939890710383,0.236794171220401,0.327868852459016,0.0765027322404372
1.23,552,42,0.0380434782608696,0.320652173913043,0.23731884057971,0.327898550724638,0.0760869565217391
1.235,560,42,0.0446428571428571,0.316071428571429,0.235714285714286,0.328571428571429,0.075
1.24,563,42,0.0373001776198934,0.321492007104796,0.234458259325044,0.33214920071048,0.0746003552397869
1.245,566,42,0.0406360424028269,0.319787985865724,0.23321554770318,0.332155477031802,0.0742049469964664
1.25,569,42,0.0421792618629174,0.319859402460457,0.233743409490334,0.330404217926186,0.0738137082601054
1.255,575,42,0.0469565217391304,0.316521739130435,0.23304347826087,0.330434782608696,0.0730434782608696
1.26,578,42,0.0501730103806228,0.314878892733564,0.231833910034602,0.330449826989619,0.0726643598615917
1.265,582,42,0.0549828178694158,0.312714776632302,0.231958762886598,0.328178694158076,0.0721649484536082
1.27,585,42,0.0581196581196581,0.311111111111111,0.230769230769231,0.328205128205128,0.0717948717948718
1.275,594,42,0.0656565656565657,0.306397306397306,0.230639730639731,0.326599326599327,0.0707070707070707
1.28,597,42,0.0653266331658292,0.306532663316583,0.229480737018425,0.328308207705193,0.0703517587939698
1.285,599,42,0.0617696160267112,0.30550918196995,0.230383973288815,0.332220367278798,0.0701168614357262
1.29,604,42,0.0662251655629139,0.302980132450331,0.231788079470199,0.329470198675497,0.0695364238410596
1.295,605,42,0.0661157024793388,0.302479338842975,0.233057851239669,0.328925619834711,0.0694214876033058
1.3,608,42,0.0641447368421053,0.302631578947368,0.233552631578947,0.330592105263158,0.0690789473684211
1.305,609,43,0.0591133004926108,0.302134646962233,0.236453201970443,0.331691297208539,0.0706075533661741
1.31,610,43,0.0557377049180328,0.30327868852459,0.237704918032787,0.332786885245902,0.0704918032786885
1.315,616,45,0.0584415584415584,0.301948051948052,0.23538961038961,0.331168831168831,0.073051948051948
1.32,617,45,0.0567260940032415,0.301458670988655,0.236628849270664,0.3322528363047,0.0729335494327391
1.325,620,45,0.0564516129032258,0.3,0.238709677419355,0.332258064516129,0.0725806451612903
1.33,625,45,0.0576,0.2992,0.2384,0.3328,0.072
1.335,631,45,0.0618066561014263,0.297939778129952,0.239302694136292,0.329635499207607,0.0713153724247227
1.34,636,45,0.0628930817610063,0.29559748427673,0.240566037735849,0.330188679245283,0.0707547169811321
1.345,640,46,0.0609375,0.29375,0.2421875,0.33125,0.071875
1.35,647,46,0.0602782071097372,0.293663060278207,0.242658423493045,0.332302936630603,0.071097372488408
1.355,651,47,0.0568356374807988,0.293394777265745,0.245775729646697,0.331797235023041,0.0721966205837174
1.36,653,47,0.0520673813169985,0.294027565084227,0.25114854517611,0.330781010719755,0.0719754977029096
1.365,655,47,0.050381679389313,0.294656488549618,0.251908396946565,0.331297709923664,0.0717557251908397
1.37,660,47,0.0454545454545455,0.298484848484848,0.251515151515152,0.333333333333333,0.0712121212121212
1.375,662,47,0.040785498489426,0.299093655589124,0.255287009063444,0.333836858006042,0.0709969788519638
1.38,668,47,0.0434131736526946,0.297904191616766,0.252994011976048,0.335329341317365,0.0703592814371257
1.385,670,48,0.0417910447761194,0.298507462686567,0.252238805970149,0.335820895522388,0.0716417910447761
1.39,672,48,0.0416666666666667,0.297619047619048,0.25297619047619,0.336309523809524,0.0714285714285714
1.395,678,48,0.0457227138643068,0.29646017699115,0.250737463126844,0.336283185840708,0.0707964601769911
1.4,680,48,0.0441176470588235,0.298529411764706,0.25,0.336764705882353,0.0705882352941176
1.405,681,48,0.0440528634361234,0.298091042584435,0.251101321585903,0.336270190895742,0.0704845814977974
1.41,682,48,0.0395894428152493,0.299120234604106,0.250733137829912,0.340175953079179,0.0703812316715543
1.415,683,48,0.0336749633967789,0.301610541727672,0.251830161054173,0.342606149341142,0.0702781844802343
1.42,693,49,0.0375180375180375,0.303030303030303,0.248196248196248,0.340548340548341,0.0707070707070707
