growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,cm_uM,source,model_k,model_cm_kon,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate,det_fR,det_growth_rate
0.42,1.36,15,0,0,0,Basan 2015,1.08527722918846,0,0,0.386988971912585,0.113011028087415,0.5,1,0.41999031916378,0.111538103360685,0.412176820374076
0.47,1.67,14,0,0,0,Basan 2015,1.24458864386772,0,0,0.377641163105823,0.122358836894177,0.5,1,0.470007903058505,0.120646393259331,0.46073926419304
0.7,1.7,13,0,0,0,Basan 2015,2.08086323208519,0,0,0.336409056911794,0.163590943088206,0.5,1,0.700021237468207,0.160697481659522,0.683351403416964
0.98,2.32,12,0,0,0,Basan 2015,3.39697152156559,0,0,0.288486047439693,0.211513952560307,0.5,1,0.979978887521658,0.20709365889686,0.953778030919539
1.29,3.33,11,0,0,0,Basan 2015,5.44236028170741,0,0,0.237028433963821,0.262971566036179,0.5,1,1.28999413464001,0.257086573730372,1.25405901094463
1.83,6.6,10,0,0,0,Basan 2015,12.2491836062167,0,0,0.149399676960247,0.350600323039753,0.5,1,1.83002407379553,0.343476489001497,1.78563485758847
0.74,2.28,12,1,0,2,Basan 2015,3.39697152156559,0.676187500000001,0,0.217843642473272,0.282156357526728,0.5,0.525880433646757,0.740008649635822,0.277728416965847,0.713131347645902
0.55,2.23,12,1,0,4,Basan 2015,3.39697152156559,1.2241875,0,0.161909009091785,0.338090990908215,0.5,0.313868470110762,0.550000292969697,0.334088102305289,0.526006476080359
0.45,2.42,12,1,0,6,Basan 2015,3.39697152156559,1.518625,0,0.132473934213928,0.367526065786072,0.5,0.232488629580858,0.450010181874468,0.363828877462129,0.428938637068025
0.3,2.44,12,1,0,8,Basan 2015,3.39697152156559,1.9759375,0,0.0883117806851375,0.411688219314863,0.5,0.135608959986522,0.299992604006158,0.408676589680386,0.284849817905428
0.88,2.67,12,0,1,0,Basan 2015,3.39697152156559,0,0.0463349994434275,0.259054401906198,0.194610598650375,0.5,1,0.880000425811561,0.19093611796888,0.858400101290266
0.73,2.79,12,0,1,0,Basan 2015,3.39697152156559,0,0.116294100476786,0.214896849089861,0.168809050433353,0.5,1,0.729998476432434,0.166138385983336,0.714512824552683
0.61,3.22,12,0,1,0,Basan 2015,3.39697152156559,0,0.172694916966291,0.179572567827645,0.147732515206063,0.5,1,0.610002898964916,0.145723462759999,0.598843526604264
0.4,5.39,12,0,1,0,Basan 2015,3.39697152156559,0,0.273037969635903,0.117742375797642,0.109219654566456,0.5,1,0.399967497466063,0.108212109542097,0.394660038999641
0.24,7.13,12,0,1,0,Basan 2015,3.39697152156559,0,0.352047143499628,0.070646273023921,0.0773065834764511,0.5,1,0.239983377567007,0.0768325531604729,0.237880008570154
1.12,3.11,11,0,1,0,Basan 2015,5.44236028170741,0,0.0593013349766837,0.20579730828688,0.234901356736436,0.5,1,1.12002309670281,0.230293973545382,1.0923460490817
0.95,3.23,11,0,1,0,Basan 2015,5.44236028170741,0,0.119011721480454,0.174548165106612,0.206440113412934,0.5,1,0.949954001021133,0.202980174991997,0.929471176420927
0.84,3.52,11,0,1,0,Basan 2015,5.44236028170741,0,0.157879908919964,0.154345416286821,0.187774674793214,0.5,1,0.840003363262993,0.184975706866291,0.823592127083815
0.65,4.24,11,0,1,0,Basan 2015,5.44236028170741,0,0.225748424027602,0.119429830692945,0.154821745279453,0.5,1,0.649980167014323,0.152977995754914,0.639794750820438
0.52,6.05,11,0,1,0,Basan 2015,5.44236028170741,0,0.272917454350228,0.0955407268414141,0.131541818808358,0.5,1,0.51996705704717,0.130300733209383,0.51300639896236
0.42,7.61,11,0,1,0,Basan 2015,5.44236028170741,0,0.309808830258978,0.0771721303865974,0.113019039354424,0.5,1,0.419998537270764,0.112145101022858,0.415236237398436
1.71,8.69542953702427,28,0,0,0,Si 2017,10.1341125259483,0,0,0.168735395397309,0.331264604602691,0.5,1,1.7099834840667,0.324187895574906,1.66631888873321
1.63,7.67243782678612,28,1,0,1,Si 2017,10.1341125259483,0.12975,0,0.160843788968581,0.339156211031419,0.5,0.926684935148147,1.63000905650747,0.332267524876145,1.58699945548505
0.98,6.11237546867294,28,1,0,2,Si 2017,10.1341125259483,1.191625,0,0.0967039761929853,0.403296023807015,0.5,0.453792426747479,0.980008976446334,0.398293093894709,0.948696443127406
0.96,5.16610813670265,28,1,0,4,Si 2017,10.1341125259483,1.224625,0,0.0947295242000129,0.405270475799987,0.5,0.441988863260569,0.959999657772469,0.400280946009559,0.929590018583357
0.78,4.83363583087525,28,1,0,6,Si 2017,10.1341125259483,1.5225625,0,0.0769681186066262,0.423031881393374,0.5,0.341613406619944,0.780003574870082,0.418825246711569,0.753730368631893
0.55,7.28881593544681,28,1,0,8,Si 2017,10.1341125259483,1.9105,0,0.0542709093955711,0.445729090604429,0.5,0.226670850222148,0.549987502700259,0.442485561411096,0.531216217284288
0.38,8.33738243844091,28,1,0,10,Si 2017,10.1341125259483,2.209125,0,0.0374966986569943,0.462503301343006,0.5,0.150049112381429,0.379995763541553,0.460210362970504,0.366101844300316
0.21,8.9511774645838,28,1,0,12,Si 2017,10.1341125259483,2.5436875,0,0.0207208576692927,0.479279142330707,0.5,0.0795996283917939,0.20998750325477,0.477693507619834,0.20444622032022
1.51,3.63162057134543,29,0,0,0,Si 2017,7.50888400959267,0,0,0.201095843075639,0.298904156924361,0.5,1,1.51000536046622,0.292202190875269,1.46910359742037
1.34,3.58047098583352,29,1,0,1,Si 2017,7.50888400959267,0.3120625,0,0.178455906691145,0.321544093308855,0.5,0.812244354971348,1.3400047041705,0.315166208130848,1.30037259963217
1.17,3.40144743654185,29,1,0,2,Si 2017,7.50888400959267,0.625500000000001,0,0.155816758284611,0.344183241715389,0.5,0.653560483062463,1.17000996470988,0.338210811693775,1.13265413070229
0.86,3.17127430173826,29,1,0,4,Si 2017,7.50888400959267,1.2014375,0,0.114531613175785,0.385468386824215,0.5,0.419999477313766,0.860004598768501,0.380445412822936,0.829488220480306
0.69,3.35029785102994,29,1,0,6,Si 2017,7.50888400959267,1.5216875,0,0.0918897095263271,0.408110290473673,0.5,0.315072476477049,0.689989170508352,0.403793025921433,0.663981090238634
0.54,3.06897513071445,29,1,0,8,Si 2017,7.50888400959267,1.808125,0,0.0719169580841685,0.428083041915832,0.5,0.233241385502844,0.540016096576759,0.424494763436626,0.518768961921114
0.51,3.29914826551803,29,1,0,10,Si 2017,7.50888400959267,1.8663125,0,0.0679190510306643,0.432080948969336,0.5,0.21790821096178,0.509996276230863,0.428654627401159,0.489853732234622
0.31,3.01782554520254,29,1,0,12,Si 2017,7.50888400959267,2.269375,0,0.0412828100592782,0.458717189940722,0.5,0.123577827074094,0.309987832325165,0.456284283223467,0.298320952834258
1.03,2.65977844661919,30,0,0,0,Si 2017,3.67759585737632,0,0,0.280079599817355,0.219920400182645,0.5,1,1.03001957602392,0.215263665791371,1.00207512065359
0.87,2.3784557263037,30,1,0,1,Si 2017,3.67759585737632,0.427687500000001,0,0.236566525393736,0.263433474606264,0.5,0.672942668566909,0.869996073781915,0.258714675190668,0.841438005720138
0.75,2.27615655527988,30,1,0,2,Si 2017,3.67759585737632,0.752437500000001,0,0.203936630521495,0.296063369478505,0.5,0.502498954511497,0.749996507573135,0.291488337360092,0.722135848225154
0.67,2.09713300598821,30,1,0,3,Si 2017,3.67759585737632,0.970937500000001,0,0.182186701672554,0.317813298327446,0.5,0.411890412498797,0.67000905934004,0.313389985086741,0.643217183818735
0.54,2.0459834204763,30,1,0,4,Si 2017,3.67759585737632,1.3303125,0,0.146833538050942,0.353166461949058,0.5,0.292502467531476,0.539994411260054,0.349171723579314,0.515907040555505
