t,A,E,R,Q,U,X,M_or_V,total_prot,a,e,r,q,x
0,0,3,1,3,0,1,8,8,0,0.375,0.125,0.375,0.125
0,0,3,1,3,0,1,8,8,0,0.375,0.125,0.375,0.125
7.90635899501701e-05,0.000831003602719361,3.00000313943518,1.00000000065551,3.00000251207255,0,1.00000062801814,8.0008372837841,8.00000628018138,0.000103864579823867,0.374961148818201,0.124986918891887,0.374961070406079,0.124986997304009
0.000322501745841442,0.00331698850649224,3.00004911433084,1.0000000486375,3.00003933037467,0,1.00000983259367,8.00341531444317,8.00009832593667,0.00041444663011631,0.374846112123768,0.124946664561174,0.374844889651137,0.124947887033805
0.000714602254298051,0.00712691637554367,3.00021996416691,1.00000049709199,3.00017636900712,0,1.00004409225178,8.00756783889335,8.00044092251781,0.000890022603483633,0.374673062349172,0.124881926349086,0.374667618104344,0.124887370593914
0.00128525570631923,0.0123393873022106,3.00063373596786,1.00000252275109,3.00050900697516,0,1.00012725174379,8.01361190474011,8.00127251743789,0.00153980345553193,0.374442108207532,0.124787990064702,0.374426543566495,0.124803554705739
0.00208113929498498,0.0191259144324207,3.00144965931035,1.00000898927477,3.0011669188681,0,1.00029172971702,8.02204321160266,8.00291729717024,0.00238416995869058,0.374150273208353,0.124657641812301,0.374115027768408,0.124692887252247
0.00317382093464561,0.0277976508851002,3.00288667544296,1.00002601195332,3.00233014991702,0,1.00058253747926,8.03362302567765,8.00582537479255,0.00346016371396209,0.373789841251564,0.124480076891455,0.373720566713269,0.12454935142975
0.00466524494101682,0.0388126890640416,3.00524710111225,1.00006582310455,3.00425033937344,0,1.00106258484336,8.04943853749764,8.0106258484336,0.00482178836241011,0.373348661165938,0.124240444652857,0.373224831195168,0.124364274623627
0.00669809244307127,0.052815880516608,3.00894863200885,1.00015202684834,3.00728052708575,0,1.00182013177144,8.071017198231,8.01820131771439,0.00654389393795173,0.372809096809799,0.123918956221225,0.372602418409527,0.124125634621497
0.0094715565629061,0.0707087954034675,3.0145678730872,1.00032927926145,3.01191772187891,0,1.00297943046973,8.10050310010075,8.02979430469728,0.00872893874981518,0.372145758829436,0.123489771795657,0.371818599988123,0.123816930636969
0.0132646462303412,0.0937606020490102,3.02289965556147,1.00068127167366,3.0188647417881,0,1.00471618544703,8.14092245651927,8.04716185447026,0.0115171963066577,0.371321514448369,0.122919887398302,0.370825880962739,0.123415520883932
0.0184703647277468,0.123780055033748,3.03503692759731,1.00136450301977,3.02912114449366,0,1.00728028612342,8.19658291626791,8.07280286123416,0.0151014216897727,0.370280757066901,0.122168532088213,0.369559019342281,0.122890269812832
0.0256453131143381,0.163379652297575,3.05247443523953,1.00267239262534,3.0441174622919,0,1.01102936557298,8.27367330802732,8.11029365572974,0.0197469305609469,0.368938235968048,0.121188298751477,0.367928167932184,0.122198366787343
0.0355792152549984,0.216370427308455,3.07723055567677,1.00515773192786,3.06591063008372,0,1.01647765752093,8.38114700251773,8.16477657520928,0.02581632648174,0.367161028765198,0.119930807993931,0.36581038718957,0.121281449569561
0.0493827288280401,0.288303565795179,3.11195136482712,1.00986456517163,3.09745274399901,0,1.02436318599975,8.53193542579269,8.24363185999751,0.0337911096846344,0.364741551538172,0.11836289361951,0.36304221602934,0.120062229128343
0.0685652901734419,0.387032395375272,3.15987808379581,1.01874800848179,3.14290087382209,0,1.03572521845552,8.74428457993049,8.35725218455521,0.0442611847587363,0.361364964155928,0.116504443464704,0.359423443403883,0.11844596421675
0.0950000530781833,0.522693938880375,3.22439477303115,1.03534154466856,3.20778905415978,0,1.05194726353995,9.04216657427981,8.51947263539943,0.0578062718250694,0.356595374188621,0.114501489898843,0.354758898523751,0.116337965563716
0.130566172846124,0.705633886042565,3.30779299917715,1.06551072750916,3.29864298134901,0,1.07466074533725,9.45224133941514,8.74660745337257,0.0746525464918173,0.349948004965119,0.112725721788975,0.348979978705571,0.113693748048518
0.176392894668429,0.941013740762147,3.40963059889514,1.11767054197526,3.4218409126966,0,1.10546022817415,9.99561602250329,9.05460228174114,0.0941426460003694,0.341112602887004,0.111816074112794,0.342334169799335,0.110594507200498
0.232308322111877,1.22280925791856,3.52669225610134,1.20201516634653,3.5829659379591,0,1.14574148448978,10.6802241028153,9.45741484489676,0.114492846418478,0.330207701837614,0.1125458749531,0.335476662611848,0.10727691417896
0.297202770929295,1.53233650668013,3.65570423924457,1.32959588812992,3.78824010190021,0,1.19706002547505,11.5029367614299,9.97060025474975,0.133212634169924,0.31780616681319,0.115587516101814,0.329328082077477,0.104065600837594
0.369888388275147,1.84084038390259,3.79692289288342,1.51217187475825,4.04727581411394,0,1.26181895352849,12.4590299191867,10.6181895352841,0.147751501990354,0.304752690820353,0.12137155818444,0.324846785051957,0.101277463952896
0.450005602966477,2.1128502622449,3.95803959222472,1.76327558305813,4.37705214022619,0,1.34426303505655,13.5554806128105,11.4426303505656,0.155866864672299,0.291988141570149,0.130078426093706,0.322899074201006,0.0991674934628406
0.539735360860335,2.30749815898456,4.16289794802618,2.10389730903926,4.81343620565189,0,1.45335905141297,14.8410886731149,12.5335905141303,0.155480383535789,0.280498152104395,0.14176165612773,0.324331746253332,0.0979280619787537
0.652267812415165,2.36259403190951,4.49742856178572,2.60087539996756,5.47864316939595,0,1.61966079234899,16.5592019554077,14.1966079234982,0.142675597427445,0.271596938904233,0.157065262382297,0.330851884296682,0.0978103169893436
