t,A,E,RA,RI,R,Q,U,X,M_or_V,total_prot,a,e,r,q,x
0.0201971935136459,0.0357503723575136,1.01698872716131,1.00153686523218,0,1.00153686523218,1.01482047391479,0,0.00370511847869724,3.07280155714449,3.03705118478697,0.0116344552984202,0.330964661481876,0.325936070587941,0.330259033993021,0.00120577863874176
0.0239696842627068,0.0392175895035632,1.02151041381193,1.00216421945624,0,1.00216421945624,1.01893970661453,0,0.00473492665363344,3.0865668560399,3.04734926653633,0.0127058934190332,0.330953600377391,0.324685732141253,0.330120730941122,0.00153404312120049
0.0277421750117678,0.0422645505542544,1.02619036169044,1.00287450957017,0,1.00287450957017,1.02325189700848,0,0.00581297425212094,3.10039429307546,3.05812974252121,0.0136319921142448,0.330987050254339,0.323466764149975,0.330039278969727,0.00187491451171351
0.0315146657608287,0.0449838848656815,1.03099174608389,1.00365921615203,0,1.00365921615203,1.02772076978873,0,0.00693019244718334,3.11428580933752,3.06930192447183,0.0144443662591298,0.331052385427402,0.322275885258434,0.330002071970188,0.00222529108484669
0.0371520785822076,0.0485723106231245,1.03834256939003,1.00495484199046,0,1.00495484199046,1.03463792910439,0,0.00865948227609883,3.13516713338411,3.08659482276099,0.015492734057433,0.331192094460764,0.320542669412877,0.330010454016084,0.00276204805284232
0.0427894914035864,0.0517117816634406,1.04586179094868,1.00638158974487,0,1.00638158974487,1.04179470455484,0,0.0104486761387109,3.15619854305055,3.10448676138711,0.0163841979387836,0.331367553936524,0.318858771404216,0.330078951100434,0.0033105256200429
0.0484269042249652,0.0545084435790761,1.05351308582799,1.00792420647405,0,1.00792420647405,1.04914983384164,0,0.012287458460409,3.17738302818317,3.12287458460409,0.0171551377645031,0.331566284732878,0.317218351559706,0.330193062824264,0.00386716311864832
0.0540643170463441,0.0570453625059654,1.06126908929789,1.00956975167667,0,1.00956975167667,1.05667107277965,0,0.0141677681949118,3.19872304445508,3.14167768194912,0.0178337923331163,0.331778986348185,0.315616493721374,0.330341532572307,0.0044291950250183
0.0622974714568588,0.0604013271589993,1.07274865620695,1.01213690551494,0,1.01213690551494,1.06790844937751,0,0.0169771123443782,3.23017245060278,3.16977112344378,0.0186991029372837,0.332102595948636,0.313338349884714,0.330604159904289,0.00525579132507618
0.0705306258673735,0.0634417548995123,1.08438069683877,1.01487967196117,0,1.01487967196117,1.07940829503995,0,0.0198520737599873,3.26196249249939,3.19852073759987,0.0194489529065375,0.332431994338444,0.311125487891046,0.330907635364281,0.0060859294996909
0.0787637802778883,0.0662540595586781,1.0961406006446,1.01778099696597,0,1.01778099696597,1.09113727808845,0,0.0227843195221131,3.29409725477981,3.22784319522113,0.0201129640184551,0.332759028002005,0.308971143911778,0.331240152823414,0.00691671124434853
0.086996934688403,0.068907612829396,1.10800962778608,1.02082671572674,0,1.02082671572674,1.10306907481025,0,0.0257672687025635,3.32658029985503,3.25767268702563,0.0207142490540207,0.333077673740317,0.306869705135699,0.331592499017181,0.00774587305278229
0.0988820911142648,0.0725522142177808,1.12531236956017,1.02545767779322,0,1.02545767779322,1.12061603788271,0,0.0301540094706779,3.37409230892456,3.30154009470678,0.0215027354248366,0.333515584794076,0.303921050138688,0.332123704771993,0.0089369248704073
0.110767247540127,0.0760505370471656,1.14279635778896,1.03035058330939,0,1.03035058330939,1.13851755287868,0,0.0346293882196709,3.42234441924387,3.34629388219671,0.0222217660559039,0.33392207732308,0.301065719018729,0.332671821829734,0.0101186157725533
0.122652403965988,0.0794668728561047,1.16044543780574,1.0354931186013,0,1.0354931186013,1.15675084512563,0,0.0391877112814083,3.47134398567019,3.39187711281408,0.0228922495679329,0.334292839486982,0.29829746717002,0.33322852759644,0.011288916178626
0.13453756039185,0.0828506696875297,1.17824771836025,1.04087585538095,0,1.04087585538095,1.17529885899296,0,0.0438247147482398,3.52109781716993,3.4382471474824,0.0235297836042853,0.334625102607136,0.295611172829487,0.333787619662779,0.012446321296312
