si_jun_excel_raw_number,growth_rate_per_hr,estim_SA_over_V,estim_aspect_ratio,estim_vol_um3,estim_C_plus_D_hrs,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
202,1.71,4.306,4.0089,3.4,1.37,7,0,0,8.60995020935052,0,0,0.202975781435925,0.331093482360888,0.465930736203187,0.0215214780506205,0.198607442610944,0.323967861247554,0.323967861247554,0.455903218090881,0,1,1.71000019208667
203,1.63,4.473,3.9774,3,1.35,7,1,0,8.60995020935052,0.0244683644791986,0,0.19333193891092,0.341091088600022,0.465576972489058,0.0207779915455426,0.189314889518746,0.334003900844831,0.309535536365632,0.455903218090881,0,0.926742279304798,1.6299917726451
204,0.98,4.87,4.1282,2.39,1.88,7,1,0,8.60995020935052,0.224764858604072,0,0.11554035004276,0.421672298942892,0.462787351014348,0.0148753696668202,0.11382164462444,0.415399767617859,0.190634909013786,0.455903218090881,0,0.458919151801641,0.979998692962818
205,0.96,5.107,4.0063,2.02,2.05,7,1,0,8.60995020935052,0.230980148079924,0,0.113160940233667,0.424139193934869,0.462699865831464,0.0146891067892782,0.1114987070982,0.417908968021641,0.186928819941717,0.455903218090881,0,0.44729554578986,0.959998316522457
206,0.78,5.111,3.6121,1.89,2.48,7,1,0,8.60995020935052,0.287100905645883,0,0.0917848781974072,0.446318347066192,0.461896774736401,0.0129759655692346,0.0905938807781413,0.440526935561743,0.15342602991586,0.455903218090881,0,0.348278430966354,0.780008802771634
207,0.55,4.619,4.2042,2.85,3.92,7,1,0,8.60995020935052,0.359435340891337,0,0.0645670898218067,0.47461916038187,0.460813749796324,0.0106562178485622,0.0638790488468179,0.469561515213739,0.110126174322402,0.455903218090881,0,0.234529812930418,0.549995429991772
208,0.38,4.273,3.609,3.26,6.12,7,1,0,8.60995020935052,0.413561923842082,0,0.0445185245735182,0.495582218710069,0.459899256716413,0.00868894343092219,0.0441317056318708,0.491276132846326,0.0777142090042444,0.455903218090881,0,0.158188448020034,0.379971788144121
209,0.21,4.299,4.0165,3.5,11.44,7,1,0,8.60995020935052,0.468665738698627,0,0.0245475945828906,0.516624624166357,0.458827781250752,0.00637398884587763,0.0243911284888261,0.513331664574415,0.0446659258757884,0.455903218090881,0,0.0870118267744486,0.210006401838664
241,1.51,6.0025,4.6614,1.42,1.13,8,0,0,6.38180707252047,0,0,0.2413635381708,0.293574817791411,0.465061644037788,0.0196929290220352,0.236610383145096,0.287793469741988,0.287793469741988,0.455903218090881,0,1,1.51000181658715
242,1.34,5.9997,4.6452,1.4,1.32,8,1,0,6.38180707252047,0.0591364801705326,0,0.213849543386837,0.321820894111752,0.46432956250141,0.0181473356232918,0.209968743950109,0.315980702335718,0.256844222165186,0.455903218090881,0,0.812847810852379,1.33998001514904
243,1.17,6.0251,4.4244,1.33,1.38,8,1,0,6.38180707252047,0.1184591364931,0,0.186430552167182,0.34995854154528,0.463610906287538,0.0166253383864015,0.183331081151839,0.344140362370878,0.225681225877778,0.455903218090881,0,0.655782496197184,1.16998359030763
244,0.86,6.1566,4.3805,1.24,2,8,1,0,6.38180707252047,0.227242437953347,0,0.136636898184955,0.401103009194307,0.462260092620738,0.0137517268553672,0.134757904882751,0.395587150171001,0.168344712217654,0.455903218090881,0,0.425556573677591,0.859998950458782
245,0.69,5.9842,4.2364,1.31,2.5,8,1,0,6.38180707252047,0.287329066531518,0,0.109444174044538,0.429072678911144,0.461483147044318,0.0120912951841794,0.108120852229977,0.423884634494963,0.136555567963445,0.455903218090881,0,0.322152672804816,0.690006419448205
246,0.54,6.1404,4.1342,1.2,2.91,8,1,0,6.38180707252047,0.340694939162817,0,0.0855191100728988,0.453724866096741,0.46075602383036,0.0105322675960622,0.0846183999210339,0.448946114392023,0.108251175229206,0.455903218090881,0,0.241122869224079,0.54001830308142
247,0.51,5.9546,3.992,1.29,3.57,8,1,0,6.38180707252047,0.351426012747345,0,0.0807379532893633,0.458659920024692,0.460602126685945,0.0102016650007083,0.0799142917370624,0.453980825171348,0.102554812424004,0.455903218090881,0,0.225901198327696,0.509997592203049
248,0.31,6.0751,3.8593,1.18,5.76,8,1,0,6.38180707252047,0.4235126668662,0,0.0489590500466472,0.491547112584343,0.459493837369009,0.00781429256742102,0.0485764697057597,0.487706019635938,0.0641933527697384,0.455903218090881,0,0.131623047871456,0.310005657926294
300,1.03,6.2728,3.7971,1.04,1.1,9,0,0,3.13188670390059,0,0,0.333996120869079,0.20299894025898,0.463004938871941,0.0153383261922914,0.328873179420229,0.199885276296599,0.199885276296599,0.455903218090881,0,1,1.02999353789573
301,0.87,6.5012,3.7134,0.93,1.16,9,1,0,3.13188670390059,0.0822571596519435,0,0.281691380351637,0.255997112332412,0.462311507315951,0.0138614097284198,0.277786740711619,0.25244863146908,0.170191471817137,0.455903218090881,0,0.674162782450978,0.869996599754601
302,0.75,6.5616,3.6062,0.89,1.22,9,1,0,3.13188670390059,0.14412345706404,0,0.24255320402548,0.29568650260182,0.4617602933727,0.0126842332826826,0.239476602602159,0.291935946024278,0.147812488960238,0.455903218090881,0,0.506318221422263,0.750013587584987
303,0.67,6.687,3.4736,0.82,1.4,9,1,0,3.13188670390059,0.185483327181021,0,0.216501512062431,0.322112257029872,0.461386230907697,0.0118837807665597,0.213928655557452,0.318284345585107,0.132801018404086,0.455903218090881,0,0.417240182390861,0.670000311923713
304,0.54,6.7065,3.3853,0.8,1.59,9,1,0,3.13188670390059,0.252897683815758,0,0.17425306273394,0.364995734690418,0.460751202575642,0.010521913904207,0.172419587010309,0.361155280994603,0.108257597178845,0.455903218090881,0,0.299753604268805,0.539998612049619
305,0.46,6.7415,3.4141,0.79,2.2,9,1,0,3.13188670390059,0.294544366960764,0,0.148310830445127,0.39133574195955,0.460353427595324,0.00966694117536705,0.146877118371544,0.387552722362208,0.0930083554014442,0.455903218090881,0,0.239988909985048,0.460002494135072
306,0.34,6.5799,3.3875,0.84,2.93,9,1,0,3.13188670390059,0.357335319444044,0,0.109457040771163,0.430874029102499,0.459668930126337,0.00819222659756731,0.108560343890467,0.427344211421085,0.0700088919770413,0.455903218090881,0,0.163823190079572,0.339998697601429
307,0.25,6.5332,3.5093,0.88,4.9,9,1,0,3.13188670390059,0.40477930463558,0,0.0803825537788534,0.460522545589635,0.459094900631512,0.0069521193466551,0.0798237246715939,0.45732093789087,0.05254163325529,0.455903218090881,0,0.114890067132303,0.249998861954787
328,0.65,7.7214,4.2886,0.61,1.39,10,0,0,1.61136569562516,0,0,0.40815181457822,0.130552188869087,0.461295996552693,0.011690494827861,0.403380317900911,0.129025969180347,0.129025969180347,0.455903218090881,0,1,0.649993206555901
329,0.59,7.4914,3.5909,0.59,1.61,10,1,0,1.61136569562516,0.0491719009817699,0,0.370241244095543,0.168757907309387,0.46100084859507,0.0110577464655957,0.366147210287228,0.166891825156295,0.117719924174525,0.455903218090881,0,0.705366629337776,0.589997054205692
330,0.46,7.3939,3.3415,0.59,2.08,10,1,0,1.61136569562516,0.15594369260349,0,0.288261092477326,0.251389209375985,0.460349698146689,0.00965891815224205,0.285476802178612,0.248961061578265,0.0930173689747751,0.455903218090881,0,0.373622157557894,0.460007525927386
331,0.43,7.1891,3.3381,0.64,2.55,10,1,0,1.61136569562516,0.180640829553806,0,0.269361986190819,0.270457897208958,0.460180116600223,0.00929396632983588,0.266858544960623,0.26794427061866,0.087303441064854,0.455903218090881,0,0.325826862665427,0.430006704933994
332,0.34,7.1123,3.4687,0.68,3.02,10,1,0,1.61136569562516,0.254894658594943,0,0.212743217909776,0.327588852296517,0.459667929793707,0.00819006821841008,0.211000836442091,0.324905877248618,0.0700112186536748,0.455903218090881,0,0.215481539597088,0.339999509591001
333,0.31,7.0138,3.5393,0.72,3.22,10,1,0,1.61136569562516,0.27970623712726,0,0.193894087558832,0.346623930033768,0.459481982407401,0.00778869347121975,0.192383905944954,0.343924182492945,0.0642179453656851,0.455903218090881,0,0.186721227045447,0.310000826430077
334,0.27,6.9887,3.4954,0.72,3.29,10,1,0,1.61136569562516,0.312851662342012,0,0.168782826909299,0.371986692791008,0.459230480299693,0.00724529915052816,0.16755994483687,0.369291537921721,0.0564398755797091,0.455903218090881,0,0.152832842846436,0.270000347070976
335,0.24,6.8689,3.3843,0.74,3.85,10,1,0,1.61136569562516,0.337769619880088,0,0.14996298061,0.390997877030601,0.459039142359399,0.00683149644363681,0.148938509041285,0.388326776424197,0.0505571565441093,0.455903218090881,0,0.130192300952438,0.239994404226685
343,0.36,8.2154,3.5897,0.45,2.05,11,0,0,0.779589161013477,0,0,0.465711546546739,0.0745079181187051,0.459780535334556,0.0084329738770986,0.461784213240447,0.073879594791573,0.073879594791573,0.455903218090881,0,1,0.360001967369389
344,0.32,8.369,3.6462,0.43,2.21,11,1,0,0.779589161013477,0.0595495508509991,0,0.413754285810811,0.126696771196068,0.459548942993121,0.00793326795290776,0.41047186219481,0.125691651761401,0.0661421009104024,0.455903218090881,0,0.526225091193478,0.319999414668091
345,0.28,8.4656,3.481,0.4,2.68,11,1,0,0.779589161013477,0.119150683364977,0,0.361845734273425,0.178857299052934,0.45929696667364,0.00738900717620194,0.359172053546201,0.177535721186716,0.0583850378217388,0.455903218090881,0,0.328863608019113,0.28000663988357
