growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
0.42,1.36,6,0,0,1.01117003163586,0,0,0.431132712480629,0.0970936904028109,0.471773597116561,0.0365922290046138,0.415356605534157,0.0935408158486881,0.0935408158486881,0.454510349612541,0,1,0.419996151958138
0.47,1.67,5,0,0,1.16237660460437,0,0,0.420702731677804,0.106406276142899,0.472890992179297,0.0388686671362674,0.404350577236901,0.102270406014291,0.102270406014291,0.454510349612541,0,1,0.470007651038444
0.7,1.7,4,0,0,1.96421804302974,0,0,0.374473958642358,0.147932684837169,0.477593356520473,0.0483319262983562,0.356374910872602,0.140782813216501,0.140782813216501,0.454510349612541,0,1,0.699998030019082
0.98,2.32,3,0,0,3.24590109972352,0,0,0.320709880682516,0.196491975815913,0.482798143501571,0.0585913476880178,0.301919056556464,0.184979246142977,0.184979246142977,0.454510349612541,0,1,0.979999397704116
1.29,3.33,2,0,0,5.26677375743547,0,0,0.263121287045666,0.248615739699762,0.488262973254572,0.0691279607319991,0.24493224904702,0.23142944060844,0.23142944060844,0.454510349612541,0,1,1.29000274163049
1.83,6.6,1,0,0,12.0927616232161,0,0,0.165710950388227,0.336587276005163,0.49770177360661,0.0867817361410652,0.15133026641595,0.307377647830443,0.307377647830443,0.454510349612541,0,1,1.83000083814588
0.74,2.28,3,1,0,3.24590109972352,0.120396528110003,0,0.239942242521454,0.281695015196649,0.478362742281897,0.0498625636176729,0.227978107189161,0.267648979580625,0.147252451470622,0.454510349612541,0,0.550170046234997,0.739994388838185
0.55,2.23,3,1,0,3.24590109972352,0.217784787936384,0,0.176931923833306,0.348470213629628,0.474597862537066,0.0423253337407435,0.16944322110767,0.333721095539046,0.115936307602662,0.454510349612541,0,0.347404791463346,0.549995937734081
0.45,2.42,3,1,0,3.24590109972352,0.270102857631599,0,0.144098587640894,0.383451553908284,0.472449858450821,0.0379712439688407,0.138626985014016,0.368891421404602,0.0987885637730031,0.454510349612541,0,0.267798484976563,0.449969483108352
0.3,2.44,3,1,0,3.24590109972352,0.350591009043154,0,0.0953412923960362,0.435776627865021,0.468882079738942,0.030651054385365,0.0924189812576343,0.42241961474446,0.0718286057013052,0.454510349612541,0,0.170040886346524,0.299982872899483
0.88,2.67,3,0,1,3.24590109972352,0,0.0528380065546364,0.287428382511851,0.177852570076096,0.481881040857417,0.0567996848271407,0.271102540974803,0.167750600150077,0.167750600150077,0.454510349612541,0.0498368244354387,1,0.879972035887954
0.73,2.79,3,0,1,3.24590109972352,0,0.132277500618417,0.237643719598729,0.149811022260761,0.480267757522093,0.0536313494006868,0.224898566240051,0.14177645498182,0.14177645498182,0.454510349612541,0.125183279764902,1,0.729998503484825
0.61,3.22,3,0,1,3.24590109972352,0,0.196097964338774,0.197940223946953,0.127240664625875,0.478721147088397,0.0505739042929427,0.187929614005336,0.120805607430916,0.120805607430916,0.454510349612541,0.186180524658264,1,0.610000940770537
0.4,5.39,3,0,1,3.24590109972352,0,0.308691616155862,0.128844407216866,0.0872757316645247,0.475188244962747,0.0435151659777011,0.123237721451526,0.0834779137153176,0.0834779137153176,0.454510349612541,0.295258849242915,1,0.400017455586929
0.24,7.13,3,0,1,3.24590109972352,0,0.396015817831636,0.0766635108167785,0.0560583232738403,0.471262348077745,0.0355470759196758,0.0739383471775056,0.0540656138004954,0.0540656138004954,0.454510349612541,0.381938613489782,1,0.239996562415205
1.12,3.11,2,0,1,5.26677375743547,0,0.0675289774957325,0.227726406565402,0.218036007187182,0.486708608751684,0.0661551050467856,0.212661142217141,0.203611812227732,0.203611812227732,0.454510349612541,0.0630615908958003,1,1.12003812305549
0.95,3.23,2,0,1,5.26677375743547,0,0.135343581562619,0.192439384596189,0.187308445445555,0.484908588395638,0.0626885963881817,0.180375629686048,0.175566341908921,0.175566341908921,0.454510349612541,0.126859082404309,1,0.949997632911378
0.84,3.52,2,0,1,5.26677375743547,0,0.179391998241565,0.169690284545308,0.167340573623969,0.483577143589158,0.0601078739182763,0.159490562316702,0.157282087523168,0.157282087523168,0.454510349612541,0.168609126629313,1,0.840000708168233
0.65,4.24,2,0,1,5.26677375743547,0,0.255948503701454,0.130570535526094,0.132616434890783,0.480864525881668,0.054805823367417,0.123414509819062,0.125348281984543,0.125348281984543,0.454510349612541,0.241921035216438,1,0.649996301601798
0.52,6.05,2,0,1,5.26677375743547,0,0.308836678132698,0.103957077996022,0.108607545891112,0.478598697980169,0.0503309943576697,0.0987248148899639,0.103141220111666,0.103141220111666,0.454510349612541,0.29329262102816,1,0.519961264270137
0.42,7.61,2,0,1,5.26677375743547,0,0.349903973960842,0.0836132184020448,0.0899365957508012,0.476546211886312,0.0462407668430453,0.0797468790649193,0.0857778585960312,0.0857778585960312,0.454510349612541,0.333724145883463,1,0.420008769896497
1.71,8.69542953702427,7,0,0,9.96400275668993,0,0,0.187125914860842,0.317291899616557,0.495582185522601,0.082875932811727,0.171617680113502,0.29099603746223,0.29099603746223,0.454510349612541,0,1,1.70999903774767
1.63,7.67243782678612,7,1,0,9.96400275668993,0.0217116852831284,0,0.177863436409759,0.327958340299835,0.494178223290406,0.0802703798110382,0.163586270814651,0.30163299976177,0.279921314478641,0.454510349612541,0,0.928019529360924,1.62997405335381
0.98,6.11237546867294,7,1,0,9.96400275668993,0.203562331312746,0,0.104476129159928,0.412726736664698,0.482797134175374,0.0585893795975966,0.0983549375696893,0.388545333220173,0.184983001907427,0.454510349612541,0,0.47609116901323,0.980008869078451
0.96,5.16610813670265,7,1,0,9.96400275668993,0.209345357089142,0,0.102270086335203,0.415292732625099,0.482437181039698,0.0578869799524412,0.0963499798977827,0.391252690537235,0.181907333448093,0.454510349612541,0,0.464935674175973,0.960031465308526
0.78,4.83363583087525,7,1,0,9.96400275668993,0.262172160544558,0,0.0825217509342441,0.438351519968717,0.479126729097039,0.0513775959251736,0.0782819817597067,0.415830072702579,0.153657912158021,0.454510349612541,0,0.369520922715766,0.780001882052868
0.55,7.28881593544681,7,1,0,9.96400275668993,0.332021606483349,0,0.0576399949082826,0.467766823727467,0.47459318136425,0.0423158876703197,0.0552009073584259,0.447972855358713,0.115951248875364,0.454510349612541,0,0.258835434978569,0.550021993091141
0.38,8.33738243844091,7,1,0,9.96400275668993,0.386211758755427,0,0.0395109142290206,0.489635468181319,0.47085361758966,0.0347098702581535,0.0381394955223503,0.472640284606955,0.0864285258515285,0.454510349612541,0,0.182863223187592,0.380022038523462
0.21,8.9511774645838,7,1,0,9.96400275668993,0.444330148062314,0,0.0216273552086995,0.511979073603632,0.466393571187669,0.0254789566349882,0.0210763127632076,0.498934380989263,0.054604232926949,0.454510349612541,0,0.109441712192057,0.21000443847346
1.51,3.63162057134543,8,0,0,7.32835096938958,0,0,0.223081969587488,0.284836227908738,0.492081802503774,0.0763520469565526,0.206049204570384,0.263088398860523,0.263088398860523,0.454510349612541,0,1,1.51000088805532
1.34,3.58047098583352,8,1,0,7.32835096938958,0.0531404171673938,0,0.196778492887756,0.314095634117631,0.489125872994613,0.0707701744954573,0.182852444609136,0.291867031282865,0.238726614115472,0.454510349612541,0,0.817929360045149,1.34000688970662
1.17,3.40144743654185,8,1,0,7.32835096938958,0.106988421122367,0,0.170776287179224,0.3430646216696,0.486159091151176,0.0650995571505078,0.159658826512049,0.320731266724902,0.213742845602536,0.454510349612541,0,0.666423475905975,1.17003591604118
0.86,3.17127430173826,8,1,0,7.32835096938958,0.207488418302105,0,0.124093020074555,0.395290855762413,0.480616124163032,0.054317309049822,0.117352621152239,0.373819720185398,0.166331301883292,0.454510349612541,0,0.444950581528443,0.860001194981421
0.69,3.35029785102994,8,1,0,7.32835096938958,0.264231268691138,0,0.0988988726909376,0.423694658075754,0.477406469233309,0.0479593828243215,0.0941557437946591,0.403374523768478,0.139143255077341,0.454510349612541,0,0.344948049215929,0.690006336311187
