growth_rate_per_hr,estim_ribosomal_fraction,estim_useless_fraction,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
1.58,0.336,0,1,0,0,10.1979403417969,0,0,0.169507912383649,0.320655811863619,0.509836275752732,0.0859810841980818,0.154933438296749,0.293085477505169,0.293085477505169,0.466,0,1,1.58000196069971
1.18,0.36,0,1,1,0,10.1979403417969,0.115474099132311,0,0.124582393805419,0.373666656978337,0.501750949216244,0.0712523798352324,0.115705601761213,0.347042018403555,0.231567919271244,0.466,0,0.667261907755411,1.17995882397255
0.9,0.42,0,1,2,0,10.1979403417969,0.199239031215955,0,0.093942156627332,0.410023538584822,0.496034304787846,0.0605488461139632,0.0882540674420899,0.385197086443947,0.185958055227992,0.466,0,0.482760804202117,0.90000971469535
0.32,0.499,0,1,3,0,10.1979403417969,0.386761296660637,0,0.0324960010869725,0.48496737510138,0.482536623811648,0.0342701942103827,0.0313823568186611,0.468347448970956,0.0815861523103195,0.466,0,0.174200057008059,0.320035402621689
0.13,0.555,0,1,4,0,10.1979403417969,0.458511163424703,0,0.0130263966319605,0.510743843890214,0.476229759477826,0.0214807228532772,0.0127465802161325,0.49977269693059,0.0412615335058877,0.466,0,0.0825605995671633,0.129988864606047
1.31,0.301,0,2,0,0,6.36180625244141,0,0,0.222870751279205,0.27276022295688,0.504369025763915,0.0760733189469787,0.205916233533189,0.252010447519832,0.252010447519832,0.466,0,1,1.30999918197063
0.91,0.343,0,2,1,0,6.36180625244141,0.142385822705607,0,0.152326538489652,0.351429631702009,0.496243829808338,0.0609455029798947,0.143042920984214,0.330011576035891,0.187625753330285,0.466,0,0.568542945020446,0.910011349084856
0.47,0.444,0,2,2,0,6.36180625244141,0.307688584568014,0,0.0771153568815618,0.436426252294134,0.486458390824304,0.0420557877306567,0.073872209801777,0.418072002467566,0.110383417899552,0.466,0,0.264029682083567,0.469960686198608
0.2,0.518,0,2,3,0,6.36180625244141,0.418869587683379,0,0.0323068836702104,0.488847918985336,0.478845197344454,0.0268253653073887,0.0314402397138137,0.475734394978797,0.0568648072954189,0.466,0,0.119530578187338,0.200016713589597
0.11,0.567,0,2,4,0,6.36180625244141,0.460464016076684,0,0.0176348057895938,0.506978035526715,0.475387158683691,0.019746344662913,0.0172865828364089,0.496967072500678,0.0365030564239941,0.466,0,0.0734516599667562,0.109973890772013
1,0.207,0,3,0,0,3.74471350097656,0,0,0.285439350639508,0.216457955952341,0.49810269340815,0.0644499494441503,0.267042798921421,0.202507251634429,0.202507251634429,0.466,0,1,0.999998774459613
0.87,0.245,0,3,1,0,3.74471350097656,0.0613852476602919,0,0.246990725334343,0.257599077622516,0.495410197043141,0.0593653445542213,0.232328035823173,0.242306619622606,0.180921371962314,0.466,0,0.746662935763374,0.8700019324024
0.67,0.269,0,3,2,0,3.74471350097656,0.157402801529007,0,0.18856318301524,0.32031834707488,0.491118469909881,0.0511454393366426,0.178919036177209,0.303935524486148,0.146532722957141,0.466,0,0.482117788649018,0.67000053035451
