growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,estim_useless_fraction,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
1.58,0.442105263,0.336,0.210526316,0,1,0,0,9.61721622106899,0,0,0.191178876848878,0.282583473709433,0.526237649441689,0.140655247661775,0.164288564577999,0.242836625229708,0.242836625229708,0.452219562530518,0,1,1.57999864819567
1.18,0.473684211,0.36,0.22556391,0,1,1,0,9.61721622106899,0.106096600920146,0,0.139209370394064,0.347709653212549,0.513080976393387,0.118619509713036,0.12269642313046,0.306464504625986,0.20036790370584,0.452219562530518,0,0.653804602756107,1.1799980307974
0.9,0.552631579,0.42,0.263157895,0,1,2,0,9.61721622106899,0.184888123388915,0,0.104199927591812,0.392273379669861,0.503526692738326,0.101895551810342,0.0935824184712469,0.352302467187893,0.167414343798978,0.452219562530518,0,0.475200600027848,0.900002352928542
0.32,0.656578947,0.499,0.312656641,0,1,3,0,9.61721622106899,0.370672942848102,0,0.0353553909135861,0.484161156707195,0.480483452379219,0.0588238569065091,0.0332756504576116,0.455680930105361,0.0850079872572589,0.452219562530518,0,0.186551557550595,0.320019125347564
0.13,0.730263158,0.555,0.347744361,0,1,4,0,9.61721622106899,0.448809522098244,0,0.0140380779019092,0.516314969586139,0.469646952511951,0.0371074269474579,0.0135171609516814,0.497155849570343,0.0483463274720981,0.452219562530518,0,0.0972458184166605,0.129997459567311
1.31,0.396052632,0.301,0.188596491,0,2,0,0,6.32511074122914,0,0,0.236955142071685,0.245661034958494,0.517383822969821,0.125949551466946,0.20711074820997,0.214720137792566,0.214720137792566,0.452219562530518,0,1,1.30999841812688
0.91,0.451315789,0.343,0.21491228,0,2,1,0,6.32511074122914,0.132737371988027,0,0.160310355726507,0.335807134213707,0.503882510059786,0.102529749490884,0.143873775113074,0.301376912865524,0.168639540877497,0.452219562530518,0,0.559563568669061,0.910017560348888
0.47,0.584210526,0.444,0.278195489,0,2,2,0,6.32511074122914,0.292551353796196,0,0.0800660367710559,0.432682053499034,0.48725190972991,0.0718978140461497,0.0743094637478783,0.401573159675454,0.109021805879258,0.452219562530518,0,0.271486784543489,0.470015587326682
0.2,0.681578947,0.518,0.324561403,0,2,3,0,6.32511074122914,0.406862807048756,0,0.0331501666422994,0.492724255443862,0.474125577913838,0.0462029816651257,0.0316185301007294,0.469958925703627,0.0630961186548707,0.452219562530518,0,0.13425879412845,0.199990704362
0.11,0.746052632,0.567,0.355263158,0,2,4,0,6.32511074122914,0.452610068373001,0,0.0180059055671192,0.513805502464047,0.468188591968834,0.0341081130814454,0.0173917581039021,0.496280566284134,0.043670497911133,0.452219562530518,0,0.0879955833010202,0.11000479599185
1,0.272368421,0.207,0.129699248,0,3,0,0,3.84314960640375,0,0,0.291722709063954,0.201276713890005,0.50700057704604,0.108049215317851,0.260202299259196,0.179528922892435,0.179528922892435,0.452219562530518,0,1,0.99999636398333
0.87,0.322368421,0.245,0.153508772,0,3,1,0,3.84314960640375,0.0577024152242014,0,0.251535745069374,0.245990800898359,0.502473454032268,0.100013027749964,0.226378893617643,0.221388516101875,0.163686100877674,0.452219562530518,0,0.73936129913058,0.870007955904758
0.67,0.353947368,0.269,0.168546366,0,3,2,0,3.84314960640375,0.14899373001047,0,0.190910811511575,0.313890615819412,0.495198572669013,0.0867914661119631,0.174341382283861,0.286647589073658,0.137653859063188,0.452219562530518,0,0.480219838959874,0.670020014704104
0.45,0.448684211,0.341,0.213659148,0,3,3,0,3.84314960640375,0.254445890219596,0,0.125942862466665,0.387656459712907,0.486400677820428,0.0702735765975412,0.117092407074201,0.36041445379774,0.105968563578144,0.452219562530518,0,0.294018629002078,0.450003638160081
0.28,0.547368421,0.416,0.260651629,0,3,4,0,3.84314960640375,0.34198700823831,0,0.0770836069528449,0.444423379284959,0.478493013762196,0.0549087457413453,0.0728510427778453,0.420020648950291,0.0780336407119811,0.452219562530518,0,0.185785248670515,0.279977456377779
