growth_rate_per_hr,avg_cell_length_um,avg_cell_width_um,estim_avg_cell_volume_um3,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
0.42,2.37,0.91,1.36,6,0,0,1.06752504638671,0,0,0.409643435366717,0.105153255005741,0.485203309627542,0.0395778619941458,0.393430624014965,0.100991513990889,0.100991513990889,0.466,0,1,0.419997045151529
0.47,2.51,0.98,1.67,5,0,0,1.23181167480468,0,0,0.398306448190867,0.115230400730372,0.486463151078761,0.0420651616332757,0.381551623068142,0.110383215298582,0.110383215298582,0.466,0,1,0.469999743836013
0.7,2.84,0.92,1.7,4,0,0,2.122580234375,0,0,0.348027670716975,0.160199285862825,0.4917730434202,0.0524084102718449,0.329788093764086,0.151803495964069,0.151803495964069,0.466,0,1,0.700001689355856
0.98,2.95,1.07,2.32,3,0,0,3.61490678222656,0,0,0.28953869442723,0.212767079655133,0.497694225917636,0.0636821250220441,0.271100255089996,0.19921761988796,0.19921761988796,0.466,0,1,0.980002150788177
1.29,3.29,1.21,3.33,2,0,0,6.14959330078125,0,0,0.226860260879602,0.26917311919939,0.503966619921008,0.0753355845808968,0.209769610508062,0.248894804911041,0.248894804911041,0.466,0,1,1.28999779148787
1.83,4.94,1.36,6.6,1,0,0,16.750625571289,0,0,0.120742333874087,0.364235979368403,0.51502168675751,0.0951837330698477,0.109249627796386,0.329566639133767,0.329566639133767,0.466,0,1,1.82999960901995
0.74,2.72,1.11,2.28,3,1,0,3.61490678222656,0.116457708064243,0,0.216409334797417,0.290947308769318,0.492643356433264,0.0540824433849308,0.204705389200265,0.275212167414804,0.158754459350561,0.466,0,0.576843897716498,0.739990899778367
0.55,2.74,1.09,2.23,3,1,0,3.61490678222656,0.21092396583752,0,0.159453159253635,0.352168231212823,0.488378609533542,0.0458222557186041,0.152146655815175,0.336031088466221,0.1251071226287,0.466,0,0.372308178983494,0.549995977999367
0.45,2.88,1.11,2.42,3,1,0,3.61490678222656,0.261772306246475,0,0.129826593203794,0.384202786015484,0.485970620780723,0.0410942965001451,0.124491460689073,0.368414242810782,0.106641936564307,0.466,0,0.289462035318429,0.450025025574222
0.3,3,1.08,2.44,3,1,0,3.61490678222656,0.340307725965831,0,0.0858262999990878,0.432217954639286,0.481955745361626,0.0331062457812475,0.082984913416823,0.41790884080193,0.0776011148360984,0.466,0,0.185689095945395,0.299982726332957
0.88,3.15,1.1,2.67,3,0,1,3.61490678222656,0,0.0513044901771318,0.259433454120847,0.192649605107825,0.496612450594197,0.0616425354571129,0.243441318226442,0.180774194994167,0.180774194994167,0.466,0.0481419513222788,1,0.880017672330938
0.73,3.15,1.13,2.79,3,0,1,3.61490678222656,0,0.128539559886935,0.214391681717889,0.162336644413846,0.494732113981331,0.0580761045611338,0.201940647993404,0.152908764478764,0.152908764478764,0.466,0.121074482966699,1,0.729996618038581
0.61,3.47,1.15,3.22,3,0,1,3.61490678222656,0,0.190618868217753,0.178500294418013,0.137942345767273,0.492938491596961,0.0546487889588196,0.168745469499276,0.130403963624953,0.130403963624953,0.466,0.180201777916952,1,0.609999142162936
0.4,4.89,1.23,5.39,3,0,1,3.61490678222656,0,0.300312481964195,0.116086847998349,0.0947147722154225,0.488885897822033,0.046812350129118,0.110652549824464,0.0902809511360744,0.0902809511360744,0.466,0.286254148910343,1,0.399998652831119
0.24,5.92,1.27,7.13,3,0,1,3.61490678222656,0,0.385615455465326,0.0690195176190701,0.0609181494666285,0.484446877448975,0.0380782255138341,0.0663913768623152,0.0585984944333528,0.0585984944333528,0.466,0.370931903190498,1,0.239998638500943
1.12,3.11,1.21,3.11,2,0,1,6.14959330078125,0,0.0654900097683007,0.196243560804357,0.236146596016021,0.502119833411321,0.0719346877137456,0.182126841542062,0.219159464376944,0.219159464376944,0.466,0.0607790063672479,1,1.12000600463951
0.95,3.13,1.22,3.23,2,0,1,6.14959330078125,0,0.131290127934936,0.165750090902943,0.202965275282493,0.499994505879628,0.0679897588470947,0.154480782193568,0.189165715161702,0.189165715161702,0.466,0.122363743797636,1,0.949993983277011
0.84,3.27,1.24,3.52,2,0,1,6.14959330078125,0,0.174071945079423,0.146105659161215,0.181375381744133,0.498447014015229,0.065096215049725,0.136594733752475,0.169568530889391,0.169568530889391,0.466,0.162740520308409,1,0.840002059606219
0.65,3.51,1.32,4.24,2,0,1,6.14959330078125,0,0.2485223551961,0.112343178123904,0.143832349493959,0.495302117186037,0.0591600887000273,0.105696945741251,0.135323214939963,0.135323214939963,0.466,0.233819750618759,1,0.649993229443434
0.52,4.66,1.34,6.05,2,0,1,6.14959330078125,0,0.300028136411139,0.0894040798076901,0.11786063833514,0.492707145446031,0.054204907911076,0.0845579398948398,0.111472013287843,0.111472013287843,0.466,0.283765138906241,1,0.519996940705171
0.42,5.76,1.36,7.61,2,0,1,6.14959330078125,0,0.340115690019265,0.0718705708512471,0.0976486884532538,0.490365050676234,0.0496875759041828,0.0682994964067988,0.0927967618337888,0.0927967618337888,0.466,0.32321616585523,1,0.420014125549983
