RA,E,Q,U,X,A,RI,size,t
100,10,0,0,0,0,0,110,0
100,10,0,0,0,0,0,110,0.005
100,10,0,0,0,0,0,110,0.01
100,10,0,0,0,0,0,110,0.015
100,10,0,0,0,1,0,111,0.02
100,10,1,0,0,1,0,112,0.025
100,11,1,0,0,0,0,112,0.03
100,11,1,0,0,0,0,112,0.035
100,11,1,0,0,0,0,112,0.04
100,11,1,0,0,0,0,112,0.045
100,11,1,0,0,0,0,112,0.05
100,11,1,0,0,0,0,112,0.055
100,11,1,0,0,0,0,112,0.06
100,11,1,0,0,0,0,112,0.065
100,11,1,0,0,0,0,112,0.07
100,11,1,0,0,0,0,112,0.075
100,11,1,0,0,0,0,112,0.08
100,11,1,0,0,0,0,112,0.085
100,11,1,0,0,0,0,112,0.09
100,11,1,0,0,2,0,114,0.095
101,11,1,0,0,1,0,114,0.1
101,11,1,0,0,1,0,114,0.105
101,12,1,0,0,1,0,115,0.11
101,12,2,0,0,0,0,115,0.115
101,12,2,0,0,0,0,115,0.12
101,12,2,0,0,0,0,115,0.125
101,12,2,0,0,0,0,115,0.13
101,12,2,0,0,1,0,116,0.135
101,12,2,0,0,1,0,116,0.14
101,12,2,0,0,2,0,117,0.145
101,12,2,0,0,2,0,117,0.15
101,13,2,0,0,1,0,117,0.155
101,13,3,0,0,0,0,117,0.16
101,13,3,0,0,0,0,117,0.165
101,13,3,0,0,1,0,118,0.17
101,13,3,0,0,1,0,118,0.175
101,14,3,0,0,0,0,118,0.18
101,14,3,0,0,0,0,118,0.185
101,14,3,0,0,0,0,118,0.19
101,14,3,0,0,0,0,118,0.195
101,15,3,0,0,0,0,119,0.2
101,15,3,0,0,0,0,119,0.205
101,15,3,0,0,0,0,119,0.21
101,15,3,0,0,0,0,119,0.215
101,15,3,0,0,0,0,119,0.22
101,15,3,0,0,0,0,119,0.225
101,15,3,0,0,0,0,119,0.23
101,15,3,0,0,1,0,120,0.235
101,16,3,0,0,0,0,120,0.24
101,16,3,0,0,0,0,120,0.245
101,16,3,0,0,1,0,121,0.25
101,16,3,0,0,2,0,122,0.255
102,16,3,0,1,0,0,122,0.26
102,16,3,0,1,0,0,122,0.265
102,16,3,0,1,0,0,122,0.27
