growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type
0.42,1.36,6,0,0
0.47,1.67,5,0,0
0.7,1.7,4,0,0
0.98,2.32,3,0,0
1.29,3.33,2,0,0
1.83,6.6,1,0,0
0.74,2.28,3,1,0
0.55,2.23,3,1,0
0.45,2.42,3,1,0
0.3,2.44,3,1,0
0.88,2.67,3,0,1
0.73,2.79,3,0,1
0.61,3.22,3,0,1
0.4,5.39,3,0,1
0.24,7.13,3,0,1
1.12,3.11,2,0,1
0.95,3.23,2,0,1
0.84,3.52,2,0,1
0.65,4.24,2,0,1
0.52,6.05,2,0,1
0.42,7.61,2,0,1
1.71,8.70320312500001,7,0,0
1.63,7.67929687500001,7,1,0
0.98,6.11783984375001,7,1,0
0.96,5.1707265625,7,1,0
0.78,4.83795703125,7,1,0
0.55,7.29533203125001,7,1,0
0.38,8.34483593750001,7,1,0
0.21,8.95917968750001,7,1,0
1.51,3.6348671875,8,0,0
1.34,3.583671875,8,1,0
1.17,3.40448828125,8,1,0
0.86,3.174109375,8,1,0
0.69,3.35329296875,8,1,0
0.54,3.07171875,8,1,0
0.51,3.30209765625,8,1,0
0.31,3.0205234375,8,1,0
1.03,2.66215625,9,0,0
0.87,2.38058203125,9,1,0
0.75,2.27819140625,9,1,0
0.67,2.0990078125,9,1,0
0.54,2.0478125,9,1,0
0.46,2.02221484375,9,1,0
0.34,2.150203125,9,1,0
0.25,2.25259375,9,1,0
0.65,1.56145703125,10,0,0
0.59,1.51026171875,10,1,0
0.46,1.51026171875,10,1,0
0.43,1.63825,10,1,0
0.34,1.740640625,10,1,0
0.31,1.84303125,10,1,0
0.27,1.84303125,10,1,0
0.24,1.8942265625,10,1,0
0.36,1.15189453125,11,0,0
0.32,1.10069921875,11,1,0
0.28,1.02390625,11,1,0
0.23,0.972710937500001,11,1,0
0.21,0.998308593750001,11,1,0
