t,A,E,RA,RI,R,Q,U,X,M_or_V,total_prot,a,e,r,q,x
0,0,1,1,0,1,1,0,0,3,3,0,0.333333333333333,0.333333333333333,0.333333333333333,0
0,0,1,1,0,1,1,0,0,3,3,0,0.333333333333333,0.333333333333333,0.333333333333333,0
1.00475457260383e-06,3.54632445070348e-06,1.00000000022959,0.999949763660464,5.02363395401085e-05,1,1.00000000018368,0,4.59190859495636e-11,3.00000354678364,3.00000000045919,1.18210675267553e-06,0.333332939323258,0.333332939246729,0.333332939307953,1.53063438870912e-11
2.00950914520766e-06,7.09173091582548e-06,1.00000000091816,0.999899530099026,0.000100469901002474,1.00000000000003,1.00000000073455,0,1.83636892881693e-10,3.00000709356728,3.00000000183637,2.36390471576944e-06,0.333332545467105,0.333332545161064,0.333332545405903,6.12121528897225e-11
3.0142637178115e-06,1.06362199883445e-05,1.00000000206537,0.999849299315557,0.000150700684540727,1.0000000000001,1.00000000165238,0,4.13094285681004e-10,3.00001064035093,3.00000000413094,3.54539408803572e-06,0.333332151764767,0.333332151076345,0.333332151627102,1.37697606843381e-10
4.01901829041533e-06,1.41797922606877e-05,1.00000000367093,0.999799071309923,0.00020092869030849,1.00000000000023,1.00000000293693,0,7.34232184244726e-10,3.00001418713458,3.00000000734232,4.72657506804368e-06,0.333331758216138,0.333331756992578,0.333331757971473,2.44742904014736e-10
9.04279115343449e-06,3.18839223164035e-05,1.0000000185627,0.999547972944665,0.00045202705796621,1.00000000000263,1.00000001485226,0,3.71306528365659e-09,3.00003192105297,3.00000003713065,1.06278610212963e-05,0.333329792774908,0.333329786588286,0.33332979153811,1.23767525858637e-09
1.40665640164536e-05,4.95652209157071e-05,1.00000004486552,0.999296944005485,0.000703056004400765,1.00000000000989,1.00000003590032,0,8.97508055712846e-09,3.00004965497172,3.00000008975081,1.65214668475793e-05,0.333327831160495,0.333327816208866,0.333327828172147,2.99164400237671e-09
1.90903368794728e-05,6.72237614963208e-05,1.0000000825401,0.999045984475864,0.000954015548806609,1.00000000002467,1.00000006605182,0,1.65129544338751e-08,3.00006738889104,3.00000016512954,2.24074171617757e-05,0.333325873359714,0.333325845855188,0.333325867863742,5.50419450410381e-09
2.4114109742492e-05,8.48596171567535e-05,1.00000013154735,0.998795094339264,0.00120490571037356,1.00000000004964,1.00000010527759,0,2.63193971949622e-08,3.00008512281113,3.00000026319397,2.82857364651169e-05,0.333323919359439,0.333323875528112,0.333323910603101,8.77288347415306e-09
4.92329740575878e-05,0.000172701157150889,1.00000054521754,0.997541683971989,0.00245831644694443,1.00000000041893,1.00000043650918,0,1.09127294689489e-07,3.0001737924301,3.00000109127295,5.75637176708365e-05,0.333314205910569,0.333314024321554,0.333314169676548,3.63736577410396e-08
