sigma,delta,q,cost_best
6.288,0.0104,0.4743,0.00111838297293405
6.3381,0.1522,0.4347,0.00107863849568699
6.27979201381158,0.0513856110622211,0.462496373978779,0.00110581085305101
6.3381,0.1522,0.4347,0.00107877599241901
6.1338,0.2573,0.4076,0.00105571288794769
6.2297,0.4296,0.3591,0.00101525389849373
