growth_rate_per_hr,avg_birth_volume_um3,avg_cell_volume_um3,nutrient_type,cm_type,useless_type,cm_uM,source
0.801,0.426,0.62,16,0,0,0,Taheri-Araghi 2015
0.814,0.469,0.659,17,0,0,0,Taheri-Araghi 2015
1.093,0.595,0.876,18,0,0,0,Taheri-Araghi 2015
1.37,0.8,1.179,19,0,0,0,Taheri-Araghi 2015
1.548,1.046,1.522,20,0,0,0,Taheri-Araghi 2015
1.838,1.657,2.409,21,0,0,0,Taheri-Araghi 2015
2.419,2.746,3.992,22,0,0,0,Taheri-Araghi 2015
