growth_rate_per_hr,avg_cell_length_um,avg_cell_width_um,estim_avg_cell_volume_um3,nutrient_type,cm_type,useless_type,model_kn,model_kt,model_fU,model_fE,model_fR,model_active_R_frac,model_growth_rate
0.42,2.37,0.91,1.36,6,0,0,0.772993124761211,4.5,0,0.41294573091229,0.13705426908771,0.517563367853316,0.420005540650913
0.47,2.51,0.98,1.67,5,0,0,0.883082999538653,4.5,0,0.404500543682238,0.145499456317762,0.545565312246954,0.470009938723588
0.7,2.84,0.92,1.7,4,0,0,1.45487171740848,4.5,0,0.365660269999505,0.184339730000495,0.641314436123876,0.699985243423984
0.98,2.95,1.07,2.32,3,0,0,2.33949694030309,4.5,0,0.318365520009065,0.231634479990935,0.714550269016135,0.980019947314749
1.29,3.29,1.21,3.33,2,0,0,3.68544234872303,4.5,0,0.266016167145774,0.283983832854226,0.767169844369484,1.28998322084739
1.83,4.94,1.36,6.6,1,0,0,7.95585616181399,4.5,0,0.174814157430258,0.375185842569742,0.823767337415699,1.82999512047874
0.74,2.72,1.11,2.28,3,1,0,2.33949694030309,2.30978323855356,0,0.240393753543619,0.309606246456382,0.78643841732271,0.740000593267462
0.55,2.74,1.09,2.23,3,1,0,2.33949694030309,1.36956461765411,0,0.178671859939542,0.371328140060458,0.821936468404375,0.550002986377398
0.45,2.88,1.11,2.42,3,1,0,2.33949694030309,1.01278021566321,0,0.146188416993777,0.403811583006223,0.836260268940871,0.450009676664071
0.3,3,1.08,2.44,3,1,0,2.33949694030309,0.590044168066631,0,0.0974591451297186,0.452540854870282,0.853891644724645,0.300007068204647
0.88,3.15,1.1,2.67,3,0,1,2.33949694030309,4.5,0.0493831310447597,0.285874228377378,0.214742640577863,0.692096549515857,0.880002477105766
0.73,3.15,1.13,2.79,3,0,1,2.33949694030309,4.5,0.123445123841443,0.237145649288298,0.189409226870259,0.650914577433491,0.730002001205479
0.61,3.47,1.15,3.22,3,0,1,2.33949694030309,4.5,0.182690438826415,0.198165601521721,0.169143959651864,0.609090385869589,0.610010287412352
0.4,4.89,1.23,5.39,3,0,1,2.33949694030309,4.5,0.286382681692762,0.129942003065387,0.133675315241851,0.505368662266679,0.399998577089905
0.24,5.92,1.27,7.13,3,0,1,2.33949694030309,4.5,0.365388463745562,0.0779606918168081,0.10665084443763,0.380033038194392,0.239985263117546
1.12,3.11,1.21,3.11,2,0,1,3.68544234872303,4.5,0.0637638164496506,0.230961595651761,0.255274587898588,0.740984793886859,1.11999427045217
0.95,3.13,1.22,3.23,2,0,1,3.68544234872303,4.5,0.127530280647194,0.195905568541179,0.226564150811627,0.708162126430256,0.949998261384634
0.84,3.27,1.24,3.52,2,0,1,3.68544234872303,4.5,0.168796632693709,0.173219123960906,0.207984243345384,0.682091302030994,0.839985651387144
0.65,3.51,1.32,4.24,2,0,1,3.68544234872303,4.5,0.2400682588546,0.134037085402655,0.175894655742745,0.624093183952649,0.649981514266251
0.52,4.66,1.34,6.05,2,0,1,3.68544234872303,4.5,0.288833565839074,0.107228041727164,0.153938392433762,0.570477520554525,0.51997732362096
0.42,5.76,1.36,7.61,2,0,1,3.68544234872303,4.5,0.326334066564283,0.0866118983259747,0.137054035109742,0.517562544239896,0.420004155255053
