growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,model_kn,model_kt,model_fU,model_fE,model_fR,model_active_R_frac,model_growth_rate
0.42,1.36,6,0,0,0.772993124761211,4.5,0,0.41294573091229,0.13705426908771,0.517563367853316,0.420005540650913
0.47,1.67,5,0,0,0.883082999538653,4.5,0,0.404500543682238,0.145499456317762,0.545565312246954,0.470009938723588
0.7,1.7,4,0,0,1.45487171740848,4.5,0,0.365660269999505,0.184339730000495,0.641314436123876,0.699985243423984
0.98,2.32,3,0,0,2.33949694030309,4.5,0,0.318365520009065,0.231634479990935,0.714550269016135,0.980019947314749
1.29,3.33,2,0,0,3.68544234872303,4.5,0,0.266016167145774,0.283983832854226,0.767169844369484,1.28998322084739
1.83,6.6,1,0,0,7.95585616181399,4.5,0,0.174814157430258,0.375185842569742,0.823767337415699,1.82999512047874
0.74,2.28,3,1,0,2.33949694030309,2.30978323855356,0,0.240393753543619,0.309606246456382,0.78643841732271,0.740000593267462
0.55,2.23,3,1,0,2.33949694030309,1.36956461765411,0,0.178671859939542,0.371328140060458,0.821936468404375,0.550002986377398
0.45,2.42,3,1,0,2.33949694030309,1.01278021566321,0,0.146188416993777,0.403811583006223,0.836260268940871,0.450009676664071
0.3,2.44,3,1,0,2.33949694030309,0.590044168066631,0,0.0974591451297186,0.452540854870282,0.853891644724645,0.300007068204647
0.88,2.67,3,0,1,2.33949694030309,4.5,0.0493831310447597,0.285874228377378,0.214742640577863,0.692096549515857,0.880002477105766
0.73,2.79,3,0,1,2.33949694030309,4.5,0.123445123841443,0.237145649288298,0.189409226870259,0.650914577433491,0.730002001205479
0.61,3.22,3,0,1,2.33949694030309,4.5,0.182690438826415,0.198165601521721,0.169143959651864,0.609090385869589,0.610010287412352
0.4,5.39,3,0,1,2.33949694030309,4.5,0.286382681692762,0.129942003065387,0.133675315241851,0.505368662266679,0.399998577089905
0.24,7.13,3,0,1,2.33949694030309,4.5,0.365388463745562,0.0779606918168081,0.10665084443763,0.380033038194392,0.239985263117546
1.12,3.11,2,0,1,3.68544234872303,4.5,0.0637638164496506,0.230961595651761,0.255274587898588,0.740984793886859,1.11999427045217
0.95,3.23,2,0,1,3.68544234872303,4.5,0.127530280647194,0.195905568541179,0.226564150811627,0.708162126430256,0.949998261384634
0.84,3.52,2,0,1,3.68544234872303,4.5,0.168796632693709,0.173219123960906,0.207984243345384,0.682091302030994,0.839985651387144
0.65,4.24,2,0,1,3.68544234872303,4.5,0.2400682588546,0.134037085402655,0.175894655742745,0.624093183952649,0.649981514266251
0.52,6.05,2,0,1,3.68544234872303,4.5,0.288833565839074,0.107228041727164,0.153938392433762,0.570477520554525,0.51997732362096
0.42,7.61,2,0,1,3.68544234872303,4.5,0.326334066564283,0.0866118983259747,0.137054035109742,0.517562544239896,0.420004155255053
1.71,8.69542953702427,7,0,0,6.66187322446425,4.5,0,0.195080158698408,0.354919841301592,0.813704413488073,1.70999906033837
1.63,7.67243782678612,7,1,0,6.66187322446425,4.15818409431156,0,0.185956696926549,0.364043303073452,0.818373255484227,1.63002623705893
0.98,6.11237546867294,7,1,0,6.66187322446425,2.00174578719617,0,0.111801401955099,0.438198598044901,0.849109512684418,0.980008902818733
0.96,5.16610813670265,7,1,0,6.66187322446425,1.94888801408297,0,0.109517370895488,0.440482629104512,0.849891923923493,0.959987948397858
0.78,4.83363583087525,7,1,0,6.66187322446425,1.50114187731143,0,0.0889833624631478,0.461016637536852,0.856577844232976,0.779994578705319
0.55,7.28881593544681,7,1,0,6.66187322446425,0.992527644940756,0,0.0627435491069682,0.487256450893032,0.86430143740772,0.549986276057328
0.38,8.33738243844091,7,1,0,6.66187322446425,0.655573095737711,0,0.0433510128649373,0.506648987135063,0.869495446198585,0.379998620866225
0.21,8.9511774645838,7,1,0,6.66187322446425,0.347013495743676,0,0.0239571414153871,0.526042858584613,0.874306819452118,0.20999926174983
1.51,3.63162057134543,8,0,0,5.01448057728311,4.5,0,0.228857474910289,0.321142525089711,0.794110107400042,1.51000179329434
1.34,3.58047098583352,8,1,0,5.01448057728311,3.62686290076906,0,0.203089534038487,0.346910465961513,0.809403271196391,1.3399848998493
1.17,3.40144743654185,8,1,0,5.01448057728311,2.90066700337431,0,0.17732767902177,0.37267232097823,0.822578720559549,1.17000816088074
0.86,3.17127430173826,8,1,0,5.01448057728311,1.84881205104491,0,0.130346063282683,0.419653936717317,0.84244160672669,0.860023424547798
0.69,3.35029785102994,8,1,0,5.01448057728311,1.3824856231899,0,0.104574125043785,0.445425874956216,0.851557792850495,0.689980156471622
0.54,3.06897513071445,8,1,0,5.01448057728311,1.02084068140343,0,0.0818455833161388,0.468154416683861,0.858764549380189,0.540017220888401
0.51,3.29914826551803,8,1,0,5.01448057728311,0.953336525754847,0,0.0772980254115742,0.472701974588426,0.860123283687212,0.510012430379836
0.31,3.01782554520254,8,1,0,5.01448057728311,0.539272146272753,0,0.046984988192162,0.503015011807838,0.868552630740851,0.310006987780885
1.03,2.65977844661919,9,0,0,2.52574274933433,4.5,0,0.309925950563207,0.240074049436793,0.724584976364103,1.02999108219154
0.87,2.3784557263037,9,1,0,2.52574274933433,2.97707383184767,0,0.261783482059113,0.288216517940887,0.770589137387465,0.869997015403027
0.75,2.27615655527988,9,1,0,2.52574274933433,2.20758252038486,0,0.225677503466226,0.324322496533774,0.796128851045908,0.750004365878544
0.67,2.09713300598821,9,1,0,2.52574274933433,1.80388436457685,0,0.201602480621696,0.348397519378304,0.810216788804962,0.669994741681662
0.54,2.0459834204763,9,1,0,2.52574274933433,1.27695997228201,0,0.162488481646333,0.387511518353667,0.82937281379168,0.540005400484961
