growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,estim_useless_fraction,nutrient_type,cm_type,useless_type,model_kn,model_kt,model_fU,model_fE,model_fR,model_active_R_frac,model_growth_rate
1.58,0.442105263,0.336,0.210526316,0,1,0,0,5.5326544809123,4.5,0,0.217037276041225,0.332962723958775,0.801419212295408,1.5799898129138
1.18,0.473684211,0.36,0.22556391,0,1,1,0,5.5326544809123,2.78704150611955,0,0.162096505218847,0.387903494781153,0.829545232539595,1.18003152097273
0.9,0.552631579,0.42,0.263157895,0,1,2,0,5.5326544809123,1.89869399417083,0,0.123630328059552,0.426369671940448,0.844923303997956,0.900005116467552
0.32,0.656578947,0.499,0.312656641,0,1,3,0,5.5326544809123,0.552821765527546,0,0.0439570191503027,0.506042980849697,0.869339161885068,0.319998682854566
0.13,0.730263158,0.555,0.347744361,0,1,4,0,5.5326544809123,0.212008713511597,0,0.017857752982554,0.532142247017446,0.875747508545714,0.130001022444674
1.31,0.396052632,0.301,0.188596491,0,2,0,0,3.79085660226648,4.5,0,0.262633899542388,0.287366100457612,0.769910229861114,1.31000980534112
0.91,0.451315789,0.343,0.21491228,0,2,1,0,3.79085660226648,2.29437962571764,0,0.182442286823109,0.367557713176891,0.820109883075208,0.910016509915759
0.47,0.584210526,0.444,0.278195489,0,2,2,0,3.79085660226648,0.91674052555624,0,0.0942290500783181,0.455770949921682,0.854927129490456,0.470011600808804
0.2,0.681578947,0.518,0.324561403,0,2,3,0,3.79085660226648,0.342503209871831,0,0.0400958205250087,0.509904179474991,0.870328578071122,0.199996718369107
0.11,0.746052632,0.567,0.355263158,0,2,4,0,3.79085660226648,0.181021341113292,0,0.0220531969477805,0.527946803052219,0.874760109128912,0.110000667434969
1,0.272368421,0.207,0.129699248,0,3,0,0,2.41278398361682,4.5,0,0.314990314345211,0.235009685654789,0.718649893872353,1.00000471769283
0.87,0.322368421,0.245,0.153508772,0,3,1,0,2.41278398361682,3.15088090644061,0,0.274036679623374,0.275963320376626,0.760402940833726,0.869988567787907
0.67,0.353947368,0.269,0.168546366,0,3,2,0,2.41278398361682,1.86627425954478,0,0.211040078772404,0.338959921227596,0.80493269009346,0.669992265741167
0.45,0.448684211,0.341,0.213659148,0,3,3,0,2.41278398361682,0.999570023491446,0,0.141741431855987,0.408258568144013,0.8380438154658,0.449988758680317
0.28,0.547368421,0.416,0.260651629,0,3,4,0,2.41278398361682,0.537812401520024,0,0.0881979880943426,0.461802011905657,0.856821758469282,0.280003543501653
0.71,0.210526316,0.16,0.100250627,0,4,0,0,1.48259234313998,4.5,0,0.363965965773485,0.186034034226515,0.644581163468764,0.710017307920154
0.58,0.296052632,0.225,0.140977444,0,4,1,0,1.48259234313998,2.36270025410865,0,0.297315059919268,0.252684940080732,0.738330270182011,0.57999609386383
0.38,0.411842105,0.313,0.196115288,0,4,2,0,1.48259234313998,0.999000636844021,0,0.194792793199794,0.355207206800206,0.813855128121906,0.37999776802219
0.23,0.448684211,0.341,0.213659148,0,4,3,0,1.48259234313998,0.477639675433631,0,0.117904556174428,0.432095443825572,0.846978252270831,0.230005779217796
0.15,0.494736842,0.376,0.235588972,0,4,4,0,1.48259234313998,0.280103899954532,0,0.0768916798007447,0.473108320199255,0.860243421692198,0.149998704899678
0.57,0.213157895,0.162,0.10150376,0,5,0,0,1.11760734003705,4.5,0,0.387613421194661,0.162386578805339,0.592823492640599,0.569999479768453
0.5,0.284210526,0.216,0.135338346,0,5,1,0,1.11760734003705,2.64127793785146,0,0.340010794180315,0.209989205819685,0.685126672383454,0.499998104299665
0.4,0.352631579,0.268,0.1679198,0,5,2,0,1.11760734003705,1.43479265137183,0,0.272005747720826,0.277994252279174,0.762153355841331,0.399994237085605
0.3,0.373684211,0.284,0.177944862,0,5,3,0,1.11760734003705,0.814641825187372,0,0.204005204642375,0.345994795357625,0.808898859499729,0.299996992255366
0.24,0.467105263,0.355,0.222431078,0,5,4,0,1.11760734003705,0.568813382556233,0,0.16320803928931,0.38679196071069,0.829055392261744,0.240003292977352
0.4,0.167105263,0.127,0.079573935,0,6,0,0,0.730225333826327,4.5,0,0.416322406974962,0.133677593025038,0.505377090477568,0.400012063964042
0.34,0.276315789,0.21,0.131578947,0,6,1,0,0.730225333826327,1.98741247490334,0,0.353862146481452,0.196137853518549,0.66289016212902,0.339998821109104
0.25,0.356578947,0.271,0.169799499,0,6,2,0,0.730225333826327,0.849405223913933,0,0.260193877444005,0.289806122555995,0.771847470243751,0.250000211863309
0.19,0.394736842,0.3,0.187969925,0,6,3,0,0.730225333826327,0.504652094474717,0,0.197745176871834,0.352254823128166,0.812294976083429,0.189998076044449
0.12,0.598684211,0.455,0.28508772,0,6,4,0,0.730225333826327,0.254048957508409,0,0.124893244333822,0.425106755666178,0.84446259882089,0.120000277679366
1.744,NaN,NaN,NaN,0,19,0,0,7.00044398420146,4.5,0,0.189337038030119,0.360662961969882,0.816670944976264,1.74400438008482
