si_jun_excel_raw_number,growth_rate_per_hr,estim_SA_over_V,estim_aspect_ratio,estim_vol_um3,estim_C_plus_D_hrs,nutrient_type,cm_type,useless_type,model_kn,model_kt,model_fU,model_fE,model_fR,model_active_R_frac,model_growth_rate
202,1.71,4.306,4.0089,3.4,1.37,7,0,0,6.66187322446425,4.5,0,0.195080158698408,0.354919841301592,0.813704413488073,1.70999906033837
203,1.63,4.473,3.9774,3,1.35,7,1,0,6.66187322446425,4.15818409431156,0,0.185956696926549,0.364043303073452,0.818373255484227,1.63002623705893
204,0.98,4.87,4.1282,2.39,1.88,7,1,0,6.66187322446425,2.00174578719617,0,0.111801401955099,0.438198598044901,0.849109512684418,0.980008902818733
205,0.96,5.107,4.0063,2.02,2.05,7,1,0,6.66187322446425,1.94888801408297,0,0.109517370895488,0.440482629104512,0.849891923923493,0.959987948397858
206,0.78,5.111,3.6121,1.89,2.48,7,1,0,6.66187322446425,1.50114187731143,0,0.0889833624631478,0.461016637536852,0.856577844232976,0.779994578705319
207,0.55,4.619,4.2042,2.85,3.92,7,1,0,6.66187322446425,0.992527644940756,0,0.0627435491069682,0.487256450893032,0.86430143740772,0.549986276057328
208,0.38,4.273,3.609,3.26,6.12,7,1,0,6.66187322446425,0.655573095737711,0,0.0433510128649373,0.506648987135063,0.869495446198585,0.379998620866225
209,0.21,4.299,4.0165,3.5,11.44,7,1,0,6.66187322446425,0.347013495743676,0,0.0239571414153871,0.526042858584613,0.874306819452118,0.20999926174983
241,1.51,6.0025,4.6614,1.42,1.13,8,0,0,5.01448057728311,4.5,0,0.228857474910289,0.321142525089711,0.794110107400042,1.51000179329434
242,1.34,5.9997,4.6452,1.4,1.32,8,1,0,5.01448057728311,3.62686290076906,0,0.203089534038487,0.346910465961513,0.809403271196391,1.3399848998493
243,1.17,6.0251,4.4244,1.33,1.38,8,1,0,5.01448057728311,2.90066700337431,0,0.17732767902177,0.37267232097823,0.822578720559549,1.17000816088074
244,0.86,6.1566,4.3805,1.24,2,8,1,0,5.01448057728311,1.84881205104491,0,0.130346063282683,0.419653936717317,0.84244160672669,0.860023424547798
245,0.69,5.9842,4.2364,1.31,2.5,8,1,0,5.01448057728311,1.3824856231899,0,0.104574125043785,0.445425874956216,0.851557792850495,0.689980156471622
246,0.54,6.1404,4.1342,1.2,2.91,8,1,0,5.01448057728311,1.02084068140343,0,0.0818455833161388,0.468154416683861,0.858764549380189,0.540017220888401
247,0.51,5.9546,3.992,1.29,3.57,8,1,0,5.01448057728311,0.953336525754847,0,0.0772980254115742,0.472701974588426,0.860123283687212,0.510012430379836
248,0.31,6.0751,3.8593,1.18,5.76,8,1,0,5.01448057728311,0.539272146272753,0,0.046984988192162,0.503015011807838,0.868552630740851,0.310006987780885
300,1.03,6.2728,3.7971,1.04,1.1,9,0,0,2.52574274933433,4.5,0,0.309925950563207,0.240074049436793,0.724584976364103,1.02999108219154
301,0.87,6.5012,3.7134,0.93,1.16,9,1,0,2.52574274933433,2.97707383184767,0,0.261783482059113,0.288216517940887,0.770589137387465,0.869997015403027
