t,A,E,R,Q,U,X,M_or_V,a,e,r,q,x
0,1,1,1,1,0,1,5,0.2,0.2,0.2,0.2,0.2
0,1,1,1,1,0,1,5,0.2,0.2,0.2,0.2,0.2
0.0819143037761017,0.780701706056408,1.16366455461478,1.10323338753475,1.17860787311546,0,1.07088659442048,5.29709411574188,0.147383015857,0.219679795976554,0.208271434003064,0.22250083675366,0.202164917409722
0.146019889271189,0.620032612997057,1.29846294111781,1.18825909212748,1.32571396563338,0,1.12927063838867,5.56173925026441,0.11148178386241,0.233463469373557,0.213648831536105,0.238363200067382,0.203042715160547
0.210125474766275,0.476962591613634,1.43700484154461,1.27564606317895,1.47690537192688,0,1.18927607773881,5.85579494600288,0.0814513820944506,0.245398763924529,0.217843362846866,0.252212617679689,0.203093873454465
0.262081498728201,0.381081783931309,1.54987674665989,1.34684137574742,1.6000829955386,0,1.23816329695485,6.11604619883207,0.0623085195144669,0.253411549925155,0.220214388832547,0.26162048871445,0.202445053013382
0.304231843126512,0.320565158642162,1.64053410827787,1.40402459765413,1.69901778676322,0,1.27742892560292,6.3415705769403,0.0505498054074846,0.258695237776474,0.221400137492683,0.267917508155049,0.201437311168309
0.340967788554752,0.28178797804013,1.71841016879045,1.45314586006638,1.78400428593635,0,1.31115870129983,6.54850699413314,0.0430308737995678,0.262412511787799,0.221904910748093,0.272429164011683,0.200222539652857
0.375295315422064,0.257004179047302,1.79028287517023,1.49848043460771,1.8624392974287,0,1.34228829682596,6.7504950830799,0.0380719007842081,0.265207640793276,0.221980820097721,0.27589669713217,0.198842941192625
0.409239312120381,0.242075788618244,1.86088639764912,1.5430144561274,1.93948924275182,0,1.37286818184971,6.95833406699629,0.0347893312231762,0.267432747512856,0.221750557140679,0.27872896358209,0.197298400541199
0.444428335772514,0.234720597316463,1.93419634704171,1.58925558899663,2.01949272408192,0,1.40462027784844,7.18228553528516,0.0326804881486995,0.269300954068086,0.221274353572957,0.281176891974087,0.19556731223617
0.482474177480556,0.233716727322654,2.01435762341664,1.63981827881555,2.10697308972,0,1.43933982906725,7.4342055483421,0.0314380233103421,0.270958021044476,0.220577473699426,0.283416039013056,0.193610442932699
0.525267548127708,0.23859113568712,2.10653643246129,1.69796117199721,2.20756824344007,0,1.47926442890706,7.72992141249274,0.0308659199693182,0.272517186145877,0.219660858291916,0.285587411001656,0.191368624591233
0.5756478954654,0.249664494702223,2.21883792563579,1.76879669037065,2.33012337390679,0,1.52790459059746,8.09532707521292,0.0308405691805426,0.274088731069267,0.218496013062465,0.287835605931402,0.188739080756323
0.637423744272034,0.268225586059456,2.36338481799233,1.85997138235401,2.48786805521813,0,1.59051091948402,8.56996076110795,0.0312983447108315,0.275775453805786,0.217033827131964,0.290300985566764,0.185591388784655
0.716041617452996,0.297017648463993,2.55992913418528,1.98394407521651,2.7023577617496,0,1.67563843692713,9.21888705654251,0.0322183845666277,0.277683099758613,0.21520429343025,0.29313275509019,0.181761467154319
0.818369888812486,0.340957048002352,2.83953427196409,2.16030838093503,3.00749212080376,0,1.7967413602025,10.1450331819077,0.0336082733184552,0.279894034947861,0.212942465756311,0.29644970764287,0.177105518334503
0.949588089026025,0.407079763522537,3.24243183229815,2.41444086600883,3.4471760615666,0,1.97124485010411,11.4823733735002,0.0354525802533145,0.282383417332626,0.210273676658263,0.300214594094477,0.17167573166132
1.11003125994841,0.503945214300307,3.81268568578619,2.77413534713804,4.06949668654829,0,2.21823390478807,13.3784968385609,0.0376682986423246,0.284986103580551,0.20735777573622,0.304181907403735,0.165805914637169
1.30175344528605,0.64658569243242,4.62600299442415,3.28714502788858,4.95707356609527,0,2.57049890394722,16.0873061847876,0.0401922910526711,0.287556098037008,0.20433160096107,0.308135713285717,0.159784296663534
1.52647089362648,0.859047805348953,5.80132907847357,4.02849610061929,6.2397122693353,0,3.07955759187104,20.0081428456482,0.0429349096503376,0.289948403668828,0.201342829851672,0.311858642627217,0.153915214201945
1.7538312218838,1.13568668526124,7.29234547837801,4.96897263933496,7.86686525067749,0,3.72534846004057,24.9892185136923,0.0454470668876245,0.291819669125801,0.198844659212225,0.314810374976993,0.149078229797356
1.98317073885848,1.49331693600964,9.18258322589644,6.1612628475174,9.92969030491371,0,4.54405057225103,31.3109038865882,0.0476931915290154,0.29327110003457,0.196776907809312,0.317132023428011,0.145126777199091
2.21401101209991,1.95319293478828,11.5780676191198,7.67224345815689,12.5438933226573,0,5.58158573690054,39.3289830716229,0.0496629402095466,0.294390210853781,0.195078612741774,0.318947817689905,0.141920418504994
2.4459749631725,2.5420558037319,14.6129130798651,9.58650875706722,15.8558339824127,0,6.89604175831171,49.4933533813886,0.0513615592813682,0.295250009981342,0.193692851708693,0.320362895199886,0.139332683828712
2.67876083863322,3.29358832275371,18.456605450576,12.010963979205,20.0504729554212,0,8.56082655442237,62.3724572623783,0.0528051718228573,0.295909545024589,0.192568394871461,0.321463572792654,0.137253315488439
2.91213619908391,4.2503087051408,23.3234330435481,15.0807740559433,25.36166405195,0,10.6687529441988,78.684932800781,0.0540168054270564,0.296415491674876,0.19166025208569,0.322319193131449,0.135588257680929
3.14592795834232,5.46596672940291,29.4844304672616,18.9668973287932,32.0851885723191,0,13.3372117720308,99.3396948698077,0.0550229868993103,0.296804117487005,0.1909296918382,0.3229845694047,0.134258634370785
3.38001062847132,7.00856627303945,37.2824802041431,23.8856110502665,40.5952357301921,0,16.7147127235635,125.486605981205,0.0558511103096468,0.297103263831418,0.190343908527131,0.323502539675608,0.133199177656196
3.61429513667847,8.96417879343036,47.151409086,30.1105567150589,51.3652427217989,0,20.9891554125367,158.580542728825,0.0565276082372807,0.297334138694617,0.189875480288577,0.323906337044351,0.132356435735174
3.84832906249452,11.4371094865621,59.6167173855469,37.9731999451304,64.9686903858517,0,26.3881451682886,200.38386237138,0.0570760007877542,0.297512567529299,0.189502285741719,0.324221170392666,0.131687975548562
4.08207229957014,14.5616193953159,75.3546046678678,47.9000617557356,82.1435183861548,0,33.2045583830205,253.164362588094,0.0575184407728351,0.297650916967614,0.189205389202707,0.324467146743733,0.131158106313112
4.31573927361092,18.5113092857791,95.239084193684,60.4424365296134,103.843541368473,0,41.8169487618063,319.853320139355,0.0578743696570477,0.297758623084449,0.188969232844854,0.324659882608783,0.130737891804866
4.54944730643649,23.5057117286793,120.375093074932,76.2972766437572,131.274582226658,0,52.7038880314119,404.156551705439,0.0581599175603887,0.297842735858121,0.188781491532927,0.324811219000936,0.130404636047627
4.78325354681742,29.8224639147085,152.159733550655,96.3458211558277,165.961304998082,0,66.4704908452888,510.759814464562,0.0583884304719075,0.297908584899473,0.188632344259167,0.324930231976183,0.13014040839327
5.01718001068189,37.8127429552011,192.35992145813,121.702573489499,209.831952972343,0,83.8820459749033,645.589236850076,0.0585709004996659,0.297960236135103,0.188513944382505,0.325023933168626,0.129930985814101
5.12780340306681,42.2893574294708,214.88090816885,135.907956914937,234.40920819374,0,93.6363636363636,721.123794343362,0.0586436860927304,0.297980610062265,0.188466887351417,0.325060981252445,0.129847835241142
5.12780340306681,42.2893574294708,214.88090816885,135.907956914937,234.40920819374,0,93.6363636363636,721.123794343362,0.0586436860927304,0.297980610062265,0.188466887351417,0.325060981252445,0.129847835241142
5.12780340306681,21.1446787147354,107.440454084425,67.9539784574685,117.20460409687,0,46.8181818181818,360.561897171681,0.0586436860927304,0.297980610062265,0.188466887351417,0.325060981252445,0.129847835241142
5.24036261428163,23.6905223383902,120.247656708764,76.0322756480234,131.181162593357,0,52.3652532670642,403.516870555599,0.058710116148975,0.297999081285489,0.188424031796577,0.325094617265282,0.129772153503676
5.47377865230398,29.9902962071678,151.938396316682,96.0215910564169,165.765410918484,0,66.0911856210417,509.806880119792,0.0588267780931494,0.29803127859118,0.188348950947571,0.325153342143074,0.129639650225026
5.70803794705095,37.9830145254274,192.1440054022,121.381762861497,209.641975041372,0,83.5050887776106,644.655846608107,0.0589198325358828,0.298056717259568,0.188289245339438,0.32519983514369,0.129534369721422
5.82280753975384,42.6331974079128,215.535319379816,136.136115649182,235.169022320212,0,93.6363636363636,723.110018393486,0.0589581064063111,0.298067118277057,0.188264734530482,0.325218868966413,0.129491171819736
5.82280753975384,42.6331974079128,215.535319379816,136.136115649182,235.169022320212,0,93.6363636363636,723.110018393486,0.0589581064063111,0.298067118277057,0.188264734530482,0.325218868966413,0.129491171819736
