growth_rate_per_hr,avg_birth_volume_um3,avg_cell_volume_um3,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate,model_asat
0.801,0.426,0.62,12,0,0,2.06445529055469,0,0,0.418648999995807,0.187074217898535,0.394276782105657,0.0732398746673324,0.38798719970651,0.173372925626157,0.173372925626157,0.3654,0,1,0.800982227101603,0.0327294
0.814,0.469,0.659,13,0,0,2.11375215466918,0,0,0.415940411347575,0.189395782041358,0.394663806611066,0.0741486959808943,0.385098972240396,0.17535233177871,0.17535233177871,0.3654,0,1,0.814003782334024,0.0327294
1.093,0.595,0.876,14,0,0,3.3609936619515,0,0,0.358672214638701,0.238326336455174,0.403001448906125,0.0933035079853624,0.325206838796031,0.216089653218607,0.216089653218607,0.3654,0,1,1.09301812401674,0.0327294
1.37,0.8,1.179,15,0,0,5.09554676096701,0,0,0.302734839089771,0.285824988415076,0.411440172495153,0.111900041787231,0.268858797945175,0.253841160267594,0.253841160267594,0.3654,0,1,1.36998257702702,0.0327294
1.548,1.046,1.522,16,0,0,6.61580419477201,0,0,0.267022069658585,0.315992148490542,0.416985781850873,0.123711129002768,0.233988467952465,0.276900403044767,0.276900403044767,0.3654,0,1,1.5480218878082,0.0327294
1.838,1.657,2.409,17,0,0,10.2568236347395,0,0,0.209042268050531,0.36469622840219,0.426261503547279,0.14277973272463,0.179195268890126,0.312624998385244,0.312624998385244,0.3654,0,1,1.83797426918574,0.0327294
2.419,2.746,3.992,18,0,0,31.8010921400135,0,0,0.0928289111901552,0.461248249544453,0.445922839265392,0.180575723365154,0.0760662634027932,0.377958013232052,0.377958013232052,0.3654,0,1,2.41899025121876,0.0327294
