growth_rate_per_hr,avg_cell_length_um,avg_cell_width_um,estim_avg_cell_volume_um3,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate,model_asat
0.42,2.37,0.91,1.36,6,0,0,1.3400132834646,0,0,0.313456842189288,0.0684907130166473,0.618052444794065,6.7214990621203e-05,0.31343577319058,0.0684861094140142,0.0684861094140142,0.618010902404785,0,1,0.420008099588373,5.11610799491124e-05
0.47,2.51,0.98,1.67,5,0,0,1.52695523668935,0,0,0.307820061433394,0.0741240761763767,0.61805586239023,7.27442099987766e-05,0.307797669306203,0.0741186840790133,0.0741186840790133,0.618010902404785,0,1,0.469993262987885,5.11610799491124e-05
0.7,2.84,0.92,1.7,4,0,0,2.47407303044535,0,0,0.282967701164695,0.0989613714617934,0.618070927373512,9.71166351115716e-05,0.282940220293712,0.098951760666391,0.098951760666391,0.618010902404785,0,1,0.700014768256941,5.11610799491124e-05
0.98,2.95,1.07,2.32,3,0,0,3.85651918743148,0,0,0.25414574237224,0.12776585756161,0.61808840006615,0.000125382811514625,0.254113876864527,0.127749837919174,0.127749837919174,0.618010902404785,0,1,0.979995041920648,5.11610799491124e-05
1.29,3.29,1.21,3.33,2,0,0,5.78027071918491,0,0,0.223207586131263,0.158685254849058,0.61810715901968,0.000155728037590458,0.223172826451899,0.158660543105725,0.158660543105725,0.618010902404785,0,1,1.28999935405765,5.11610799491124e-05
1.83,4.94,1.36,6.6,1,0,0,10.7287105165913,0,0,0.170604082669423,0.211256862518347,0.61813905481223,0.00020731970654068,0.17056871308107,0.211213064807605,0.211213064807605,0.618010902404785,0,1,1.82998234583432,5.11610799491124e-05
0.74,2.72,1.11,2.28,3,1,0,3.85651918743148,0.102608637602352,0,0.191921550663941,0.189952318925122,0.618126130410937,0.000186415038102006,0.191885773600761,0.189916908956352,0.0873082713539995,0.618010902404785,0,0.459718262232592,0.740011167686469,5.11610799491124e-05
0.55,2.74,1.09,2.23,3,1,0,3.85651918743148,0.177140596745494,0,0.142640660366144,0.239203327389511,0.618156012244345,0.000234746304631195,0.142607175998233,0.239147175292351,0.0620065785468571,0.618010902404785,0,0.259282086317999,0.549967310502603,5.11610799491124e-05
0.45,2.88,1.11,2.42,3,1,0,3.85651918743148,0.215191828931599,0,0.116718998196568,0.265109267961799,0.618171733841633,0.000260172744956252,0.116688631094419,0.26504029375584,0.0498484648242412,0.618010902404785,0,0.188078816688011,0.45001194477074,5.11610799491124e-05
0.3,3,1.08,2.44,3,1,0,3.85651918743148,0.271368953197816,0,0.0778132914008865,0.303991385266842,0.618195323332271,0.000298321453634004,0.0777900780266838,0.303900698114897,0.0325317449170813,0.618010902404785,0,0.107047285902522,0.299998928501698,5.11610799491124e-05
0.88,3.15,1.1,2.67,3,0,1,3.85651918743148,0,0.0361182133702,0.228201160616873,0.117598393819196,0.618082232193731,0.000115405014464113,0.228174825058631,0.117584822374856,0.117584822374856,0.618010902404785,0.0361140451472636,1,0.879960590927433,5.11610799491124e-05
0.73,3.15,1.13,2.79,3,0,1,3.85651918743148,0,0.0905139954545552,0.189308735108166,0.102104435812993,0.618072833624286,0.000100200520281271,0.189289766274415,0.102094204895401,0.102094204895401,0.618010902404785,0.0905049259051179,1,0.7299996156217,5.11610799491124e-05
0.61,3.47,1.15,3.22,3,0,1,3.85651918743148,0,0.134325587698968,0.158193655661064,0.0894156193361133,0.618065137303854,8.77494875474014e-05,0.158179774248847,0.0894077731613378,0.0894077731613378,0.618010902404785,0.134313800697483,1,0.610023334454257,5.11610799491124e-05
0.4,4.89,1.23,5.39,3,0,1,3.85651918743148,0,0.212022765666256,0.103724604213597,0.0662015744932354,0.618051055626912,6.49674840965149e-05,0.103717865487022,0.0661972735434973,0.0661972735434973,0.618010902404785,0.212008991080599,1,0.399989938330138,5.11610799491124e-05
0.24,5.92,1.27,7.13,3,0,1,3.85651918743148,0,0.275313097103096,0.062246687265746,0.0443976152964692,0.618042600334689,5.12876133244482e-05,0.0622434947817188,0.0443953382487433,0.0443953382487433,0.618010902404785,0.275298976951429,1,0.24004323191849,5.11610799491124e-05
1.12,3.11,1.21,3.11,2,0,1,5.78027071918491,0,0.0463006635844917,0.193782578570365,0.141819830596003,0.61809692724914,0.000139176948731163,0.193755608502363,0.141800092544711,0.141800092544711,0.618010902404785,0.0462942195994098,1,1.11995987050406,5.11610799491124e-05
0.95,3.13,1.22,3.23,2,0,1,5.78027071918491,0,0.0928122323356519,0.164372372466924,0.124728836551686,0.618086558645738,0.000122403957656989,0.164352252638005,0.124713569248458,0.124713569248458,0.618010902404785,0.0928008717510951,1,0.950000513555541,5.11610799491124e-05
0.84,3.27,1.24,3.52,2,0,1,5.78027071918491,0,0.123079981957553,0.145338505918533,0.11350176293147,0.618079749192445,0.00011138819505058,0.145322316924687,0.113489120174962,0.113489120174962,0.618010902404785,0.123066272300515,1,0.84000233336388,5.11610799491124e-05
