growth_rate_per_hr,estim_ribosomal_fraction,estim_useless_fraction,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
1.58,0.336,0,1,0,0,7.45264680433743,0,0,0.231285254875551,0.324039627508651,0.444675117615799,0.083375741405508,0.21200167527414,0.297022583320352,0.297022583320352,0.4076,0,1,1.579973607746
1.18,0.36,0,1,1,0,7.45264680433743,0.125116147404376,0,0.175187274618571,0.373834132691835,0.450978592689595,0.0961876980255062,0.158336413949648,0.337875888024845,0.212759740620469,0.4076,0,0.629697910271786,1.1800253694321
0.9,0.42,0,1,2,0,7.45264680433743,0.208208770637366,0,0.134986639066227,0.409419653396443,0.455593707537329,0.10534321862511,0.120766712035605,0.366290069339285,0.158081298701919,0.4076,0,0.431574077307274,0.90003165052249
0.32,0.499,0,1,3,0,7.45264680433743,0.371098192344273,0,0.0490632098680181,0.485193887782735,0.465742902349247,0.124839051880274,0.0429382052658918,0.424622742853834,0.0535245505095609,0.4076,0,0.126052010662051,0.320003278258833
0.13,0.555,0,1,4,0,7.45264680433743,0.422142018529712,0,0.020080952544856,0.510661532471798,0.469257514983346,0.131393772107272,0.0174424404424802,0.443563787450248,0.0214217689205364,0.4076,0,0.0482946749185181,0.129992348023496
1.31,0.301,0,2,0,0,4.9821596727391,0,0,0.283183480789722,0.277835019629226,0.438981499581052,0.0714870663365121,0.262939524513103,0.257973409150385,0.257973409150385,0.4076,0,1,1.31000669539838
0.91,0.343,0,2,1,0,4.9821596727391,0.15230679295168,0,0.200798208984454,0.35112058442575,0.448081206589797,0.0903434600569085,0.182657404011568,0.319399135931524,0.167092342979843,0.4076,0,0.52314588294837,0.910028352193648
0.47,0.444,0,2,2,0,4.9821596727391,0.305044754699353,0,0.106221522106878,0.434830256917175,0.458948220975947,0.111882383739838,0.0943372050090869,0.386180411251075,0.0811356565517228,0.4076,0,0.210097804518035,0.470003018435194
0.2,0.518,0,2,3,0,4.9821596727391,0.393318261606471,0,0.0458979949609389,0.487977161828954,0.466124843210107,0.125556155314654,0.040135219176992,0.426708625508353,0.0333903639018821,0.4076,0,0.0782509701136295,0.199960070440155
0.11,0.567,0,2,4,0,4.9821596727391,0.421952749278799,0,0.02538172756401,0.506007063613031,0.468611208822959,0.130195794881229,0.0220771333683549,0.440127071750416,0.0181743224716165,0.4076,0,0.0412933528477036,0.109991803557501
1,0.207,0,3,0,0,3.08854520264906,0,0,0.343576248965105,0.223905994011565,0.432517757023331,0.05761094572121,0.323782496334879,0.211006557943911,0.211006557943911,0.4076,0,1,1.00001687575683
0.87,0.245,0,3,1,0,3.08854520264906,0.0688655377306781,0,0.301968989692611,0.261079005779648,0.436952004527741,0.0671744361476603,0.281684393075931,0.243541170776409,0.174675633045731,0.4076,0,0.717232460075909,0.869994980895778
0.67,0.269,0,3,2,0,3.08854520264906,0.166767447456609,0,0.236368671239357,0.319519635644654,0.444111693115989,0.0822128614984541,0.216936126408182,0.293251012093364,0.126483564636755,0.4076,0,0.431315014853165,0.670017032499261
0.45,0.341,0,3,3,0,3.08854520264906,0.267047789771717,0,0.161752554295206,0.385736039360507,0.452511406344288,0.0992492249137198,0.145698738653592,0.347452036432688,0.0804042466609716,0.4076,0,0.231411067514489,0.44999714030057
0.28,0.416,0,3,4,0,3.08854520264906,0.340730743680001,0,0.102174092618296,0.438401212067138,0.459424695314566,0.112803460160281,0.0906485014322154,0.388948038407504,0.0482172947275029,0.4076,0,0.123968473847875,0.279971994225795
0.71,0.16,0,4,0,0,1.85014157062457,0,0,0.401518211211585,0.172006826681947,0.426474962106467,0.0442580779261677,0.383747786931007,0.164394135142825,0.164394135142825,0.4076,0,1,0.709987733236237
0.58,0.225,0,4,1,0,1.85014157062457,0.098179618212863,0,0.33347856864047,0.232934779439197,0.433586651920334,0.059934160346588,0.313491810635421,0.218974029017991,0.120794410805128,0.4076,0,0.551638070262676,0.580004230906958
0.38,0.313,0,4,2,0,1.85014157062457,0.231030921199154,0,0.224449804524922,0.330115033203564,0.445435162271514,0.0849397745758833,0.205385088724974,0.302075136699143,0.0710442154999888,0.4076,0,0.235187232806739,0.37999149063649
0.23,0.341,0,4,3,0,1.85014157062457,0.323117908328981,0,0.138818333332189,0.406030865299326,0.455150801368485,0.104472630226105,0.124315616925371,0.363611752848524,0.0404938445195433,0.4076,0,0.111365609616069,0.230001490751468
0.15,0.376,0,4,4,0,1.85014157062457,0.370456859222003,0,0.0916267271095683,0.447707212058519,0.460666060831913,0.115194205399203,0.081071859086852,0.396133935513945,0.0256770762919419,0.4076,0,0.0648191785402794,0.149994416704402
