si_jun_excel_raw_number,growth_rate_per_hr,estim_SA_over_V,estim_aspect_ratio,estim_vol_um3,estim_C_plus_D_hrs,nutrient_type,cm_type,useless_type,model_k,model_fRI,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
202,1.71,4.306,4.0089,3.4,1.37,7,0,0,10.1203755691502,0,0,0.168962976139964,0.331037023860036,0.5,1,1.70997334160894
203,1.63,4.473,3.9774,3,1.35,7,1,0,10.1203755691502,0.0248726357632304,0,0.161059131789612,0.338940868210388,0.5,0.926616592756848,1.62998462639761
204,0.98,4.87,4.1282,2.39,1.88,7,1,0,10.1203755691502,0.220304659739728,0,0.0968225411263215,0.403177458873679,0.5,0.453578926869638,0.979984433395597
205,0.96,5.107,4.0063,2.02,2.05,7,1,0,10.1203755691502,0.226165492854354,0,0.0948445287314485,0.405155471268552,0.5,0.441780973249048,0.959981961080455
206,0.78,5.111,3.6121,1.89,2.48,7,1,0,10.1203755691502,0.278561810436606,0,0.0770491283650133,0.422950871634987,0.5,0.341384947713244,0.780019447446035
207,0.55,4.619,4.2042,2.85,3.92,7,1,0,10.1203755691502,0.344686905592954,0,0.0543588877593869,0.445641112240613,0.5,0.226537013472742,0.549997071282879
208,0.38,4.273,3.609,3.26,6.12,7,1,0,10.1203755691502,0.393103730068504,0,0.0375450816358184,0.462454918364182,0.5,0.14996313271138,0.380006711539672
209,0.21,4.299,4.0165,3.5,11.44,7,1,0,10.1203755691502,0.441125330008819,0,0.0207614896444496,0.47923851035555,0.5,0.0795286261916949,0.209965226695199
241,1.51,6.0025,4.6614,1.42,1.13,8,0,0,7.50113991436889,0,0,0.201300195546876,0.298699804453124,0.5,1,1.50997612803526
242,1.34,5.9997,4.6452,1.4,1.32,8,1,0,7.50113991436889,0.0603738836338642,0,0.178639523393136,0.321360476606864,0.5,0.812130339513647,1.3399922991432
243,1.17,6.0251,4.4244,1.33,1.38,8,1,0,7.50113991436889,0.119251372560016,0,0.155974440457444,0.344025559542556,0.5,0.653364788597156,1.16997820237832
244,0.86,6.1566,4.3805,1.24,2,8,1,0,7.50113991436889,0.223599628188004,0,0.114646901018052,0.385353098981948,0.5,0.419753911986891,0.859977986942017
245,0.69,5.9842,4.2364,1.31,2.5,8,1,0,7.50113991436889,0.279511340505118,0,0.0919883889523559,0.408011611047644,0.5,0.314942680706018,0.690015288352789
246,0.54,6.1404,4.1342,1.2,2.91,8,1,0,7.50113991436889,0.328229362848005,0,0.072006681682238,0.427993318317762,0.5,0.233096992873351,0.539995406884799
247,0.51,5.9546,3.992,1.29,3.57,8,1,0,7.50113991436889,0.337909888184594,0,0.0680110233568952,0.431988976643105,0.5,0.217781224858051,0.509995592402315
248,0.31,6.0751,3.8593,1.18,5.76,8,1,0,7.50113991436889,0.402036051843953,0,0.041314637233772,0.458685362766228,0.5,0.123503637832774,0.310017287025707
300,1.03,6.2728,3.7971,1.04,1.1,9,0,0,3.67566980113676,0,0,0.280222719139394,0.219777280860606,0.5,1,1.0300061863331
