growth_rate_per_hr,avg_cell_length_um,avg_cell_width_um,estim_avg_cell_volume_um3,nutrient_type,cm_type,useless_type,model_k,model_fRI,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
0.42,2.37,0.91,1.36,6,0,0,1.27922200359869,0,0,0.328323051963201,0.112976948036799,0.5587,1,0.419998072360003
0.47,2.51,0.98,1.67,5,0,0,1.47325687429467,0,0,0.319012425760122,0.122287574239878,0.5587,1,0.469987249236517
0.7,2.84,0.92,1.7,4,0,0,2.51984520056368,0,0,0.277796138604272,0.163503861395728,0.5587,1,0.700003266597097
0.98,2.95,1.07,2.32,3,0,0,4.26263611849938,0,0,0.229903767992811,0.211396232007189,0.5587,1,0.979996105225255
1.29,3.29,1.21,3.33,2,0,0,7.22724092500825,0,0,0.178492993331162,0.262807006668838,0.5587,1,1.29000529324483
1.83,4.94,1.36,6.6,1,0,0,20.1197999861229,0,0,0.0909648681581381,0.350335131841862,0.5587,1,1.82998213444623
0.74,2.72,1.11,2.28,3,1,0,4.26263611849938,0.117625426009424,0,0.173583067939018,0.267716932060982,0.5587,0.560635089070007,0.740009259686055
0.55,2.74,1.09,2.23,3,1,0,4.26263611849938,0.204529463158212,0,0.129012890831732,0.312287109168268,0.5587,0.34505953927158,0.549965027165705
0.45,2.88,1.11,2.42,3,1,0,4.26263611849938,0.24885758828012,0,0.105568702227858,0.335731297772142,0.5587,0.2587596392368,0.450015215417754
0.3,3,1.08,2.44,3,1,0,4.26263611849938,0.314103884266757,0,0.0703779136274471,0.370922086372553,0.5587,0.153180962237789,0.299998767397167
0.88,3.15,1.1,2.67,3,0,1,4.26263611849938,0,0.0403516013540084,0.206445192199224,0.194503206446768,0.5587,1,0.880000732758958
0.73,3.15,1.13,2.79,3,0,1,4.26263611849938,0,0.101283471704269,0.171258760766971,0.16875776752876,0.5587,1,0.730013779254734
0.61,3.47,1.15,3.22,3,0,1,4.26263611849938,0,0.150510932199164,0.143128237210843,0.147660830589993,0.5587,1,0.610004183595681
0.4,4.89,1.23,5.39,3,0,1,4.26263611849938,0,0.238279919999279,0.0938572121282237,0.109162867872497,0.5587,1,0.399973091774588
0.24,5.92,1.27,7.13,3,0,1,4.26263611849938,0,0.307726982451802,0.0563238499049386,0.077249167643259,0.5587,1,0.240034175550283
1.12,3.11,1.21,3.11,2,0,1,7.22724092500825,0,0.0515694784073812,0.154977238078215,0.234753283514404,0.5587,1,1.12000071029707
0.95,3.13,1.22,3.23,2,0,1,7.22724092500825,0,0.103557331076514,0.131423131962474,0.206319536961011,0.5587,1,0.949964786794701
0.84,3.27,1.24,3.52,2,0,1,7.22724092500825,0,0.13739922676506,0.116233862948576,0.187666910286364,0.5587,1,0.840006927456637
0.65,3.51,1.32,4.24,2,0,1,7.22724092500825,0,0.19663660965836,0.0899276973030669,0.154735693038573,0.5587,1,0.649974326274131
0.52,4.66,1.34,6.05,2,0,1,7.22724092500825,0,0.237882287672711,0.0719454566795359,0.131472255647753,0.5587,1,0.519981771131892
0.42,5.76,1.36,7.61,2,0,1,7.22724092500825,0,0.270228888553672,0.0581116234175841,0.112959488028744,0.5587,1,0.420006197777689
