growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,translation_elong_rate_aa_s,fraction_active_rib_equivalent,estim_useless_fraction,nutrient_type,cm_type,useless_type,media_details,cm_uM,model_k,model_fRI,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
1.8,0.476,0.36176,0.226576,16.7,0.958,NaN,22,0,0,RDM + 0.2% glucose + 10 mM NH4Cl,0,11.6533286552051,0,0,0.154477934112156,0.345522065887844,0.5,1,1.80001037830934
1.46,0.495,0.3762,0.23562,NaN,NaN,NaN,22,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,2,11.6533286552051,0.09871959896387,0,0.125283663818454,0.374716336181546,0.5,0.736548451637183,1.45997533294044
1.08,0.551,0.41876,0.262276,16.8,0.505,NaN,22,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,4,11.6533286552051,0.206140631919903,0,0.0926759116245228,0.407324088375477,0.5,0.493914949292466,1.07999637519322
0.87,0.582,0.44232,0.277032,NaN,NaN,NaN,22,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,6,11.6533286552051,0.264418206753931,0,0.0746819847678022,0.425318015232198,0.5,0.378304710160055,0.870013039208484
0.57,0.621,0.47196,0.295596,17.3,0.243,NaN,22,1,0,RDM + 0.2% glucose + 10 mM NH4Cl,8,11.6533286552051,0.346673456705966,0,0.0489000098266812,0.451099990173319,0.5,0.231493096302731,0.570003842885425
0.98,0.294,0.22344,0.139944,15.9,0.865,NaN,23,0,0,0.2% glucose + 10 mM NH4Cl,0,3.39538398783246,0,0,0.288620771576654,0.211379228423346,0.5,1,0.979978346367221
0.71,0.358,0.27208,0.170408,16,0.519,NaN,23,1,0,0.2% glucose + 10 mM NH4Cl,2,3.39538398783246,0.149617232225964,0,0.209105694231693,0.290894305768307,0.5,0.485664623682486,0.710012463491605
0.53,0.44,0.3344,0.20944,16.1,0.318,NaN,23,1,0,0.2% glucose + 10 mM NH4Cl,4,3.39538398783246,0.242061380345372,0,0.156102428176466,0.343897571823534,0.5,0.296123613022826,0.530031751500721
0.41,0.487,0.37012,0.231812,16.2,0.222,NaN,23,1,0,0.2% glucose + 10 mM NH4Cl,6,3.39538398783246,0.301951210389737,0,0.120711472401561,0.379288527598439,0.5,0.203901018832238,0.410002658503403
0.33,0.511,0.38836,0.243236,16.5,0.164,NaN,23,1,0,0.2% glucose + 10 mM NH4Cl,8,3.39538398783246,0.341238707030924,0,0.0971722953044937,0.402827704695506,0.5,0.152891662978187,0.329995825644334
0.26,0.569,0.43244,0.270844,16.6,0.123,NaN,23,1,0,0.2% glucose + 10 mM NH4Cl,9,3.39538398783246,0.375313761026717,0,0.0765672142492397,0.42343278575076,0.5,0.113640290367991,0.259997718069717
0.69,0.217,0.16492,0.103292,14.7,0.888,NaN,24,0,0,0.2% fructose + 10 mM NH4Cl,0,2.03982448861686,0,0,0.338261319524047,0.161738680475953,0.5,1,0.689993723117004
0.46,0.286,0.21736,0.136136,NaN,NaN,NaN,24,1,0,0.2% fructose + 10 mM NH4Cl,2,2.03982448861686,0.181735471912093,0,0.225511785629142,0.274488214370858,0.5,0.337911566335768,0.460007290411767
0.35,0.323,0.24548,0.153748,15.9,0.29,NaN,24,1,0,0.2% fructose + 10 mM NH4Cl,4,2.03982448861686,0.260535874072794,0,0.171593925659355,0.328406074340645,0.5,0.206665483895561,0.350018479400225
0.27,0.394,0.29944,0.187544,NaN,NaN,NaN,24,1,0,0.2% fructose + 10 mM NH4Cl,6,2.03982448861686,0.316415435869885,0,0.132364254407815,0.367635745592185,0.5,0.139323529706816,0.269998105402571
0.21,0.457,0.34732,0.217532,16.3,0.124,NaN,24,1,0,0.2% fructose + 10 mM NH4Cl,8,2.03982448861686,0.357795495902704,0,0.102914111441085,0.397085888558915,0.5,0.0989468369143051,0.209997309482942
0.46,0.172,0.13072,0.081872,12.6,0.879,NaN,25,0,0,60 mM acetate + 10 mM NH4Cl,0,1.21189815471931,0,0,0.379564074338797,0.120435925661203,0.5,1,0.45999300128893
0.25,0.246,0.18696,0.117096,14.5,0.303,NaN,25,1,0,60 mM acetate + 10 mM NH4Cl,3,1.21189815471931,0.244143933688649,0,0.206219795762277,0.293780204237723,0.5,0.168957165367442,0.250003930721207
0.18,0.304,0.23104,0.144704,15.6,0.17,NaN,25,1,0,60 mM acetate + 10 mM NH4Cl,6,1.21189815471931,0.317059472625539,0,0.148503139294631,0.351496860705369,0.5,0.0979735295806698,0.179998956014527
0.33,0.152,0.11552,0.072352,12,0.756,NaN,26,0,0,20 mM potassium aspartate,0,0.816024679667889,0,0,0.40440384241034,0.0955961575896602,0.5,1,0.330003515959361
0.24,0.231,0.17556,0.109956,15.3,0.282,NaN,26,1,0,20 mM potassium aspartate,2,0.816024679667889,0.153731132988472,0,0.294098140617548,0.205901859382452,0.5,0.253376664739463,0.239991340988357
0.17,0.292,0.22192,0.138992,15.8,0.158,NaN,26,1,0,20 mM potassium aspartate,4,0.816024679667889,0.257868124877907,0,0.208324213304514,0.291675786695486,0.5,0.115908359074299,0.170007957591501
